	BASE_VALUE	UP_POWER_DELTA	DOWN_POWER_DELTA	UP_BACKOFF	DOWN_BACKOFF
11_2	0.8T + 0A	1.1	0.9	0.05	-0.05
11_3	0.9T + 0A	1.1	0.9	0.05	-0.05
12_1	0.7T + 0A	1.1	0.9	0.05	-0.05
12_2	0.8T + 0A	1.1	0.9	0.05	-0.05
12_3	0.9T + 0A	1.1	0.9	0.05	-0.05
13_1	0.7T + 0A	1.1	0.9	0.05	-0.05
13_2	0.8T + 0A	1.1	0.9	0.05	-0.05
13_3	0.9T + 0A	1.1	0.9	0.05	-0.05
14_1	0.7T + 0A	1.1	0.9	0.05	-0.05
14_2	0.8T + 0A	1.1	0.9	0.05	-0.05
14_3	0.9T + 0A	1.1	0.9	0.05	-0.05
15_1	0.7T + 0A	1.1	0.9	0.05	-0.05
15_2	0.8T + 0A	1.1	0.9	0.05	-0.05
15_3	0.9T + 0A	1.1	0.9	0.05	-0.05
16_1	0.7T + 0A	1.1	0.9	0.05	-0.05
16_2	0.8T + 0A	1.1	0.9	0.05	-0.05
16_3	0.9T + 0A	1.1	0.9	0.05	-0.05
17_1	0.7T + 0A	1.1	0.9	0.05	-0.05
17_2	0.8T + 0A	1.1	0.9	0.05	-0.05
17_3	0.9T + 0A	1.1	0.9	0.05	-0.05
18_1	0.7T + 0A	1.1	0.9	0.05	-0.05
18_2	0.8T + 0A	1.1	0.9	0.05	-0.05
18_3	0.9T + 0A	1.1	0.9	0.05	-0.05
19_1	0.7T + 0A	1.1	0.9	0.05	-0.05
19_2	0.8T + 0A	1.1	0.9	0.05	-0.05
19_3	0.9T + 0A	1.1	0.9	0.05	-0.05
20_1	0.7T + 0A	1.1	0.9	0.05	-0.05
20_2	0.8T + 0A	1.1	0.9	0.05	-0.05
20_3	0.9T + 0A	1.1	0.9	0.05	-0.05
21_1	0.7T + 0A	1.1	0.9	0.05	-0.05
21_2	0.8T + 0A	1.1	0.9	0.05	-0.05
21_3	0.9T + 0A	1.1	0.9	0.05	-0.05
22_1	0.7T + 0A	1.1	0.9	0.05	-0.05
22_2	0.8T + 0A	1.1	0.9	0.05	-0.05
22_3	0.9T + 0A	1.1	0.9	0.05	-0.05
23_1	0.7T + 0A	1.1	0.9	0.05	-0.05
23_2	0.8T + 0A	1.1	0.9	0.05	-0.05
23_3	0.9T + 0A	1.1	0.9	0.05	-0.05
24_1	0.7T + 0A	1.1	0.9	0.05	-0.05
24_2	0.8T + 0A	1.1	0.9	0.05	-0.05
24_3	0.9T + 0A	1.1	0.9	0.05	-0.05
25_1	0.7T + 0A	1.1	0.9	0.05	-0.05
25_2	0.8T + 0A	1.1	0.9	0.05	-0.05
25_3	0.9T + 0A	1.1	0.9	0.05	-0.05
26_1	0.7T + 0A	1.1	0.9	0.05	-0.05
26_2	0.8T + 0A	1.1	0.9	0.05	-0.05
26_3	0.9T + 0A	1.1	0.9	0.05	-0.05
27_1	0.7T + 0A	1.1	0.9	0.05	-0.05
27_2	0.8T + 0A	1.1	0.9	0.05	-0.05
27_3	0.9T + 0A	1.1	0.9	0.05	-0.05
28_1	0.7T + 0A	1.1	0.9	0.05	-0.05
28_2	0.8T + 0A	1.1	0.9	0.05	-0.05
28_3	0.9T + 0A	1.1	0.9	0.05	-0.05
29_1	0.7T + 0A	1.1	0.9	0.05	-0.05
29_2	0.8T + 0A	1.1	0.9	0.05	-0.05
29_3	0.9T + 0A	1.1	0.9	0.05	-0.05
30_1	0.7T + 0A	1.1	0.9	0.05	-0.05
30_2	0.8T + 0A	1.1	0.9	0.05	-0.05
30_3	0.9T + 0A	1.1	0.9	0.05	-0.05
31_1	0.7T + 0A	1.1	0.9	0.05	-0.05
31_2	0.8T + 0A	1.1	0.9	0.05	-0.05
31_3	0.9T + 0A	1.1	0.9	0.05	-0.05
32_1	0.7T + 0A	1.1	0.9	0.05	-0.05
32_2	0.8T + 0A	1.1	0.9	0.05	-0.05
32_3	0.9T + 0A	1.1	0.9	0.05	-0.05
33_1	0.7T + 0A	1.1	0.9	0.05	-0.05
33_2	0.8T + 0A	1.1	0.9	0.05	-0.05
33_3	0.9T + 0A	1.1	0.9	0.05	-0.05
34_1	0.7T + 0A	1.1	0.9	0.05	-0.05
34_2	0.8T + 0A	1.1	0.9	0.05	-0.05
34_3	0.9T + 0A	1.1	0.9	0.05	-0.05
35_1	0.7T + 0A	1.1	0.9	0.05	-0.05
35_2	0.8T + 0A	1.1	0.9	0.05	-0.05
35_3	0.9T + 0A	1.1	0.9	0.05	-0.05
36_1	0.7T + 0A	1.1	0.9	0.05	-0.05
36_2	0.8T + 0A	1.1	0.9	0.05	-0.05
36_3	0.9T + 0A	1.1	0.9	0.05	-0.05
37_1	0.7T + 0A	1.1	0.9	0.05	-0.05
37_2	0.8T + 0A	1.1	0.9	0.05	-0.05
37_3	0.9T + 0A	1.1	0.9	0.05	-0.05
38_1	0.7T + 0A	1.1	0.9	0.05	-0.05
38_2	0.8T + 0A	1.1	0.9	0.05	-0.05
38_3	0.9T + 0A	1.1	0.9	0.05	-0.05
39_1	0.7T + 0A	1.1	0.9	0.05	-0.05
39_2	0.8T + 0A	1.1	0.9	0.05	-0.05
39_3	0.9T + 0A	1.1	0.9	0.05	-0.05
40_1	0.7T + 0A	1.1	0.9	0.05	-0.05
40_2	0.8T + 0A	1.1	0.9	0.05	-0.05
40_3	0.9T + 0A	1.1	0.9	0.05	-0.05
41_1	0.7T + 0A	1.1	0.9	0.05	-0.05
41_2	0.8T + 0A	1.1	0.9	0.05	-0.05
41_3	0.9T + 0A	1.1	0.9	0.05	-0.05
42_1	0.7T + 0A	1.1	0.9	0.05	-0.05
42_2	0.8T + 0A	1.1	0.9	0.05	-0.05
42_3	0.9T + 0A	1.1	0.9	0.05	-0.05
43_1	0.7T + 0A	1.1	0.9	0.05	-0.05
43_2	0.8T + 0A	1.1	0.9	0.05	-0.05
43_3	0.9T + 0A	1.1	0.9	0.05	-0.05
44_1	0.7T + 0A	1.1	0.9	0.05	-0.05
44_2	0.8T + 0A	1.1	0.9	0.05	-0.05
44_3	0.9T + 0A	1.1	0.9	0.05	-0.05
45_1	0.7T + 0A	1.1	0.9	0.05	-0.05
45_2	0.8T + 0A	1.1	0.9	0.05	-0.05
45_3	0.9T + 0A	1.1	0.9	0.05	-0.05
46_1	0.7T + 0A	1.1	0.9	0.05	-0.05
46_2	0.8T + 0A	1.1	0.9	0.05	-0.05
46_3	0.9T + 0A	1.1	0.9	0.05	-0.05
47_1	0.7T + 0A	1.1	0.9	0.05	-0.05
47_2	0.8T + 0A	1.1	0.9	0.05	-0.05
47_3	0.9T + 0A	1.1	0.9	0.05	-0.05
48_1	0.7T + 0A	1.1	0.9	0.05	-0.05
48_2	0.8T + 0A	1.1	0.9	0.05	-0.05
48_3	0.9T + 0A	1.1	0.9	0.05	-0.05
49_1	0.7T + 0A	1.1	0.9	0.05	-0.05
49_2	0.8T + 0A	1.1	0.9	0.05	-0.05
49_3	0.9T + 0A	1.1	0.9	0.05	-0.05
50_1	0.7T + 0A	1.1	0.9	0.05	-0.05
50_2	0.8T + 0A	1.1	0.9	0.05	-0.05
50_3	0.9T + 0A	1.1	0.9	0.05	-0.05
