	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
11	115	5	ORANGE_3	665	CHALLENGES_MAGIC_IMMUNE	MINOTAUR,SKELETON_KING,NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_SKELETON_DEER	DWARVEN_ARCHER,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_MR_SMASHY	NPC_FIRE_IMP,NPC_FIRE_IMP,[boss]VILE_BILE,DEMON_TOTEM,NPC_GOBLIN
12	120	5	ORANGE_4	715	CHALLENGES_MAGIC_IMMUNE	NPC_SKELETON_DEER,VILE_BILE,NPC_MR_SMASHY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	SKELETON_KING,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_MR_SMASHY,NPC_MR_SMASHY,[boss]MINOTAUR,DWARVEN_ARCHER,DEMON_TOTEM
13	125	5	ORANGE_5	765	CHALLENGES_MAGIC_IMMUNE	DEMON_TOTEM,NPC_GOBLIN,NPC_GOBLIN,NPC_SKELETON_DEER,NPC_SKELETON_DEER	VILE_BILE,MINOTAUR,NPC_MR_SMASHY,NPC_MR_SMASHY,SKELETON_KING	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,[boss]DWARVEN_ARCHER
14	130	5	ORANGE_6	815	CHALLENGES_MAGIC_IMMUNE	VILE_BILE,NPC_FLEA_DEMON,NPC_FLEA_DEMON,NPC_GOBLIN,NPC_GOBLIN	NPC_FIRE_IMP,NPC_SKELETON_DEER,NPC_SKELETON_DEER,SKELETON_KING,DWARVEN_ARCHER	NPC_MR_SMASHY,NPC_MR_SMASHY,MINOTAUR,DEMON_TOTEM,[boss]BURNT_ONE
15	135	5	ORANGE_7	865	CHALLENGES_MAGIC_IMMUNE	NPC_MR_SMASHY,NPC_MR_SMASHY,NPC_MR_SMASHY,NPC_FLEA_DEMON,NPC_FLEA_DEMON,NPC_FLEA_DEMON	NPC_FIRE_IMP,NPC_SKELETON_DEER,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,DWARVEN_ARCHER	VILE_BILE,[boss]DEMON_TOTEM,MINOTAUR,BURNT_ONE,SKELETON_KING,NPC_SKELETON_DEER
16	140	5	ORANGE_8	915	CHALLENGES_MAGIC_IMMUNE	NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_GOBLIN,NPC_GOBLIN,NPC_MR_SMASHY,DEMON_TOTEM	NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_FIRE_IMP,NPC_MR_SMASHY,NPC_MR_SMASHY,BURNT_ONE	VILE_BILE,NINJA_DWARF,MINOTAUR,NPC_WILDLING_SNIPER,NPC_MR_SMASHY,[boss]SKELETON_KING
17	145	5	CYAN	965	CHALLENGES_MAGIC_IMMUNE	SKELETON_KING,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_SKELETON_DEER	NPC_FIRE_IMP,NPC_GOBLIN,SKELETON_KING,MINOTAUR,NPC_MR_SMASHY,CRIMSON_WITCH	NPC_FIRE_IMP,BURNT_ONE,DWARVEN_ARCHER,NPC_MR_SMASHY,NINJA_DWARF,[boss]DUNGEON_MAN
18	170	5	CYAN_3	1015	CHALLENGES_MAGIC_IMMUNE	DEMON_TOTEM,NPC_GOBLIN,NPC_GOBLIN,NPC_SKELETON_DEER,NPC_SKELETON_DEER,BURNT_ONE	VILE_BILE,MINOTAUR,NPC_MR_SMASHY,NPC_MR_SMASHY,SKELETON_KING,DUNGEON_MAN	NPC_FIRE_IMP,BURNT_ONE,NINJA_DWARF,NPC_WILDLING_SNIPER,DWARVEN_ARCHER,[boss]STEPLADDER_BROTHERS
19	185	5	CYAN_4	1065	CHALLENGES_MAGIC_IMMUNE	NPC_SKELETON_DEER,DUNGEON_MAN,MINOTAUR,DWARVEN_ARCHER,STEPLADDER_BROTHERS,DEMON_TOTEM	NPC_WILDLING_ARCHER,VILE_BILE,MINOTAUR,DWARVEN_ARCHER,SKELETON_KING,BURNT_ONE	VILE_BILE,NINJA_DWARF,MINOTAUR,DUNGEON_MAN,BURNT_ONE,[boss]UNICORGI
20	200	5	CYAN_4	1115	CHALLENGES_MAGIC_IMMUNE	NPC_FIRE_IMP,BURNT_ONE,DWARVEN_ARCHER,NPC_MR_SMASHY,NINJA_DWARF,NPC_WILDLING_ARCHER	NPC_WILDLING_ARCHER,NPC_GOBLIN,NPC_GOBLIN,NPC_SKELETON_DEER,NPC_SKELETON_DEER,BURNT_ONE	VILE_BILE,MINOTAUR,DEMON_TOTEM,STEPLADDER_BROTHERS,DUNGEON_MAN,[boss]SADISTIC_DANCER
21	220	5	CYAN_4	1165	CHALLENGES_MAGIC_IMMUNE	VILE_BILE,NPC_SKELETON_DEER,MINOTAUR,SADISTIC_DANCER,BURNT_ONE,DEMON_TOTEM	NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_FIRE_IMP,NPC_MR_SMASHY,NPC_MR_SMASHY,UNICORGI	STEPLADDER_BROTHERS,NINJA_DWARF,MINOTAUR,NPC_WILDLING_SNIPER,NPC_MR_SMASHY,[boss]WHITE_TIGRESS
22	230	5	CYAN_4	1215	CHALLENGES_MAGIC_IMMUNE	DEMON_TOTEM,NPC_GOBLIN,NPC_GOBLIN,SADISTIC_DANCER,NPC_SKELETON_DEER,GRAND_HUNTRESS	VILE_BILE,MINOTAUR,WHITE_TIGRESS,NPC_MR_SMASHY,SKELETON_KING,DUNGEON_MAN	NPC_FIRE_IMP,STEPLADDER_BROTHERS,NINJA_DWARF,NPC_WILDLING_SNIPER,DWARVEN_ARCHER,[boss]BURNT_ONE
