	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
0-10	4	1	WHITE	6	82	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_ICE_GOLEM,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,[boss]FAITH_HEALER	PAPER_CROWN,ENCHANTED_ELBOW_PADS	GOBLIN_GROG,STOLEN_SNEAKERS
0-11	5	1	WHITE	6	84	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_WILDLING_SNIPER	NPC_GOBLIN,[boss]ELECTROYETI,NPC_ICE_GOLEM	PAPER_CROWN,LOADED_DIE	FREE_MANS_CROWBAR,RUBBER_VEST
0-12	5	1	WHITE	6	86	1	CH1_COMBAT_3	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_WILDLING_ARCHER	DRAGON_LADY,NPC_GOBLIN,NPC_ICE_GOLEM,[boss]DARK_DRACUL	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS	FOAM_FINGER,GOBLIN_GROG
0-13	5	1	WHITE	6	89	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_ICE_GOLEM,NPC_MYSTIC_WILDLING	BROZERKER,NPC_WILDLING_SNIPER,ELECTROYETI	[boss]DRAGON_LADY,UNSTABLE_UNDERSTUDY,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	PAPER_CROWN,ENCHANTED_ELBOW_PADS	MY_FIRST_SHIELD,FREE_MANS_CROWBAR
0-14	6	1	WHITE	6	91	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_MYSTIC_WILDLING,UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,DRAGON_LADY,[boss]ELECTROYETI	PAPER_CROWN,LOADED_DIE	FOAM_FINGER,MY_FIRST_SHIELD
0-15	6	1	WHITE	6	93	1	CH1_COMBAT_2	BROZERKER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]DRAGON_LADY,NPC_GOBLIN,ELECTROYETI,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	LOADED_DIE,STICK_ON_MOUSTACHE	ENCHANTED_ELBOW_PADS,MY_FIRST_SHIELD
0-16	6	1	WHITE	6	95	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	DRAGON_LADY,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,[boss]UNSTABLE_UNDERSTUDY	ENCHANTED_ELBOW_PADS,STOLEN_SNEAKERS	FREE_MANS_CROWBAR,FOAM_FINGER
0-17	7	1	WHITE	6	97	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,DRAGON_LADY	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,UNSTABLE_UNDERSTUDY,[boss]ELECTROYETI	ENCHANTED_ELBOW_PADS,PAPER_CROWN	FINE_BRIE,FOAM_FINGER
0-18	7	1	WHITE	6	100	1	CH1_COMBAT_4	BROZERKER,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,UNSTABLE_UNDERSTUDY,ELECTROYETI	DRAGON_LADY,NPC_MYSTIC_WILDLING,[boss]DARK_DRACUL,NPC_ICE_GOLEM	PAPER_CROWN,BIT_O_NIP	ENCHANTED_ELBOW_PADS,FREE_MANS_CROWBAR
1-0	7	1	WHITE	6	101	1	CH2_COMBAT_1	NPC_FIRE_IMP,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,COSMIC_ELF,[boss]FAITH_HEALER	RUBBER_VEST,REEL_BLOODY_BAT	PAPER_CROWN,FINE_BRIE
1-1	7	1	WHITE	6	102	0	CH2_COMBAT_SM	DRAGON_LADY,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,[boss]FAITH_HEALER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	ENCHANTED_ELBOW_PADS,STOLEN_SNEAKERS	RUBBER_VEST,ENCHANTED_ELBOW_PADS
1-2	7	1	WHITE	6	103	0	CH2_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,DRAGON_LADY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_FIRE_IMP,[boss]COSMIC_ELF	ENCHANTED_ELBOW_PADS,PAPER_CROWN	REEL_BLOODY_BAT,BIT_O_NIP
1-3	7	1	WHITE	6	105	1	CH2_COMBAT_2	NPC_FIRE_IMP,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM	[boss]BROZERKER,DRAGON_LADY,NPC_ICE_GOLEM,FAITH_HEALER	STOLEN_SNEAKERS,ENCHANTED_ELBOW_PADS	FOAM_FINGER,PAPER_CROWN
1-4	7	1	WHITE	6	106	0	CH2_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_ICE_GOLEM,FAITH_HEALER	[boss]POLEMASTER,COSMIC_ELF,DUST_DEVIL,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	BIT_O_NIP,LOADED_DIE	ENCHANTED_ELBOW_PADS,REEL_BLOODY_BAT
1-5	7	1	WHITE	6	107	0	CH2_COMBAT_SM	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,COSMIC_ELF,NPC_WILDLING_SNIPER	DRAGON_LADY,ELECTROYETI,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,DUST_DEVIL,[boss]UNSTABLE_UNDERSTUDY,NPC_MYSTIC_WILDLING	BIT_O_NIP,ENCHANTED_ELBOW_PADS	PAPER_CROWN,STOLEN_SNEAKERS
1-6	8	1	WHITE	6	108	1	CH2_COMBAT_3	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,COSMIC_ELF,[boss]DUST_DEVIL,UNSTABLE_UNDERSTUDY,FAITH_HEALER	WAND_OF_GOLD_SPARKLES,REEL_CHUNKY_FEMUR	LOADED_DIE,ENCHANTED_ELBOW_PADS
1-7	8	1	WHITE	6	109	0	CH2_COMBAT_SM	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,DUST_DEVIL,UNSTABLE_UNDERSTUDY,ELECTROYETI	DRAGON_LADY,[boss]BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	STICK_ON_MOUSTACHE,ENCHANTED_ELBOW_PADS	WAND_OF_GOLD_SPARKLES,PAPER_CROWN
1-8	8	1	WHITE	6	111	0	CH2_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM,[boss]CRIMSON_WITCH	LOAFERS_OF_ALACRITY,REEL_BLOODY_BAT	WAND_OF_GOLD_SPARKLES,LOADED_DIE
1-9	9	1	WHITE	6	112	1	CH2_COMBAT_1	DRAGON_LADY,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	BROZERKER,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_FIRE_IMP,[boss]UNSTABLE_UNDERSTUDY,CRIMSON_WITCH	LOAFERS_OF_ALACRITY,REEL_GOBLIN_WHACKER	STICK_ON_MOUSTACHE,ENCHANTED_ELBOW_PADS
1-10	9	1	WHITE	6	113	0	CH2_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,DUST_DEVIL,NPC_WILDLING_ARCHER	DRAGON_LADY,BROZERKER,UNSTABLE_UNDERSTUDY	NPC_FIRE_IMP,NPC_FIRE_IMP,[boss]ELECTROYETI,FAITH_HEALER	GOBLIN_GROG,REEL_CHUNKY_FEMUR	LOAFERS_OF_ALACRITY,STICK_ON_MOUSTACHE
1-11	9	1	WHITE	6	114	0	CH2_COMBAT_SM	NPC_GOBLIN,NPC_ICE_GOLEM,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	NPC_FIRE_IMP,DUST_DEVIL,NPC_ICE_GOLEM,ELECTROYETI	[boss]ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	LOADED_DIE,STOLEN_SNEAKERS	GOBLIN_GROG,WAND_OF_GOLD_SPARKLES
1-12	10	1	WHITE	6	116	1	CH2_COMBAT_3	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	BROZERKER,[boss]DUST_DEVIL,ELECTROYETI,FAITH_HEALER	SMARTY_PANTS,LOADED_DIE	STICK_ON_MOUSTACHE,PAPER_CROWN
1-13	10	1	WHITE	6	117	0	CH2_COMBAT_SM	ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,[boss]COSMIC_ELF,UNSTABLE_UNDERSTUDY	MY_FIRST_SHIELD,STICK_ON_MOUSTACHE	PAPER_CROWN,GOBLIN_GROG
1-14	10	1	WHITE	6	118	0	CH2_COMBAT_SM	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]POLEMASTER,NPC_GOBLIN,NPC_GOBLIN,ELECTROYETI,NPC_WILDLING_ARCHER	STOLEN_SNEAKERS,PAPER_CROWN	REEL_LUCKY_ORCS_FOOT,LOADED_DIE
1-15	10	1	WHITE	6	119	1	CH2_COMBAT_2	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NINJA_DWARF,NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	[boss]DRAGON_LADY,ELECTROYETI,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,CRIMSON_WITCH	PENETRABLE_ARMOR,REEL_LUCKY_ORCS_FOOT	FOAM_FINGER,PAPER_CROWN
1-16	11	1	GREEN	6	121	0	CH2_COMBAT_SM	NINJA_DWARF,NPC_GOBLIN	NPC_FIRE_IMP,DUST_DEVIL	[boss]BROZERKER,COSMIC_ELF,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER	REEL_CHUNKY_FEMUR,REEL_LUCKY_ORCS_FOOT	GOBLIN_GROG,PAPER_CROWN
1-17	11	1	GREEN	6	122	0	CH2_COMBAT_SM	BROZERKER,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,DRAGON_LADY,NPC_WILDLING_SNIPER	POLEMASTER,NINJA_DWARF,[boss]UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER	LOAFERS_OF_ALACRITY,ENCHANTED_ELBOW_PADS	REEL_CHUNKY_FEMUR,STOLEN_SNEAKERS
1-18	11	1	GREEN	6	123	1	CH2_COMBAT_4	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING	BROZERKER,DRAGON_LADY,NPC_MYSTIC_WILDLING	ROLLER_WARRIOR,POLEMASTER,[boss]DUST_DEVIL,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	FREE_MANS_CROWBAR,STICK_ON_MOUSTACHE	FOAM_FINGER,LOADED_DIE
2-0	11	1	GREEN	6	125	1	CH3_COMBAT_1	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,DRAGON_LADY,FAITH_HEALER,[boss]CATAPULT_KNIGHT	PROTEIN_POWDER,CAPTAINS_TIGHTPANTS,FOAM_FINGER	PAPER_CROWN,GOBLIN_GROG
2-1	12	1	GREEN	6	126	0	CH3_COMBAT_SM	NPC_FIRE_IMP	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER	NINJA_DWARF,NPC_FIRE_IMP,[boss]ELECTROYETI,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER	FOAM_FINGER,LOAFERS_OF_ALACRITY,PAPER_CROWN	RAW_EGG,REEL_BLOODY_BAT
2-2	12	1	GREEN	6	128	0	CH3_COMBAT_SM	BROZERKER,NPC_CRYSTAL_GOLEM	POLEMASTER,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,[boss]UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM	FINE_BRIE,REEL_BLOODY_BAT,RUBBER_VEST	STOLEN_SNEAKERS,CAPTAINS_TIGHTPANTS
2-3	13	1	GREEN	6	129	1	CH3_COMBAT_2	NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM,[boss]FAITH_HEALER	BANJO_OF_DUELING,RAW_EGG,FREE_MANS_CROWBAR	PAPER_CROWN,FINE_BRIE
2-4	13	1	GREEN	6	131	0	CH3_COMBAT_SM	NPC_FIRE_IMP,NPC_CRYSTAL_GOLEM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	NPC_FIRE_IMP,[boss]DRAGON_LADY,COSMIC_ELF	REEL_PRETTY_SWEET_CAPE,STOLEN_SNEAKERS,ENCHANTED_ELBOW_PADS	PAPER_CROWN,RUBBER_VEST
2-5	14	1	GREEN	6	133	0	CH3_COMBAT_SM	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	SNAP_DRAGON,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NINJA_DWARF,NPC_FIRE_IMP,[boss]CRIMSON_WITCH,NPC_CRYSTAL_GOLEM	MELTY_CHOCOLATE_BAR,ENCHANTED_ELBOW_PADS,PAPER_CROWN	RUBBER_VEST,FREE_MANS_CROWBAR
2-6	14	1	GREEN	6	134	1	CH3_COMBAT_3	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	NINJA_DWARF,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	[boss]SNAP_DRAGON,DRAGON_LADY,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	HEMP_BRACELET,GLOVES_OF_CRIT,REEL_SPARKLE_PONY_KEYCHAIN	MY_FIRST_SHIELD,PAPER_CROWN
2-7	15	1	GREEN	6	136	0	CH3_COMBAT_SM	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	NPC_FIRE_IMP,COSMIC_ELF,NPC_WILDLING_ARCHER	[boss]BROZERKER,NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	BANJO_OF_DUELING,RUBBER_VEST,BIT_O_NIP	LOADED_DIE,FREE_MANS_CROWBAR
2-8	15	1	GREEN	6	137	0	CH3_COMBAT_SM	POLEMASTER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_CRYSTAL_GOLEM	[boss]SNAP_DRAGON,ROLLER_WARRIOR,CENTAUR_OF_ATTENTION	RAW_EGG,LOAFERS_OF_ALACRITY,WAND_OF_GOLD_SPARKLES	BIT_O_NIP,LOADED_DIE
2-9	16	1	GREEN	6	139	1	CH3_COMBAT_1	ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,DRAGON_LADY	NPC_GOBLIN,POLEMASTER,[boss]ELECTROYETI,NPC_CRYSTAL_GOLEM	NONSTICK_SHIELD,REEL_SHINY_BOTTLECAP,REEL_PRETTY_SWEET_CAPE	FREE_MANS_CROWBAR,LOADED_DIE
2-10	17	1	GREEN	6	141	0	CH3_COMBAT_SM	DRAGON_LADY,NPC_WILDLING_SNIPER,CENTAUR_OF_ATTENTION	BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	[boss]NINJA_DWARF,ELECTROYETI,COSMIC_ELF,NPC_CRYSTAL_GOLEM	FREE_MANS_CROWBAR,STICK_ON_MOUSTACHE,LOAFERS_OF_ALACRITY	GLOVES_OF_CRIT,BIT_O_NIP
2-11	18	1	GREEN	6	142	0	CH3_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,CRIMSON_WITCH,NPC_CRYSTAL_GOLEM	[boss]POLEMASTER,NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING	HEMP_BRACELET,ARTIFACT_OF_UNIMAGINABLE_POWER,LOADED_DIE	YA_VAMPIRE_SERIES,STICK_ON_MOUSTACHE
2-12	19	1	GREEN	6	144	1	CH3_COMBAT_3	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_ICE_GOLEM,NPC_ICE_GOLEM	[boss]SNAP_DRAGON,ELECTROYETI,COSMIC_ELF,NPC_ICE_GOLEM,NPC_CRYSTAL_GOLEM	MELTY_CHOCOLATE_BAR,RUBBER_VEST,LOAFERS_OF_ALACRITY	ENCHANTED_ELBOW_PADS,LOADED_DIE
2-13	20	1	GREEN	6	145	0	CH3_COMBAT_SM	NPC_GOBLIN,ELECTROYETI,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	DRAGON_LADY,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_CRYSTAL_GOLEM	[boss]ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	GLOVES_OF_CRIT,REEL_SPUD_GUN,STOLEN_SNEAKERS	FREE_MANS_CROWBAR,ARTIFACT_OF_UNIMAGINABLE_POWER
2-14	21	1	GREEN	6	147	0	CH3_COMBAT_SM	NPC_GOBLIN,ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM	DRAGON_LADY,NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,[boss]COSMIC_ELF,ELECTROYETI,CENTAUR_OF_ATTENTION	REEL_SPARKLE_PONY_KEYCHAIN,YA_VAMPIRE_SERIES,SMARTY_PANTS	ARTIFACT_OF_UNIMAGINABLE_POWER,LOADED_DIE
2-15	22	1	GREEN	6	149	1	CH3_COMBAT_2	POLEMASTER,NPC_CRYSTAL_GOLEM	SNAP_DRAGON,NINJA_DWARF,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	ROLLER_WARRIOR,[boss]DRAGON_LADY,UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM	STICK_ON_MOUSTACHE,ARTIFACT_OF_UNIMAGINABLE_POWER,REEL_SPUD_GUN	BIT_O_NIP,FREE_MANS_CROWBAR
2-16	23	1	GREEN	6	150	0	CH3_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,COSMIC_ELF,ELECTROYETI	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM	BROZERKER,NPC_WILDLING_SNIPER,[boss]UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM	NONSTICK_SHIELD,BESSIES_BANE,GOBLIN_GROG	WAND_OF_GOLD_SPARKLES,ENCHANTED_ELBOW_PADS
2-17	24	1	GREEN	6	152	0	CH3_COMBAT_SM	ROLLER_WARRIOR,NPC_GOBLIN,NPC_GOBLIN	BROZERKER,DRAGON_LADY,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_WILDLING_SNIPER,NPC_MYSTIC_WILDLING,[boss]CRIMSON_WITCH,NPC_CRYSTAL_GOLEM	REEL_SHINY_BOTTLECAP,LOAFERS_OF_ALACRITY,WAND_OF_GOLD_SPARKLES	GOBLIN_GROG,HEMP_BRACELET
2-18	25	1	GREEN	6	153	1	CH3_COMBAT_4	POLEMASTER,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	DRAGON_LADY,NINJA_DWARF,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]SNAP_DRAGON,ELECTROYETI,NPC_ICE_GOLEM,CENTAUR_OF_ATTENTION	YA_VAMPIRE_SERIES,BESSIES_BANE,IRON_ORE	STICK_ON_MOUSTACHE,GOBLIN_GROG
