	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	IS_MAJOR	EXP_REWARD	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
1-9	19	2	WHITE	12	1	112	DRAGON_LADY,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	BROZERKER,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_FIRE_IMP,[boss]UNSTABLE_UNDERSTUDY,CRIMSON_WITCH	LOAFERS_OF_ALACRITY,REEL_GOBLIN_WHACKER	STICK_ON_MOUSTACHE,ENCHANTED_ELBOW_PADS
1-12	20	2	WHITE	12	1	116	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	BROZERKER,[boss]DUST_DEVIL,ELECTROYETI,FAITH_HEALER	SMARTY_PANTS,LOADED_DIE	STICK_ON_MOUSTACHE,PAPER_CROWN
1-15	21	2	WHITE	12	1	119	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NINJA_DWARF,NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	[boss]DRAGON_LADY,ELECTROYETI,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,CRIMSON_WITCH	PENETRABLE_ARMOR,REEL_LUCKY_ORCS_FOOT	FOAM_FINGER,PAPER_CROWN
1-18	22	2	GREEN	12	1	123	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING	BROZERKER,DRAGON_LADY,NPC_MYSTIC_WILDLING	ROLLER_WARRIOR,POLEMASTER,[boss]DUST_DEVIL,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	FREE_MANS_CROWBAR,STICK_ON_MOUSTACHE	FOAM_FINGER,LOADED_DIE
2-0	23	2	GREEN	12	1	125	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,DRAGON_LADY,FAITH_HEALER,[boss]CATAPULT_KNIGHT	PROTEIN_POWDER,CAPTAINS_TIGHTPANTS,FOAM_FINGER	PAPER_CROWN,GOBLIN_GROG
2-3	24	2	GREEN	12	1	129	NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM,[boss]FAITH_HEALER	BANJO_OF_DUELING,RAW_EGG,FREE_MANS_CROWBAR	PAPER_CROWN,FINE_BRIE
2-6	25	2	GREEN	12	1	134	NPC_GOBLIN,NPC_GOBLIN,NPC_CRYSTAL_GOLEM	NINJA_DWARF,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	[boss]SNAP_DRAGON,DRAGON_LADY,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	HEMP_BRACELET,GLOVES_OF_CRIT,REEL_SPARKLE_PONY_KEYCHAIN	MY_FIRST_SHIELD,PAPER_CROWN
2-9	26	2	GREEN	12	1	139	ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,DRAGON_LADY	NPC_GOBLIN,POLEMASTER,[boss]ELECTROYETI,NPC_CRYSTAL_GOLEM	NONSTICK_SHIELD,REEL_SHINY_BOTTLECAP,REEL_PRETTY_SWEET_CAPE	FREE_MANS_CROWBAR,LOADED_DIE
2-12	27	3	GREEN	12	1	144	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_ICE_GOLEM,NPC_ICE_GOLEM	[boss]SNAP_DRAGON,ELECTROYETI,COSMIC_ELF,NPC_ICE_GOLEM,NPC_CRYSTAL_GOLEM	MELTY_CHOCOLATE_BAR,RUBBER_VEST,LOAFERS_OF_ALACRITY	ENCHANTED_ELBOW_PADS,LOADED_DIE
2-15	28	3	GREEN	12	1	149	POLEMASTER,NPC_CRYSTAL_GOLEM	SNAP_DRAGON,NINJA_DWARF,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	ROLLER_WARRIOR,[boss]DRAGON_LADY,UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM	STICK_ON_MOUSTACHE,ARTIFACT_OF_UNIMAGINABLE_POWER,REEL_SPUD_GUN	BIT_O_NIP,FREE_MANS_CROWBAR
2-18	29	3	GREEN	12	1	153	POLEMASTER,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	DRAGON_LADY,NINJA_DWARF,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]SNAP_DRAGON,ELECTROYETI,NPC_ICE_GOLEM,CENTAUR_OF_ATTENTION	YA_VAMPIRE_SERIES,BESSIES_BANE,IRON_ORE	STICK_ON_MOUSTACHE,GOBLIN_GROG
3-0	30	3	GREEN_1	12	1	156	NPC_GOBLIN,NPC_GOBLIN	NPC_STONE_IMP,NPC_MYSTIC_WILDLING	CRIMSON_WITCH,[boss]CENTAUR_OF_ATTENTION,FAITH_HEALER	SHARD_MACE_OF_FRIENDSHIP,GLOVES_OF_CRIT,SHARD_REEL_DECODER_RING	PAPER_CROWN,FOAM_FINGER
3-3	31	3	GREEN_1	12	1	163	POLEMASTER,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	BROZERKER,NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]ELECTROYETI,NPC_MYSTIC_WILDLING	SHARD_IMPRACTICAL_CHESTPLATE,REEL_BAG_O_HAMMERS,REEL_PLASTIC_VAMPIRE_TEETH	FINE_BRIE,MY_FIRST_SHIELD,FREE_MANS_CROWBAR
3-6	32	3	GREEN_1	12	1	171	NPC_STONE_IMP,NPC_ICE_GOLEM	POLEMASTER,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	[boss]HYDRA,ELECTROYETI,NPC_WILDLING_ARCHER	SHARD_STAFF_OF_BOSS_FIGHTING,REEL_THE_POWER_OF_MEDICINE,SHARD_SACRED_CODEX	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS,GOBLIN_GROG
3-9	33	3	GREEN_1	12	1	178	BROZERKER,NPC_WILDLING_SNIPER	NPC_STONE_IMP,NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,DARK_DRACUL,NPC_CRYSTAL_GOLEM,[boss]FAITH_HEALER	SHARD_RACING_STRIPES,SHARD_AND_MY_AXE,MELTY_CHOCOLATE_BAR	LOADED_DIE,STICK_ON_MOUSTACHE,REEL_BLOODY_BAT
3-12	34	3	GREEN_1	12	1	185	ROLLER_WARRIOR,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_ICE_GOLEM	NPC_FIRE_IMP,[boss]HYDRA,CRIMSON_WITCH,NPC_CRYSTAL_GOLEM	REEL_VAMPIRE_BUNNYEARS,DAISY_CHAINSAW,BIT_O_NIP,IRON_ORE	RUBBER_VEST,FOAM_FINGER,STICK_ON_MOUSTACHE
3-15	35	3	GREEN_1	12	1	193	CENTAUR_OF_ATTENTION	NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,[boss]UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER,FAITH_HEALER	SHARD_THE_UGLY_STICK,REEL_MAGIC_EIGHT_BALL,REEL_SIDE_OF_BACON	BIT_O_NIP,REEL_BLOODY_BAT,REEL_GOBLIN_WHACKER
3-18	36	3	GREEN_1	12	1	200	NPC_FIRE_IMP,NPC_GOBLIN,NPC_MYSTIC_WILDLING	NPC_FIRE_IMP,NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	ROLLER_WARRIOR,[boss]HYDRA,NPC_ICE_GOLEM,CENTAUR_OF_ATTENTION	SHARD_GENTLEMENS_CLUB,REEL_TEN_FOOT_POLE,SHARD_MUSCLE_WAX	STOLEN_SNEAKERS,WAND_OF_GOLD_SPARKLES,REEL_GOBLIN_WHACKER
4-0	37	3	BLUE	12	1	203	NPC_STONE_IMP	POLEMASTER	BROZERKER,COSMIC_ELF,[boss]CENTAUR_OF_ATTENTION	SHARD_REEL_LASER_POINTER,SHARD_REEL_INTIMIDATING_BEARD,REEL_CHUNKY_FEMUR	REEL_GOBLIN_WHACKER,LOAFERS_OF_ALACRITY,GOBLIN_GROG
4-3	38	3	BLUE	12	1	214	NPC_GOBLIN,NPC_GOBLIN,ELECTROYETI	NPC_GOBLIN,NPC_GOBLIN,CRIMSON_WITCH,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	DRAGON_LADY,NPC_MYSTIC_WILDLING,CENTAUR_OF_ATTENTION,[boss]FAITH_HEALER	ENCHANTED_ELBOW_PADS,SHARD_REEL_KINDNESS,SHARD_REEL_INTIMIDATING_BEARD	REEL_CHUNKY_FEMUR,SMARTY_PANTS,FREE_MANS_CROWBAR
4-6	39	3	BLUE	12	1	224	POLEMASTER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_STONE_IMP,NPC_STONE_IMP,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,[boss]MOON_DRAKE,CENTAUR_OF_ATTENTION	SHARD_DONT_TASE_ME_BOW,LOAFERS_OF_ALACRITY,STOLEN_SNEAKERS	ENCHANTED_ELBOW_PADS,REEL_CHUNKY_FEMUR,STICK_ON_MOUSTACHE
4-9	40	3	BLUE	12	1	234	NPC_FIRE_IMP,NPC_FIRE_IMP,BROZERKER,NPC_ICE_GOLEM	POLEMASTER,NPC_MYSTIC_WILDLING,UNSTABLE_UNDERSTUDY,CENTAUR_OF_ATTENTION	NINJA_DWARF,COSMIC_ELF,[boss]ELECTROYETI,CRIMSON_WITCH,NPC_WILDLING_ARCHER	SHARD_REEL_THE_MAD_GODS_TRIDENT,SHARD_REEL_LEAD_ZEPPELIN,REEL_BLOODY_BAT,IRON_ORE	PENETRABLE_ARMOR,STOLEN_SNEAKERS,REEL_GOBLIN_WHACKER
4-12	41	3	BLUE	12	1	245	DRAGON_LADY,NPC_WILDLING_SNIPER,CENTAUR_OF_ATTENTION	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NINJA_DWARF,MEDUSA,NPC_WILDLING_SNIPER,[boss]MOON_DRAKE,CRIMSON_WITCH	SHARD_REEL_NECRONOMICON,PENETRABLE_ARMOR,FINE_BRIE	REEL_LUCKY_ORCS_FOOT,MY_FIRST_SHIELD,REEL_BLOODY_BAT
4-15	42	3	BLUE	12	1	255	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	DRAGON_LADY,UNSTABLE_UNDERSTUDY,ELECTROYETI,[boss]ROLLER_WARRIOR,FAITH_HEALER	SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SMARTY_PANTS	PROTEIN_POWDER,FINE_BRIE,FOAM_FINGER
4-18	43	3	BLUE	12	1	265	NPC_STONE_IMP,NPC_FIRE_IMP,ELECTROYETI,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_FIRE_IMP,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,[boss]MOON_DRAKE,FAITH_HEALER	SHARD_REEL_THE_COMPENSATOR,REEL_LUCKY_ORCS_FOOT,MY_FIRST_SHIELD	CAPTAINS_TIGHTPANTS,SMARTY_PANTS,FOAM_FINGER
5-0	44	3	BLUE_1	12	1	269	NPC_GOBLIN,UNSTABLE_UNDERSTUDY	NPC_GOBLIN,NPC_GOBLIN,NPC_HEALER_SPRITE	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,[boss]CENTAUR_OF_ATTENTION,ELECTROYETI	GOBLIN_GROG,SHARD_REEL_THINKING_CAP,SHARD_REEL_INTIMIDATING_BEARD,STICK_ON_MOUSTACHE	GOBLIN_GROG,BANJO_OF_DUELING,FREE_MANS_CROWBAR
5-3	45	3	BLUE_1	12	1	279	BROZERKER,MINOTAUR	NINJA_DWARF,NPC_HEALER_SPRITE,NPC_ICE_GOLEM,NPC_ICE_GOLEM	DRAGON_LADY,ROLLER_WARRIOR,NPC_HEALER_SPRITE,[boss]ELECTROYETI,NPC_HEALER_SPRITE,CRIMSON_WITCH	DAISY_CHAINSAW,ARTIFACT_OF_UNIMAGINABLE_POWER,SHARD_REEL_INTIMIDATING_BEARD,SHARD_ADAMANTIUM_TIARA	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS,LOADED_DIE
5-6	46	3	BLUE_1	12	1	290	NINJA_DWARF,NPC_FIRE_IMP,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_STONE_IMP,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM	[boss]DARK_DRACUL,UNSTABLE_UNDERSTUDY,ELECTROYETI,CENTAUR_OF_ATTENTION,FAITH_HEALER	YA_VAMPIRE_SERIES,BANJO_OF_DUELING,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_VORPAL_BOOMERANG	HEMP_BRACELET,ARTIFACT_OF_UNIMAGINABLE_POWER,REEL_BLOODY_BAT
5-9	47	3	BLUE_1	12	1	300	NPC_STONE_IMP,COSMIC_ELF	NPC_STONE_IMP,NPC_STONE_IMP,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM	BROZERKER,[boss]DRAGON_LADY,ROLLER_WARRIOR,NPC_WILDLING_SNIPER,CRIMSON_WITCH	REEL_VAMPIRE_BUNNYEARS,FOAM_FINGER,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_DEATH_METAL_BLADE	BANJO_OF_DUELING,GLOVES_OF_CRIT,REEL_GOBLIN_WHACKER
5-12	48	4	BLUE_1	12	1	310	BROZERKER,NPC_ICE_GOLEM,NPC_CRYSTAL_GOLEM	DRAGON_LADY,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	ROLLER_WARRIOR,[boss]DUST_DEVIL,COSMIC_ELF,UNSTABLE_UNDERSTUDY,NPC_WILDLING_SNIPER,NPC_CRYSTAL_GOLEM	HEMP_BRACELET,SHARD_REEL_THINKING_CAP,SHARD_SACRED_CODEX,SHARD_FRAMED_DIPLOMA	NONSTICK_SHIELD,SHARD_VORPAL_BOOMERANG,FOAM_FINGER
5-15	49	4	BLUE_1	12	1	321	NPC_STONE_IMP,NPC_CRYSTAL_GOLEM	NPC_STONE_IMP,NPC_STONE_IMP,NPC_WILDLING_SNIPER,CENTAUR_OF_ATTENTION,NPC_CRYSTAL_GOLEM	[boss]DARK_HORSE,POLEMASTER,DRAGON_LADY,CATAPULT_KNIGHT,ELECTROYETI	SHARD_AND_MY_AXE,CAPTAINS_TIGHTPANTS,RAW_EGG,REEL_SPARKLE_PONY_KEYCHAIN	BIT_O_NIP,REEL_SHINY_BOTTLECAP,MY_FIRST_SHIELD
5-18	50	4	BLUE_1	12	1	331	NPC_FIRE_IMP,NPC_FIRE_IMP,UNSTABLE_UNDERSTUDY	NINJA_DWARF,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE	[boss]SNAP_DRAGON,NPC_FIRE_IMP,DARK_DRACUL,ELECTROYETI,COSMIC_ELF,FAITH_HEALER	GOBLIN_GROG,WAND_OF_GOLD_SPARKLES,REEL_SHINY_BOTTLECAP,REEL_PRETTY_SWEET_CAPE	SHARD_SACRED_CODEX,RUBBER_VEST,LOADED_DIE
6-0	51	4	BLUE_2	12	1	334	DRAGON_LADY,POLEMASTER,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_BUFF_SPRITE,NPC_BUFF_SPRITE,CRIMSON_WITCH,ELECTROYETI,[boss]UNSTABLE_UNDERSTUDY	PROTEIN_POWDER,REEL_MAGIC_EIGHT_BALL,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_SUPER_SPIKEY_SPEAR	GOBLIN_GROG,SHARD_REEL_LASER_POINTER,IRON_ORE
6-3	52	4	BLUE_2	12	1	351	ROLLER_WARRIOR,NPC_BUFF_SPRITE,NPC_ICE_GOLEM	NPC_BUFF_SPRITE,NPC_STONE_IMP,NPC_BUFF_SPRITE,CATAPULT_KNIGHT	NPC_STONE_IMP,NPC_STONE_IMP,UNSTABLE_UNDERSTUDY,NPC_WILDLING_SNIPER,NPC_ICE_GOLEM,[boss]MEDUSA	SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_MACE_OF_FRIENDSHIP,SHARD_GENTLEMENS_CLUB,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER	STICK_ON_MOUSTACHE,ENCHANTED_ELBOW_PADS,BANJO_OF_DUELING
6-6	54	4	BLUE_2	12	1	367	NPC_BUFF_SPRITE,ELECTROYETI,COSMIC_ELF	NPC_BUFF_SPRITE,DRAGON_LADY,ROLLER_WARRIOR	NPC_STONE_IMP,[boss]BROZERKER,MEDUSA,NPC_WILDLING_ARCHER,NPC_ICE_GOLEM,SHADOW_ASSASSIN	REEL_SIDE_OF_BACON,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SHARD_REEL_LASER_POINTER,SHARD_REEL_THE_1_RING	SHARD_REEL_INTIMIDATING_BEARD,SHARD_DONT_TASE_ME_BOW,FREE_MANS_CROWBAR
6-9	55	4	BLUE_2	12	1	384	NPC_GOBLIN,NPC_BUFF_SPRITE,NPC_GOBLIN	DRAGON_LADY,ROLLER_WARRIOR,FAITH_HEALER,NPC_BUFF_SPRITE,NPC_ICE_GOLEM	POLEMASTER,NPC_BUFF_SPRITE,NPC_STONE_IMP,CATAPULT_KNIGHT,ELECTROYETI,[boss]HYDRA	REEL_SPUD_GUN,SHARD_REEL_THE_COMPENSATOR,SHARD_REEL_INTIMIDATING_BEARD,SHARD_HEAD_BANGER	BANJO_OF_DUELING,SHARD_REEL_THE_MAD_GODS_TRIDENT,SHARD_IMPRACTICAL_CHESTPLATE
6-12	57	5	BLUE_2	12	1	401	NPC_BUFF_SPRITE,NPC_GOBLIN,COSMIC_ELF,ELECTROYETI	ROLLER_WARRIOR,POLEMASTER,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM,NPC_GOBLIN	NPC_GOBLIN,DARK_DRACUL,DRAGON_LADY,NPC_WILDLING_ARCHER,[boss]GROOVY_DRUID,NPC_FIRE_IMP	REEL_PLASTIC_VAMPIRE_TEETH,SHARD_MUSCLE_WAX,REEL_BAG_O_HAMMERS,SHARD_REEL_LEAD_ZEPPELIN	REEL_VAMPIRE_BUNNYEARS,IRON_ORE,REEL_SPARKLE_PONY_KEYCHAIN
6-15	58	5	BLUE_2	12	1	417	DRAGON_LADY,BROZERKER,NPC_ICE_GOLEM,NPC_STONE_IMP	NPC_BUFF_SPRITE,ELECTROYETI,NPC_MYSTIC_WILDLING,NPC_WILDLING_SNIPER,NPC_STONE_IMP	DARK_DRACUL,UNSTABLE_UNDERSTUDY,CATAPULT_KNIGHT,CENTAUR_OF_ATTENTION,ZOMBIE_SQUIRE,[boss]POLEMASTER	SHARD_REEL_NECRONOMICON,REEL_THE_POWER_OF_MEDICINE,SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,SHARD_REEL_DIPLOMATIC_IMMUNITY	SHARD_REEL_DEATH_METAL_BLADE,FINE_BRIE,IRON_ORE
6-18	60	5	BLUE_2	12	1	434	NPC_BUFF_SPRITE,ROLLER_WARRIOR,FAITH_HEALER,NPC_GOBLIN	UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM,NPC_ICE_GOLEM,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	DARK_DRACUL,BROZERKER,ELECTROYETI,ZOMBIE_SQUIRE,DARK_HORSE,[boss]MOON_DRAKE	LOADED_DIE,ARTIFACT_OF_UNIMAGINABLE_POWER,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_DIRK_OF_DISEMBOWELING	SHARD_SACRED_CODEX,SMARTY_PANTS,SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA
7-0	61	5	PURPLE	14	1	440	NPC_TROLL_BLOB,NPC_TROLL_BLOB	NPC_GOBLIN,MEDUSA,NPC_TROLL_BLOB	NPC_ICE_GOLEM,NPC_ICE_GOLEM,[boss]CATAPULT_KNIGHT	SHARD_DONT_TASE_ME_BOW,SHARD_REEL_KINDNESS,SHARD_BUNNY_SLIPPERS	SHARD_FRAMED_DIPLOMA,SHARD_REEL_THE_COMPENSATOR,WAND_OF_GOLD_SPARKLES
7-3	62	5	PURPLE	14	1	449	NPC_TROLL_BLOB,NPC_ICE_GOLEM,NPC_BUFF_SPRITE	NPC_CRYSTAL_GOLEM,NPC_TROLL_BLOB,NPC_BUFF_SPRITE,NPC_CRYSTAL_GOLEM	NINJA_DWARF,UNSTABLE_UNDERSTUDY,MEDUSA,ELECTROYETI,NPC_CRYSTAL_GOLEM,[boss]MAGIC_DRAGON	SHARD_REEL_THE_MAD_GODS_TRIDENT,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_REEL_HAMMER_OF_WICKED_BEATS	RAW_EGG,GOBLIN_GROG,SHARD_REEL_THE_COMPENSATOR,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION
7-6	63	5	PURPLE	14	1	460	NPC_TROLL_BLOB,NPC_BUFF_SPRITE,CATAPULT_KNIGHT	NPC_TROLL_BLOB,UNSTABLE_UNDERSTUDY,NPC_BUFF_SPRITE,NPC_TROLL_BLOB,NPC_STONE_IMP	DRAGON_LADY,COSMIC_ELF,BARDBARIAN,NPC_BUFF_SPRITE,NPC_CRYSTAL_GOLEM,[boss]GROOVY_DRUID	REEL_VAMPIRE_BUNNYEARS,REEL_TEN_FOOT_POLE,SHARD_REEL_THE_1_RING	WAND_OF_GOLD_SPARKLES,STICK_ON_MOUSTACHE,REEL_BLOODY_BAT
