	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	IS_MAJOR	EXP_REWARD	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
1-9	178	5	CYAN_4	20	1	1255	ANCIENT_DWARF,STOWAWAY,VOID_WYVERN,PIRATE,ANGELIC_HERALD,GRAND_HUNTRESS	DIGGER_MOLE,MAGIC_DRAGON,TOMB_ANGEL,FORGOTTEN_DRAGON,AQUATIC_MAN,BURNT_ONE	DRAGON_SLAYER,BONE_DRAGON,DARK_HORSE,BROZERKER,SNIPER_WOLF,[boss]SHADOW_ASSASSIN	SHARD_REEL_DEDICATED_SHADOW_ASSASSIN,SHARD_REEL_DRACONIAN_DISH,SHARD_REEL_RING_OF_TEMPTATION,SHARD_LAZARUS_BEANS,SHARD_NAUGHTY_TAPESTRY	SHARD_REEL_DEDICATED_SHADOW_ASSASSIN,SHARD_REEL_DEDICATED_SHADOW_ASSASSIN,SHARD_REEL_DEDICATED_SHADOW_ASSASSIN,SHARD_REEL_DEDICATED_SHADOW_ASSASSIN,SHARD_REEL_DEDICATED_SHADOW_ASSASSIN
1-12	179	5	CYAN_4	20	1	1257	MOON_DRAKE,SILENT_SPIRIT,ANGEL_DRAGON,DUNGEON_MAN,SOJOURNER_SORCERESS,WEREDRAGON	CYCLOPS_WIZARD,ELECTROYETI,DEEP_DRAGON,DARK_HORSE,ANGELIC_HERALD,ANCIENT_DWARF	COSMIC_ELF,FORGOTTEN_DRAGON,ZOMBIE_SQUIRE,FAITH_HEALER,SNAPPER_BONE,[boss]ORC_MONK	SHARD_REEL_DEDICATED_ORC_MONK,SHARD_REEL_PORTABLE_NUTRITIOUS_DIET,SHARD_REEL_MAI_TAI_OF_IMMUNITY,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_MANLY_FIRST_AID_KIT	SHARD_REEL_DEDICATED_ORC_MONK,SHARD_REEL_DEDICATED_ORC_MONK,SHARD_REEL_DEDICATED_ORC_MONK,SHARD_REEL_DEDICATED_ORC_MONK,SHARD_REEL_DEDICATED_ORC_MONK,SHARD_REEL_DEDICATED_ORC_MONK
1-15	179	5	CYAN_4	20	1	1256	DUST_DEVIL,FAITH_HEALER,DARK_DRACUL,CRIMSON_WITCH,AQUATIC_MAN,BARDBARIAN	CURSED_STATUE,STOWAWAY,PLAGUE_ENTREPRENEUR,DIGGER_MOLE,DRAGON_LADY,FROST_GIANT	BLACK_WING,LAST_DEFENDER,TOMB_ANGEL,COSMIC_ELF,SNAP_DRAGON,[boss]ROLLER_WARRIOR	SHARD_REEL_DEDICATED_ROLLER_WARRIOR,SHARD_REEL_ANCIENT_COIN,SHARD_REEL_WRAITH_BARRIER,SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_TRIASSIC_TRINKET	SHARD_REEL_DEDICATED_ROLLER_WARRIOR,SHARD_REEL_DEDICATED_ROLLER_WARRIOR,SHARD_REEL_DEDICATED_ROLLER_WARRIOR,SHARD_REEL_DEDICATED_ROLLER_WARRIOR,SHARD_REEL_DEDICATED_ROLLER_WARRIOR,SHARD_REEL_DEDICATED_ROLLER_WARRIOR
1-18	180	5	CYAN_4	20	1	1258	BURNT_ONE,ETERNAL_ENCHANTER,STEPLADDER_BROTHERS,FROST_GIANT,SOJOURNER_SORCERESS,BLACK_WING	WEE_WITCH,NINJA_DWARF,SADISTIC_DANCER,CRIMSON_WITCH,UNICORGI,PIRATE	BROZERKER,GRAND_HUNTRESS,MINOTAUR,PLAGUE_ENTREPRENEUR,ANGELIC_HERALD,[boss]COSMIC_ELF	SHARD_REEL_DEDICATED_COSMIC_ELF,SHARD_REEL_FAMILY_TREE_OF_UMLAUT,SHARD_REEL_THE_SPEAR_BRINGS_VICTORY,SHARD_REEL_BUNNY_BLADE,SHARD_REEL_RUBY_FLIP_FLOPS	SHARD_REEL_DEDICATED_COSMIC_ELF,SHARD_REEL_DEDICATED_COSMIC_ELF,SHARD_REEL_DEDICATED_COSMIC_ELF,SHARD_REEL_DEDICATED_COSMIC_ELF,SHARD_REEL_DEDICATED_COSMIC_ELF,SHARD_REEL_DEDICATED_COSMIC_ELF
2-0	181	5	CYAN_4	20	1	1257	MAGIC_DRAGON,TRIPLE_THREAT,HYDRA,NINJA_DWARF,SPECTRAL_DRAGON,SKELETON_KING	VULTURE_DRAGON,UNSTABLE_UNDERSTUDY,PLANT_SOUL,DWARVEN_ARCHER,DARK_DRACUL,FAITH_HEALER	STORM_DRAGON,TOMB_ANGEL,MEDUSA,POLEMASTER,SOJOURNER_SORCERESS,[boss]BARDBARIAN	SHARD_PRICKLING_WHIP,SHARD_REEL_DRAGON_SAND_BOOTS,SHARD_REEL_SAND_STORM,SHARD_MAD_GODS_MUG,SHARD_REEL_FLATTERING_MIRROR	SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP
2-3	181	5	CYAN_4	20	1	1261	DEMON_TOTEM,FROST_GIANT,SKELETON_KING,ETERNAL_ENCHANTER,BURNT_ONE,DRAGZILLA	BARDBARIAN,GENIE,SAVAGE_CUTIE,LAST_DEFENDER,ANGELIC_HERALD,GREED_DRAGON	KRAKEN_KING,ELECTROYETI,VILE_BILE,DUST_DEVIL,STEPLADDER_BROTHERS,[boss]UNRIPE_MYTHOLOGY	SHARD_REEL_MASK_OF_THE_ANCIENT_KING,SHARD_GOLDEN_SLINGSHOT,SHARD_REEL_BLUNT_BLADE	SHARD_WILDYS_HAT,SHARD_WILDYS_HAT,SHARD_WILDYS_HAT,SHARD_WILDYS_HAT,SHARD_WILDYS_HAT,SHARD_WILDYS_HAT
2-6	182	5	CYAN_4	20	1	1260	ANGEL_DRAGON,MISTRESS_MANICURE,FROST_GIANT,SHADOW_OF_SVEN,POLEMASTER,STORM_DRAGON	COSMIC_ELF,MINOTAUR,RABID_DRAGON,DRUIDINATRIX,UNICORGI,VOID_WYVERN	SUN_SEEKER,WEE_WITCH,PLAGUE_ENTREPRENEUR,ANCIENT_DWARF,DARK_DRACUL,[boss]DEEP_DRAGON	SHARD_REEL_DEDICATED_DEEP_DRAGON,SHARD_REEL_MAGICAL_CREAM,SHARD_CAT_O_NINE_TAILS,SHARD_REEL_LOST_GREAVES	SHARD_REEL_DEDICATED_DEEP_DRAGON,SHARD_REEL_DEDICATED_DEEP_DRAGON,SHARD_REEL_DEDICATED_DEEP_DRAGON,SHARD_REEL_DEDICATED_DEEP_DRAGON,SHARD_REEL_DEDICATED_DEEP_DRAGON,SHARD_REEL_DEDICATED_DEEP_DRAGON
2-9	183	5	CYAN_4	20	1	1259	RAGING_REVENANT,MINOTAUR,DOPPELGANGER,SAVAGE_CUTIE,COSMIC_ELF,SPECTRAL_DRAGON	BONE_DRAGON,CATAPULT_KNIGHT,BLACK_WING,BULWARK_ANGEL,AQUATIC_MAN,ETERNAL_ENCHANTER	DRUIDINATRIX,ELECTROYETI,ANCIENT_DWARF,DUST_DEVIL,UNRIPE_MYTHOLOGY,[boss]NINJA_DWARF	SHARD_REEL_DEDICATED_NINJA_DWARF,SHARD_REEL_BALANCE_OF_LIFE,SHARD_REEL_DANCERS_BRA,ILLUSORY_HURDLE,SHARD_GIANTS_GROG	SHARD_REEL_DEDICATED_NINJA_DWARF,SHARD_REEL_DEDICATED_NINJA_DWARF,SHARD_REEL_DEDICATED_NINJA_DWARF,SHARD_REEL_DEDICATED_NINJA_DWARF,SHARD_REEL_DEDICATED_NINJA_DWARF,SHARD_REEL_DEDICATED_NINJA_DWARF
2-12	184	5	CYAN_4	20	1	1261	MISTRESS_MANICURE,DUST_DEVIL,SHADOW_ASSASSIN,SAVAGE_CUTIE,POLEMASTER,BARDBARIAN	DRAGON_LADY,SUN_SEEKER,GENIE,STEPLADDER_BROTHERS,SPIDER_QUEEN,NINJA_DWARF	SHADOW_OF_SVEN,RAGING_REVENANT,SOJOURNER_SORCERESS,CRIMSON_WITCH,BONE_DRAGON,[boss]UNSTABLE_UNDERSTUDY	SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY,SHARD_REEL_MIRACLE_FURNACE_OF_BLACKSMITH,SHARD_REEL_PURIFICATION_ROBE,AUTO_FLUTE,SHARD_AGED_DRAGON_MILK	SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY,SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY,SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY,SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY,SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY,SHARD_REEL_DEDICATED_UNSTABLE_UNDERSTUDY
2-15	184	5	CYAN_4	20	1	1257	FAITH_HEALER,DOPPELGANGER,ETERNAL_ENCHANTER,TRIPLE_THREAT,DEEP_DRAGON,CURSED_STATUE	DWARVEN_ARCHER,SPIDER_QUEEN,ROLLER_WARRIOR,ORC_MONK,SILENT_SPIRIT,MINOTAUR	ELECTROYETI,DUNGEON_MAN,GREED_DRAGON,DARK_HORSE,CYCLOPS_WIZARD,[boss]DEMON_TOTEM	SHARD_REEL_DEDICATED_DEMON_TOTEM,SHARD_REEL_GOOD_SLEEPING_BED,SHARD_REEL_DENSE_CAKE_OF_HATE,CROWNING_ACHIEVEMENT,SHARD_POISONED_DAGGER	SHARD_REEL_DEDICATED_DEMON_TOTEM,SHARD_REEL_DEDICATED_DEMON_TOTEM,SHARD_REEL_DEDICATED_DEMON_TOTEM,SHARD_REEL_DEDICATED_DEMON_TOTEM,SHARD_REEL_DEDICATED_DEMON_TOTEM,SHARD_REEL_DEDICATED_DEMON_TOTEM
2-18	185	5	CYAN_4	20	1	1260	CRIMSON_WITCH,ANGELIC_HERALD,KRAKEN_KING,FROST_GIANT,FAITH_HEALER,SUN_SEEKER	MEDUSA,ORC_MONK,DRUIDINATRIX,STORM_DRAGON,GREED_DRAGON,DOPPELGANGER	HYDRA,SAVAGE_CUTIE,RAGING_REVENANT,ROLLER_WARRIOR,PLAGUE_ENTREPRENEUR,[boss]SNAP_DRAGON	SHARD_REEL_DEDICATED_SNAP_DRAGON,SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_CRUDE_SNIPPERS,BELL_OF_SILENCE,SHARD_RINGS_OF_A_FEATHER	SHARD_REEL_DEDICATED_SNAP_DRAGON,SHARD_REEL_DEDICATED_SNAP_DRAGON,SHARD_REEL_DEDICATED_SNAP_DRAGON,SHARD_REEL_DEDICATED_SNAP_DRAGON,SHARD_REEL_DEDICATED_SNAP_DRAGON,SHARD_REEL_DEDICATED_SNAP_DRAGON
