	MIN_LAUNCH_ANGLE	MAX_LAUNCH_ANGLE	MIN_LAUNCH_SPEED	MAX_LAUNCH_SPEED	GRAVITY	HOMING
MEDUSA_1	-20	20	4500	4500	0	FALSE
AQUATIC_1	-180	180	1500	2000	0	FALSE
BARDBARIAN_0	-180	180	2000	3000	0	FALSE
BONE_DRAGON_0	-180	180	2000	3000	0	FALSE
BONE_DRAGON_1	-180	180	2000	3000	0	FALSE
BONE_DRAGON_2	-180	180	2000	3000	0	FALSE
NPC_INFERNO_SPIDER_0	45	80	2500	3000	6.4	FALSE
MAGIC_DRAGON_0	-180	180	2000	2500	0	FALSE
MAGIC_DRAGON_1	-180	180	2500	3000	0	FALSE
MAGIC_DRAGON_2	-180	180	2000	2500	0	FALSE
MAGIC_DRAGON_3	-180	180	2500	3000	0	FALSE
SHADOW_ASSASSIN_0	-45	45	3500	4500	2	FALSE
SHADOW_ASSASSIN_2	-45	45	3500	4500	2	FALSE
SHADOW_ASSASSIN_3	-45	45	4000	5000	2	FALSE
GROOVY_DRUID_0	-45	45	2000	2500	0	FALSE
GROOVY_DRUID_1	-45	45	1000	1000	0	FALSE
GROOVY_DRUID_2	-45	45	1000	1500	0	FALSE
NPC_SCARECROW_0	-45	45	2500	3000	2	FALSE
SPIKEY_DRAGON_0_0	-10	45	1500	4500	5.2	FALSE
SPIKEY_DRAGON_0_1	-12	43	1500	4500	5.4	FALSE
SPIKEY_DRAGON_0_2	-11	44	1500	4500	5.6	FALSE
SPIKEY_DRAGON_0_3	-13	42	1500	4500	5	FALSE
SPIKEY_DRAGON_0_4	-9	46	1500	4500	5.8	FALSE
SPIKEY_DRAGON_1	45	60	1500	4500	6.4	FALSE
SPIKEY_DRAGON_2	45	60	1500	4500	6.4	FALSE
SPIKEY_DRAGON_3	0	150	2500	4500	0	FALSE
FROST_GIANT_0	-45	45	4000	4500	0	FALSE
FROST_GIANT_1	-45	45	4000	4500	0	FALSE
FROST_GIANT_2	-45	45	4000	4500	1	FALSE
DRUIDINATRIX_1	-45	45	2500	4500	1	FALSE
DRUIDINATRIX_3	-180	180	3500	4500	0	FALSE
NPC_EVIL_WIZARD_BOMB	-60	60	2500	4000	3	FALSE
RABID_DRAGON_0	-45	45	2500	4000	0	FALSE
RABID_DRAGON_2	-45	45	3500	3500	0	FALSE
DWARVEN_ARCHER_0	-45	45	3500	4500	2	FALSE
DWARVEN_ARCHER_2	-45	45	3500	4500	2	FALSE
NPC_GOLD_COLOSSUS_GOLD	-45	45	3500	4500	0	FALSE
NPC_GIANT_PLANT_SPEW_POISON	-45	45	3500	4500	0	FALSE
NPC_SQUID_SQUIRT	30	80	2000	4000	5.5	FALSE
NPC_MUSHROOM_0	-45	45	2500	4500	1	FALSE
SATYR_1	-45	45	3500	4500	0	FALSE
SATYR_2	-180	180	3500	4500	0	FALSE
STORM_DRAGON_0	-45	45	2500	3500	0	FALSE
STORM_DRAGON_1	-45	45	1500	2500	0	FALSE
STORM_DRAGON_3	-60	60	3000	4000	2	FALSE
SKELETON_KING_0	-45	45	2500	4500	0	FALSE
GENIE_1	-45	45	4000	4000	0	FALSE
DRAGZILLA_0	-45	45	2500	3500	0	FALSE
DRAGZILLA_2	-45	45	2500	3500	2	FALSE
PIRATE_0	-25	25	4500	5500	0	FALSE
PIRATE_1	-45	45	3000	4000	0	FALSE
PIRATE_3	0	45	2000	4500	5	FALSE
PIRATE_4	-25	25	4500	5500	0	FALSE
PIRATE_5	-25	25	4500	5500	0	FALSE
CYCLOPS_WIZARD_0	-45	45	2500	3500	0	FALSE
CYCLOPS_WIZARD_1	-45	45	2500	3500	0	FALSE
CYCLOPS_WIZARD_2	20	60	2000	4500	3	FALSE
CYCLOPS_WIZARD_3	-45	45	2500	3500	0	FALSE
NPC_EYEBALL_0	-180	180	2500	3500	0	FALSE
DOPPELGANGER_0	-180	180	3000	4000	0	FALSE
DOPPELGANGER_2	-180	180	3000	4000	0	FALSE
DEEP_DRAGON_0	-180	180	3000	4000	0	FALSE
DEEP_DRAGON_3	-180	180	3000	4000	0	FALSE
NPC_SQUIRREL_0	-45	45	4000	4000	0	FALSE
STOWAWAY_0	-180	180	3000	4000	0	FALSE
STOWAWAY_1	-60	60	3000	4000	2	FALSE
STOWAWAY_4	-180	180	4000	4000	0	FALSE
CURSED_STATUE_0	-180	180	4500	4500	0	FALSE
CURSED_STATUE_1	-180	180	5000	5000	0	FALSE
CURSED_STATUE_3	-180	180	4500	4500	0	FALSE
VULTURE_DRAGON_2	-180	180	4500	4500	0	FALSE
PLANT_SOUL_1	-180	180	3000	4000	0	FALSE
GENIE_TITAN	-45	45	4000	4000	0	FALSE
BANSHEE_0	-180	-180	3000	3000	0	FALSE
RAGING_REVENANT_0	-180	-180	4000	4000	0	FALSE
RAGING_REVENANT_2	-90	90	3000	4000	1	FALSE
SPECTRAL_DRAGON_0	-180	180	3000	4000	0	FALSE
SPECTRAL_DRAGON_1	-180	180	1800	2500	0	FALSE
SPECTRAL_DRAGON_2_0	-180	180	3500	4500	2	FALSE
SPECTRAL_DRAGON_2_1	-180	180	3500	4500	2	FALSE
SPECTRAL_DRAGON_2_2	-180	180	3500	4500	2	FALSE
SPECTRAL_DRAGON_2_3	-180	180	3500	4500	2	FALSE
SPECTRAL_DRAGON_4	-180	180	3000	4000	0	FALSE
WEREDRAGON_0	-45	45	1500	1500	0	FALSE
DUNGEON_MAN_0	0	45	3500	4000	4	FALSE
DUNGEON_MAN_1	-30	30	1500	2000	0	FALSE
DUNGEON_MAN_2	-30	30	500	1000	0	FALSE
PLAGUE_ENTREPRENEUR_2	-90	90	4000	4000	0	FALSE
WEE_WITCH_0	-25	25	4500	5500	0	FALSE
WEE_WITCH_1	-45	45	2500	3500	0	FALSE
VOID_WYVERN_0	-180	180	2000	2000	0	FALSE
VOID_WYVERN_2	-180	180	4500	4500	0	FALSE
VOID_WYVERN_3	-180	180	4500	4500	0	FALSE
MISTRESS_MANICURE_0	-45	45	3500	4000	0	FALSE
MISTRESS_MANICURE_3	-45	45	2500	3000	0	FALSE
NPC_LYING_LANTERN_1	0	45	2500	3000	0	FALSE
ANGELIC_HERALD_0	-180	180	2000	2000	0	FALSE
TOMB_ANGEL_0	-180	180	4500	4500	0	FALSE
TOMB_ANGEL_2	-180	180	3000	3000	0	FALSE
ETERNAL_ENCHANTER_0	-180	180	2000	2000	0	FALSE
ETERNAL_ENCHANTER_2	-180	180	2000	2000	0	FALSE
TRIPLE_THREAT_3	45	80	100	5000	4	FALSE
GRAND_HUNTRESS_0	-180	180	4500	4500	0	FALSE
GRAND_HUNTRESS_3	-180	180	5000	5000	0	FALSE
SOJOURNER_SORCERESS_0	-90	90	3500	4000	0	FALSE
SOJOURNER_SORCERESS_1	-20	45	1500	4500	6.4	FALSE
KARAOKE_KING_0	-180	180	5000	5000	0	FALSE
KARAOKE_KING_2	-180	180	5000	5000	0	FALSE
SUN_SEEKER_1	-12	43	1500	4500	5.4	FALSE
STEPLADDER_BROTHERS_0	-180	180	5000	5000	0	FALSE
STEPLADDER_BROTHERS_1	-180	180	5000	5000	0	FALSE
STEPLADDER_BROTHERS_4	-180	180	5000	5000	0	FALSE
NPC_CRYSTAL_LIZARD_0	-90	90	3500	4000	0	FALSE
BLACK_WING_0	-90	90	3500	4000	0	FALSE
BLACK_WING_1	-180	180	5000	5000	0	FALSE
UNRIPE_MYTHOLOGY_0	-180	180	2000	2000	0	FALSE
UNRIPE_MYTHOLOGY_1	-20	45	2000	5000	6.4	FALSE
UNRIPE_MYTHOLOGY_3	-180	180	2000	2000	0	FALSE
ANCIENT_DWARF_0	-20	45	1500	4500	6.4	FALSE
ANCIENT_DWARF_4	-20	45	4500	4500	6.4	FALSE
NPC_ANUBIS_DRAGON_0	-90	90	3500	4000	0	FALSE
NPC_KING_IMP_0	-90	90	3500	4000	0	FALSE
WHITE_TIGRESS_0_0	-90	90	3500	4000	0	FALSE
WHITE_TIGRESS_0_1	-90	90	3500	4000	0	FALSE
WHITE_TIGRESS_0_2	-90	90	3500	4000	0	FALSE
WHITE_TIGRESS_1	-90	90	3500	4000	0	FALSE
WHITE_TIGRESS_3	-90	90	3500	4000	0	FALSE
VERMILION_PRIESTESS_0	-90	90	4000	5000	0	FALSE
VERMILION_PRIESTESS_1	-90	90	1800	3000	0	FALSE
NPC_ABYSS_DRAGON_0_0	-90	90	3500	4000	0	FALSE
NPC_ABYSS_DRAGON_0_1	-90	90	3500	4000	0	FALSE
NPC_ABYSS_DRAGON_0_2	-90	90	3500	4000	0	FALSE
NPC_BOSS_ANUBIS_DRAGON_0	-90	90	3500	4000	0	FALSE
PCH_ANUBIS_DRAGON_0	0	0	3500	3500	0	FALSE
PCH_ANUBIS_DRAGON_1	0	0	2200	2200	0	FALSE
NPC_SINISTER_ASSAILANT_1	-20	40	1800	2200	0	FALSE
DARK_HERO_1	-180	180	4500	4500	0	FALSE
DARK_HERO_2	-180	180	4500	4500	0	FALSE
