	TIER	DIVISION	MIN_POS	MAX_POS	DIAMONDS	GOLD	FIGHT_TOKENS	ITEM_REWARDS
39	GOLD	2	1	5	78	25800	330	EXP_PHILTER:3;EXP_FLASK:3
40	GOLD	2	6	10	77	25150	322	EXP_PHILTER:3;EXP_FLASK:2
41	GOLD	2	11	25	76	24500	314	EXP_PHILTER:3;EXP_FLASK:2
42	GOLD	2	26	50	75	23850	306	EXP_PHILTER:3;EXP_FLASK:2
43	GOLD	2	51	200	74	23200	298	EXP_PHILTER:3;EXP_FLASK:2
44	GOLD	3	1	5	74	23200	298	EXP_PHILTER:3;EXP_FLASK:2
45	GOLD	3	6	10	73	22600	291	EXP_PHILTER:3;EXP_FLASK:1
46	GOLD	3	11	25	72	22000	284	EXP_PHILTER:3;EXP_FLASK:1
47	GOLD	3	26	50	71	21400	277	EXP_PHILTER:3;EXP_FLASK:1
48	GOLD	3	51	200	70	20800	270	EXP_PHILTER:3;EXP_FLASK:1
49	GOLD	4	1	5	70	20800	270	EXP_PHILTER:3;EXP_FLASK:1
50	GOLD	4	6	10	69	20250	263	EXP_PHILTER:3
51	GOLD	4	11	25	68	19700	256	EXP_PHILTER:3
52	GOLD	4	26	50	67	19150	249	EXP_PHILTER:3
53	GOLD	4	51	200	66	18600	242	EXP_PHILTER:3
54	GOLD	5	1	5	66	18600	242	EXP_PHILTER:3
55	GOLD	5	6	10	65	18100	235	EXP_PHILTER:2;EXP_FLASK:4
56	GOLD	5	11	25	64	17600	228	EXP_PHILTER:2;EXP_FLASK:4
57	GOLD	5	26	50	63	17100	221	EXP_PHILTER:2;EXP_FLASK:4
58	GOLD	5	51	200	62	16600	214	EXP_PHILTER:2;EXP_FLASK:4
59	SILVER	1	1	5	62	16600	214	EXP_PHILTER:2;EXP_FLASK:4
60	SILVER	1	6	10	61	16150	208	EXP_PHILTER:2;EXP_FLASK:3
61	SILVER	1	11	25	60	15700	202	EXP_PHILTER:2;EXP_FLASK:3
62	SILVER	1	26	50	59	15250	196	EXP_PHILTER:2;EXP_FLASK:3
63	SILVER	1	51	200	58	14800	190	EXP_PHILTER:2;EXP_FLASK:3
64	SILVER	2	1	5	58	14800	190	EXP_PHILTER:2;EXP_FLASK:3
65	SILVER	2	6	10	57	14375	184	EXP_PHILTER:2;EXP_FLASK:2
66	SILVER	2	11	25	56	13950	178	EXP_PHILTER:2;EXP_FLASK:2
67	SILVER	2	26	50	55	13525	172	EXP_PHILTER:2;EXP_FLASK:2
68	SILVER	2	51	200	54	13100	166	EXP_PHILTER:2;EXP_FLASK:2
69	SILVER	3	1	5	54	13100	166	EXP_PHILTER:2;EXP_FLASK:2
70	SILVER	3	6	10	53	12700	161	EXP_PHILTER:2;EXP_FLASK:1
71	SILVER	3	11	25	52	12300	156	EXP_PHILTER:2;EXP_FLASK:1
72	SILVER	3	26	50	51	11900	151	EXP_PHILTER:2;EXP_FLASK:1
73	SILVER	3	51	200	50	11500	146	EXP_PHILTER:2;EXP_FLASK:1
74	SILVER	4	1	5	50	11500	146	EXP_PHILTER:2;EXP_FLASK:1
75	SILVER	4	6	10	49	11125	141	EXP_PHILTER:2
76	SILVER	4	11	25	48	10750	136	EXP_PHILTER:2
77	SILVER	4	26	50	47	10375	131	EXP_PHILTER:2
78	SILVER	4	51	200	46	10000	126	EXP_PHILTER:2
79	SILVER	5	1	5	46	10000	126	EXP_PHILTER:2
80	SILVER	5	6	10	45	9650	121	EXP_PHILTER:1;EXP_FLASK:4
81	SILVER	5	11	25	44	9300	116	EXP_PHILTER:1;EXP_FLASK:4
82	SILVER	5	26	50	43	8950	111	EXP_PHILTER:1;EXP_FLASK:4
83	SILVER	5	51	200	42	8600	106	EXP_PHILTER:1;EXP_FLASK:4
84	BRONZE	1	1	5	42	8600	106	EXP_PHILTER:1;EXP_FLASK:4
85	BRONZE	1	6	10	41	8275	102	EXP_PHILTER:1;EXP_FLASK:3
86	BRONZE	1	11	25	40	7950	98	EXP_PHILTER:1;EXP_FLASK:3
87	BRONZE	1	26	50	39	7625	94	EXP_PHILTER:1;EXP_FLASK:3
88	BRONZE	1	51	200	38	7300	90	EXP_PHILTER:1;EXP_FLASK:3
89	BRONZE	2	1	5	38	7300	90	EXP_PHILTER:1;EXP_FLASK:3
90	BRONZE	2	6	10	37	7000	86	EXP_PHILTER:1;EXP_FLASK:2
91	BRONZE	2	11	25	36	6700	82	EXP_PHILTER:1;EXP_FLASK:2
92	BRONZE	2	26	50	35	6400	78	EXP_PHILTER:1;EXP_FLASK:2
93	BRONZE	2	51	200	34	6100	74	EXP_PHILTER:1;EXP_FLASK:2
94	BRONZE	3	1	5	34	6100	74	EXP_PHILTER:1;EXP_FLASK:2
95	BRONZE	3	6	10	33	5825	71	EXP_PHILTER:1;EXP_FLASK:1
96	BRONZE	3	11	25	32	5550	68	EXP_PHILTER:1;EXP_FLASK:1
97	BRONZE	3	26	50	31	5275	65	EXP_PHILTER:1;EXP_FLASK:1
98	BRONZE	3	51	200	30	5000	62	EXP_PHILTER:1;EXP_FLASK:1
99	BRONZE	4	1	5	30	5000	62	EXP_PHILTER:1;EXP_FLASK:1
100	BRONZE	4	6	10	29	4750	59	EXP_PHILTER:1
101	BRONZE	4	11	25	28	4500	56	EXP_PHILTER:1
102	BRONZE	4	26	50	27	4250	53	EXP_PHILTER:1
103	BRONZE	4	51	200	26	4000	50	EXP_PHILTER:1
104	BRONZE	5	1	5	26	4000	50	EXP_PHILTER:1
105	BRONZE	5	6	10	25	3775	47	EXP_FLASK:4
106	BRONZE	5	11	25	24	3550	44	EXP_FLASK:4
107	BRONZE	5	26	50	23	3325	41	EXP_FLASK:4
108	BRONZE	5	51	200	22	3100	38	EXP_FLASK:4
109	COPPER	1	1	5	22	3100	38	EXP_FLASK:4
110	COPPER	1	6	10	21	2900	36	EXP_FLASK:3
111	COPPER	1	11	25	20	2700	34	EXP_FLASK:3
112	COPPER	1	26	50	19	2500	32	EXP_FLASK:3
113	COPPER	1	51	200	18	2300	30	EXP_FLASK:3
114	COPPER	2	1	5	18	2300	30	EXP_FLASK:3
115	COPPER	2	6	10	17	2125	28	EXP_FLASK:2
116	COPPER	2	11	25	16	1950	26	EXP_FLASK:2
117	COPPER	2	26	50	15	1775	24	EXP_FLASK:2
118	COPPER	2	51	200	14	1600	22	EXP_FLASK:2
119	COPPER	3	1	5	14	1600	22	EXP_FLASK:2
120	COPPER	3	6	10	13	1450	21	EXP_FLASK:1
121	COPPER	3	11	25	12	1300	20	EXP_FLASK:1
122	COPPER	3	26	50	11	1150	19	EXP_FLASK:1
123	COPPER	3	51	200	10	1000	18	EXP_FLASK:1
124	COPPER	4	1	5	10	1000	18	EXP_FLASK:1
125	COPPER	4	6	10	9	875	17	
126	COPPER	4	11	25	8	750	16	
127	COPPER	4	26	50	7	625	15	
128	COPPER	4	51	200	6	500	14	
129	COPPER	5	1	5	6	500	14	
130	COPPER	5	6	10	5	400	13	
131	COPPER	5	11	25	4	300	12	
132	COPPER	5	26	50	3	200	11	
133	COPPER	5	51	200	2	100	10	
