	TIER	DIVISION	MIN_POS	MAX_POS	DIAMONDS	GOLD	FIGHT_TOKENS	ITEM_REWARDS
69	SILVER	3	1	5	54	0	166	EXP_DECANTER:1;EXP_VIAL:2;EXP_PHILTER:2
70	SILVER	3	6	10	53	0	161	EXP_DECANTER:1;EXP_VIAL:2;EXP_PHILTER:1
71	SILVER	3	11	20	52	0	156	EXP_DECANTER:1;EXP_VIAL:2
72	SILVER	3	21	40	50	0	146	EXP_DECANTER:1;EXP_VIAL:1;EXP_PHILTER:3
73	SILVER	3	41	200	50	0	146	EXP_DECANTER:1;EXP_VIAL:1;EXP_PHILTER:3
74	SILVER	4	1	5	50	0	146	EXP_DECANTER:1;EXP_VIAL:1;EXP_PHILTER:3
75	SILVER	4	6	10	49	0	141	EXP_DECANTER:1;EXP_VIAL:1;EXP_PHILTER:2
76	SILVER	4	11	20	48	0	136	EXP_DECANTER:1;EXP_VIAL:1;EXP_PHILTER:1
77	SILVER	4	21	40	46	0	126	EXP_DECANTER:1;EXP_PHILTER:4
78	SILVER	4	41	200	46	0	126	EXP_DECANTER:1;EXP_PHILTER:4
79	SILVER	5	1	5	46	0	126	EXP_DECANTER:1;EXP_PHILTER:4
80	SILVER	5	6	10	45	0	121	EXP_DECANTER:1;EXP_PHILTER:3
81	SILVER	5	11	20	44	0	116	EXP_DECANTER:1;EXP_PHILTER:2
82	SILVER	5	21	40	42	0	106	EXP_DECANTER:1
83	SILVER	5	41	200	42	0	106	EXP_DECANTER:1
84	BRONZE	1	1	5	42	0	106	EXP_DECANTER:1
85	BRONZE	1	6	10	41	0	102	EXP_VIAL:4;EXP_PHILTER:4
86	BRONZE	1	11	20	40	0	98	EXP_VIAL:4;EXP_PHILTER:3
87	BRONZE	1	21	40	38	0	90	EXP_VIAL:4;EXP_PHILTER:1
88	BRONZE	1	41	200	38	0	90	EXP_VIAL:4;EXP_PHILTER:1
89	BRONZE	2	1	5	38	0	90	EXP_VIAL:4;EXP_PHILTER:1
90	BRONZE	2	6	10	37	0	86	EXP_VIAL:4
91	BRONZE	2	11	20	36	0	82	EXP_VIAL:3;EXP_PHILTER:4
92	BRONZE	2	21	40	34	0	74	EXP_VIAL:3;EXP_PHILTER:2
93	BRONZE	2	41	200	34	0	74	EXP_VIAL:3;EXP_PHILTER:2
94	BRONZE	3	1	5	34	0	74	EXP_VIAL:3;EXP_PHILTER:2
95	BRONZE	3	6	10	33	0	71	EXP_VIAL:3;EXP_PHILTER:1
96	BRONZE	3	11	20	32	0	68	EXP_VIAL:3
97	BRONZE	3	21	40	30	0	62	EXP_VIAL:2;EXP_PHILTER:3
98	BRONZE	3	41	200	30	0	62	EXP_VIAL:2;EXP_PHILTER:3
99	BRONZE	4	1	5	30	0	62	EXP_VIAL:2;EXP_PHILTER:3
100	BRONZE	4	6	10	29	0	59	EXP_VIAL:2;EXP_PHILTER:2
101	BRONZE	4	11	20	28	0	56	EXP_VIAL:2;EXP_PHILTER:1
102	BRONZE	4	21	40	26	0	50	EXP_VIAL:1;EXP_PHILTER:4
103	BRONZE	4	41	200	26	0	50	EXP_VIAL:1;EXP_PHILTER:4
104	BRONZE	5	1	5	26	0	50	EXP_VIAL:1;EXP_PHILTER:4
105	BRONZE	5	6	10	25	0	47	EXP_VIAL:1;EXP_PHILTER:3
106	BRONZE	5	11	20	24	0	44	EXP_VIAL:1;EXP_PHILTER:2
107	BRONZE	5	21	40	22	0	38	EXP_VIAL:1;EXP_PHILTER:1
108	BRONZE	5	41	200	22	0	38	EXP_VIAL:1;EXP_PHILTER:1
109	COPPER	1	1	5	22	0	38	EXP_VIAL:1;EXP_PHILTER:1
110	COPPER	1	6	10	21	0	36	EXP_VIAL:1
111	COPPER	1	11	20	20	0	34	EXP_VIAL:1
112	COPPER	1	21	40	18	0	30	EXP_VIAL:1
113	COPPER	1	41	200	18	0	30	EXP_VIAL:1
114	COPPER	2	1	5	18	0	30	EXP_VIAL:1
115	COPPER	2	6	10	17	0	28	EXP_PHILTER:4
116	COPPER	2	11	20	16	0	26	EXP_PHILTER:4
117	COPPER	2	21	40	14	0	22	EXP_PHILTER:4
118	COPPER	2	41	200	14	0	22	EXP_PHILTER:4
119	COPPER	3	1	5	14	0	22	EXP_PHILTER:4
120	COPPER	3	6	10	13	0	21	EXP_PHILTER:3
121	COPPER	3	11	20	12	0	20	EXP_PHILTER:3
122	COPPER	3	21	40	10	0	18	EXP_PHILTER:3
123	COPPER	3	41	200	10	0	18	EXP_PHILTER:3
124	COPPER	4	1	5	10	0	18	EXP_PHILTER:3
125	COPPER	4	6	10	9	0	17	EXP_PHILTER:2
126	COPPER	4	11	20	8	0	16	EXP_PHILTER:2
127	COPPER	4	21	40	6	0	14	EXP_PHILTER:2
128	COPPER	4	41	200	6	0	14	EXP_PHILTER:2
129	COPPER	5	1	5	6	0	14	EXP_PHILTER:2
130	COPPER	5	6	10	5	0	13	EXP_PHILTER:1
131	COPPER	5	11	20	4	0	12	EXP_PHILTER:1
132	COPPER	5	21	40	2	0	10	EXP_PHILTER:1
133	COPPER	5	41	200	2	0	10	EXP_PHILTER:1
