	HERO	BONUS	MAGNITUDE
108	HYDRA	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
109	HYDRA	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
110	HYDRA	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
111	HYDRA	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
112	HYDRA	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
113	HYDRA	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
114	MAGIC_DRAGON	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
115	MAGIC_DRAGON	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
116	MAGIC_DRAGON	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
117	MAGIC_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
118	MAGIC_DRAGON	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
119	MAGIC_DRAGON	COOLDOWN_REDUCTION	0.0023*(6S-2+(2^S)+(L+(L>14)*2)*S)
120	MEDUSA	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
121	MEDUSA	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
122	MEDUSA	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
123	MEDUSA	LONGER_DISABLES	0.0042*(6S-2+(2^S)+(L+(L>14)*2)*S)
124	MEDUSA	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
125	MEDUSA	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
126	MINOTAUR	STRENGTH	0.018*(6S-2+(2^S)+(L+(L>14)*2)*S)
127	MINOTAUR	ARMOR	0.02*(6S-2+(2^S)+(L+(L>14)*2)*S)
128	MINOTAUR	BASHING_DMG_AMP	0.0006*(6S-2+(2^S)+(L+(L>14)*2)*S)
129	MINOTAUR	LIFE_STEAL_RATING	0.6*(6S-2+(2^S)+(L+(L>14)*2)*S)
130	MINOTAUR	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
131	MINOTAUR	ENERGY_WHEN_ATTACKED	0.12*(6S-2+(2^S)+(L+(L>14)*2)*S)
132	MOON_DRAKE	INTELLECT	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
133	MOON_DRAKE	DODGE	0.12*(6S-2+(2^S)+(L+(L>14)*2)*S)
134	MOON_DRAKE	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
135	MOON_DRAKE	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
136	MOON_DRAKE	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
137	MOON_DRAKE	COOLDOWN_REDUCTION	0.0023*(6S-2+(2^S)+(L+(L>14)*2)*S)
138	NINJA_DWARF	AGILITY	0.025*(6S-2+(2^S)+(L+(L>14)*2)*S)
139	NINJA_DWARF	ARMOR	0.025*(6S-2+(2^S)+(L+(L>14)*2)*S)
140	NINJA_DWARF	BASHING_DMG_AMP	0.00105*(6S-2+(2^S)+(L+(L>14)*2)*S)
141	NINJA_DWARF	MOVEMENT_SPEED_MODIFIER	0.0048*(6S-2+(2^S)+(L+(L>14)*2)*S)
142	NINJA_DWARF	TENACITY	0.012*(6S-2+(2^S)+(L+(L>14)*2)*S)
143	NINJA_DWARF	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
144	ORC_MONK	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
145	ORC_MONK	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
146	ORC_MONK	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
147	ORC_MONK	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
148	ORC_MONK	IMPROVE_HEALING	0.045*(6S-2+(2^S)+(L+(L>14)*2)*S)
149	ORC_MONK	LARGER_SHIELDS	0.0099*(6S-2+(2^S)+(L+(L>14)*2)*S)
150	POLEMASTER	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
151	POLEMASTER	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
152	POLEMASTER	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
153	POLEMASTER	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
154	POLEMASTER	ENERGY_WHEN_ATTACKED	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
155	POLEMASTER	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
156	RABID_DRAGON	AGILITY	0.025*(6S-2+(2^S)+(L+(L>14)*2)*S)
157	RABID_DRAGON	MAX_HP	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
158	RABID_DRAGON	ELECTRICAL_DMG_AMP	0.0011*(6S-2+(2^S)+(L+(L>14)*2)*S)
159	RABID_DRAGON	FIRE_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
160	RABID_DRAGON	MOVEMENT_SPEED_MODIFIER	0.0048*(6S-2+(2^S)+(L+(L>14)*2)*S)
161	RABID_DRAGON	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
162	ROLLER_WARRIOR	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
163	ROLLER_WARRIOR	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
164	ROLLER_WARRIOR	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
165	ROLLER_WARRIOR	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
166	ROLLER_WARRIOR	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
167	ROLLER_WARRIOR	ENERGY_WHEN_ATTACKED	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
168	SATYR	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
169	SATYR	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
170	SATYR	PIERCING_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
171	SATYR	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
172	SATYR	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
173	SATYR	PHYSICAL_CRIT	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
174	SAVAGE_CUTIE	STRENGTH	0.024*(6S-2+(2^S)+(L+(L>14)*2)*S)
175	SAVAGE_CUTIE	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
176	SAVAGE_CUTIE	SLASHING_DMG_AMP	0.00105*(6S-2+(2^S)+(L+(L>14)*2)*S)
177	SAVAGE_CUTIE	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
178	SAVAGE_CUTIE	ENERGY_WHEN_ATTACKED	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
179	SAVAGE_CUTIE	TENACITY	0.014*(6S-2+(2^S)+(L+(L>14)*2)*S)
180	SHADOW_ASSASSIN	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
181	SHADOW_ASSASSIN	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
182	SHADOW_ASSASSIN	PIERCING_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
183	SHADOW_ASSASSIN	PHYSICAL_CRIT	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
184	SHADOW_ASSASSIN	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
185	SHADOW_ASSASSIN	ARMOR_PENETRATION	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
186	SKELETON_KING	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
187	SKELETON_KING	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
188	SKELETON_KING	NECROTIC_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
189	SKELETON_KING	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
190	SKELETON_KING	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
191	SKELETON_KING	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
192	SNAP_DRAGON	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
193	SNAP_DRAGON	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
194	SNAP_DRAGON	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
195	SNAP_DRAGON	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
196	SNAP_DRAGON	ACCURACY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
197	SNAP_DRAGON	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
198	SPIKEY_DRAGON	AGILITY	0.025*(6S-2+(2^S)+(L+(L>14)*2)*S)
199	SPIKEY_DRAGON	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
200	SPIKEY_DRAGON	PIERCING_DMG_AMP	0.00105*(6S-2+(2^S)+(L+(L>14)*2)*S)
201	SPIKEY_DRAGON	ATTACK_DAMAGE	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
202	SPIKEY_DRAGON	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
203	SPIKEY_DRAGON	COOLDOWN_REDUCTION	0.0023*(6S-2+(2^S)+(L+(L>14)*2)*S)
204	STORM_DRAGON	INTELLECT	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
205	STORM_DRAGON	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
206	STORM_DRAGON	ELECTRICAL_DMG_AMP	0.0014*(6S-2+(2^S)+(L+(L>14)*2)*S)
207	STORM_DRAGON	IGNORE_MAGIC_RESISTANCE	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
208	STORM_DRAGON	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
209	STORM_DRAGON	SKILL_LEVEL	0.09*(6S-2+(2^S)+(L+(L>14)*2)*S)
210	GENIE	INTELLECT	0.014*(6S-2+(2^S)+(L+(L>14)*2)*S)
211	GENIE	MAX_HP	0.24*(6S-2+(2^S)+(L+(L>14)*2)*S)
212	GENIE	MAGIC_POWER	0.027*(6S-2+(2^S)+(L+(L>14)*2)*S)
213	GENIE	LIFE_STEAL_RATING	0.4*(6S-2+(2^S)+(L+(L>14)*2)*S)
214	GENIE	ARMOR_PENETRATION	0.0075*(6S-2+(2^S)+(L+(L>14)*2)*S)
215	GENIE	STARTING_ENERGY	0.3*(6S-2+(2^S)+(L+(L>14)*2)*S)
216	UNICORGI	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
217	UNICORGI	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
218	UNICORGI	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
219	UNICORGI	MOVEMENT_SPEED_MODIFIER	0.0048*(6S-2+(2^S)+(L+(L>14)*2)*S)
220	UNICORGI	IMPROVE_HEALING	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
221	UNICORGI	PHYSICAL_CRIT	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
222	SNIPER_WOLF	INTELLECT	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
223	SNIPER_WOLF	MAX_HP	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
224	SNIPER_WOLF	MAGIC_POWER	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
225	SNIPER_WOLF	PHYSICAL_CRIT	0.015*(6S-2+(2^S)+(L+(L>14)*2)*S)
226	SNIPER_WOLF	STARTING_ENERGY	0.45*(6S-2+(2^S)+(L+(L>14)*2)*S)
227	SNIPER_WOLF	CRIT_DAMAGE_BONUS	0.0012*(6S-2+(2^S)+(L+(L>14)*2)*S)
228	UNSTABLE_UNDERSTUDY	INTELLECT	0.027*(6S-2+(2^S)+(L+(L>14)*2)*S)
229	UNSTABLE_UNDERSTUDY	STARTING_ENERGY	0.6*(6S-2+(2^S)+(L+(L>14)*2)*S)
230	UNSTABLE_UNDERSTUDY	MAGIC_POWER	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
231	UNSTABLE_UNDERSTUDY	ACCURACY	0.15*(6S-2+(2^S)+(L+(L>14)*2)*S)
232	UNSTABLE_UNDERSTUDY	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
233	UNSTABLE_UNDERSTUDY	PHYSICAL_CRIT	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
234	ZOMBIE_SQUIRE	STRENGTH	0.036*(6S-2+(2^S)+(L+(L>14)*2)*S)
235	ZOMBIE_SQUIRE	ARMOR	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
236	ZOMBIE_SQUIRE	BASHING_DMG_AMP	0.003*(6S-2+(2^S)+(L+(L>14)*2)*S)
237	ZOMBIE_SQUIRE	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
238	ZOMBIE_SQUIRE	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
239	ZOMBIE_SQUIRE	ENERGY_WHEN_ATTACKED	0.27*(6S-2+(2^S)+(L+(L>14)*2)*S)
240	DEMON_TOTEM	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
241	DEMON_TOTEM	DODGE	0.18*(6S-2+(2^S)+(L+(L>14)*2)*S)
242	DEMON_TOTEM	ATTACK_DAMAGE	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
243	DEMON_TOTEM	ATTACK_SPEED_MODIFIER	0.00072*(6S-2+(2^S)+(L+(L>14)*2)*S)
244	DEMON_TOTEM	LIFE_STEAL_RATING	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
245	DEMON_TOTEM	TENACITY	0.021*(6S-2+(2^S)+(L+(L>14)*2)*S)
246	DRAGZILLA	AGILITY	0.0495*(6S-2+(2^S)+(L+(L>14)*2)*S)
247	DRAGZILLA	MAX_HP	0.54*(6S-2+(2^S)+(L+(L>14)*2)*S)
248	DRAGZILLA	FIRE_DMG_AMP	0.0021*(6S-2+(2^S)+(L+(L>14)*2)*S)
249	DRAGZILLA	ENERGY_CONSUMPTION_REDUCTION	0.0015*(6S-2+(2^S)+(L+(L>14)*2)*S)
250	DRAGZILLA	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
251	DRAGZILLA	STARTING_ENERGY	0.9*(6S-2+(2^S)+(L+(L>14)*2)*S)
252	CYCLOPS_WIZARD	INTELLECT	0.054*(6S-2+(2^S)+(L+(L>14)*2)*S)
253	CYCLOPS_WIZARD	MAGIC_RESISTANCE	0.03*(6S-2+(2^S)+(L+(L>14)*2)*S)
254	CYCLOPS_WIZARD	MAGIC_POWER	0.108*(6S-2+(2^S)+(L+(L>14)*2)*S)
