	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/01/2018	11/27/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/16/2018	08/13/2018	08/06/2018	08/02/2018	08/01/2018	07/19/2018	07/16/2018	07/09/2018	07/05/2018	07/02/2018	07/01/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/24/2018	05/21/2018	05/14/2018	05/10/2018	05/07/2018	05/01/2018	04/26/2018	04/23/2018	04/16/2018	04/12/2018	04/09/2018	04/01/2018	03/29/2018	03/26/2018	03/15/2018	03/12/2018	03/01/2018	02/26/2018	02/15/2018	02/12/2018	02/01/2018	01/29/2018	01/18/2018	01/16/2018	01/15/2018	01/04/2018	01/01/2018	12/21/2017	12/18/2017	12/07/2017	12/05/2017	12/04/2017	12/01/2017	11/23/2017	11/20/2017	11/09/2017	11/06/2017	11/01/2017	10/26/2017	10/24/2017	10/23/2017	10/19/2017	10/16/2017	10/05/2017	10/02/2017	10/01/2017	09/28/2017	09/25/2017	09/18/2017	09/14/2017	09/12/2017	09/11/2017	09/01/2017	08/31/2017	08/28/2017	08/17/2017	08/14/2017	08/10/2017	08/08/2017	08/07/2017	08/03/2017	08/01/2017	07/31/2017	07/20/2017	07/17/2017	07/13/2017	07/10/2017	07/06/2017	07/04/2017	07/03/2017	07/01/2017	06/22/2017	06/19/2017	06/15/2017	06/12/2017	06/09/2017	06/08/2017	06/07/2017	06/06/2017	06/01/2017	05/11/2017	05/02/2017	05/01/2017
CH_1_NODE_6	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY
CH_1_NODE_7	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL
CH_2_NODE_1	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER
CH_2_NODE_2	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER
CH_2_NODE_3	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL
CH_2_NODE_4	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER
CH_2_NODE_5	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL
CH_2_NODE_6	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER
CH_2_NODE_7	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL
CH_3_NODE_1	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT
