	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/13/2018	12/10/2018	12/06/2018	12/03/2018	12/01/2018	11/29/2018	11/27/2018	11/26/2018	11/22/2018	11/19/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/09/2018	08/06/2018	08/01/2018	07/19/2018	07/16/2018	07/01/2018	06/28/2018	06/25/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/17/2018	05/14/2018	05/01/2018	04/26/2018	04/23/2018	04/05/2018	04/02/2018	04/01/2018	03/15/2018	03/12/2018	03/01/2018	02/22/2018	02/19/2018	02/01/2018	01/29/2018	01/11/2018	01/08/2018	01/01/2018	12/21/2017	12/18/2017	12/04/2017	12/01/2017	11/01/2017	10/30/2017	10/12/2017	10/09/2017	10/04/2017	10/01/2017	09/21/2017	09/18/2017	09/01/2017	08/31/2017	08/28/2017	08/10/2017	08/08/2017	08/07/2017	08/01/2017	07/20/2017	07/17/2017	07/01/2017	06/29/2017	06/27/2017	06/26/2017	06/15/2017	06/09/2017	06/07/2017	06/01/2017	05/11/2017	05/01/2017	04/28/2017	04/27/2017	04/21/2017
CH_4_NODE_3	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA
CH_4_NODE_4	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR
CH_4_NODE_5	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA
CH_4_NODE_6	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR
CH_4_NODE_7	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA
CH_5_NODE_1	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF
CH_5_NODE_2	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF
CH_5_NODE_3	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF
CH_5_NODE_4	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID
CH_5_NODE_5	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE
CH_5_NODE_6	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID
CH_5_NODE_7	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE
CH_6_NODE_1	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR
CH_6_NODE_2	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF
CH_6_NODE_3	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI
CH_6_NODE_4	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR
