	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARD_1	REWARD_1_QTY	REWARD_2	REWARD_2_QTY	REWARD_3	REWARD_3_QTY	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	VALUE	EXTRA	CAMPAIGN_TYPE	CAMPAIGN_CHAPTER	CAMPAIGN_LEVEL	GOOGLE_ID
17	DAILY_MERCENARY	DAILY_QUEST	10	quests_mercenary	jobBoard	EXP_PHILTER	1	TEAM_XP	25				OncePerDay,TL18	DailyUses>=1		mercenary_post				
18	DAILY_ENCHANTING	DAILY_QUEST	14	quests_enchanting	enchanting	VOID_DUST	1	TEAM_XP	50				OncePerDay,TL35	DailyUses>=1		enchanting				
19	DAILY_CRYPT_RAID	DAILY_QUEST	13	quests_crypt	cryptRaid	GUILD_TOKENS	100						OncePerDay,TL30	DailyUses>=1		cryptRaid				
20	DAILY_COLISEUM	DAILY_QUEST	15	quests_coliseum	coliseum	GOLD	2000*(1+0.112L)	TEAM_XP	100				OncePerDay,TL44	DailyUses>=1		coliseumUse				
21	DAILY_BOSS_PIT	DAILY_QUEST	16	quests_bosspit	bossPit	GOLD	1000*(1+0.112L)	TEAM_XP	100				OncePerDay,TL55	DailyUses>=1		bossPitWin				
22	DAILY_RUNE_EMPOWER	DAILY_QUEST	17	quests_runes	runes	RUNICITE_STONE	1	TEAM_XP	50				OncePerDay,RunesUnlocked	DailyUses>=1		runeEmpowerAttempt				
23	DAILY_OFFERING	DAILY_QUEST	18	quests_rune_shrine	rune_shrine	RUNICITE_STONE	1	TEAM_XP	50				OncePerDay,RunesUnlocked	DailyUses>=1		runeShrineUse				
24	DAILY_CHALLENGES_5	DAILY_QUEST	11	quests_challenges	challenges	GOLD	1000*(1+0.112L)	TEAM_XP	75			13	OncePerDay,FollowUp,TL40	DailyUses>=5		challenges				
25	DAILY_50_CAMPAIGN_USES	DAILY_QUEST	4	quests_instance_finishes	campaign/NORMAL/latest	EXP_FLASK	3	TEAM_XP	120			8	OncePerDay,FollowUp,TL50	DailyUses>=50		campaign_any				
26	DAILY_15_POWER_POINTS	DAILY_QUEST	5	quests_skill_upgrades	skills	GOLD	2000*(1+0.112L)	TEAM_XP	50			7	OncePerDay,FollowUp,TL58	DailyUses>=15		skill_upgrade				
27	DAILY_8_FIGHT_PIT_USES	DAILY_QUEST	6	quests_arena_challenges	arena	GOLD	2000*(1+0.112L)	TEAM_XP	75			9	OncePerDay,FollowUp,TL64	DailyUses>=8		fightPit_any				
28	DAILY_25_ELITE_CAMPAIGN_USES	DAILY_QUEST	7	quests_elite_finishes	campaign/ELITE/latest	EXP_PHILTER	1	TEAM_XP	150			10	OncePerDay,FollowUp,TL70,Campaign0-18Win	DailyUses>=25		campaign_elite				
29	DAILY_EXPEDITION_5	DAILY_QUEST	12	quests_expedition	expedition	GOLD	2000*(1+0.112L)	TEAM_XP	125			14	OncePerDay,FollowUp,TL74	DailyUses>=5		expedition_any				
30	DAILY_25_CHESTS	DAILY_QUEST	3	quests_chest_summons	chests			TEAM_XP	200			6	OncePerDay,FollowUp,TL79	DailyUses>=25		chest_any				
31	DAILY_CRYPT_RAID_5	DAILY_QUEST	13	quests_crypt	cryptRaid	GUILD_TOKENS	100	TEAM_XP	250			19	OncePerDay,FollowUp,TL85	DailyUses>=5		cryptRaid				
32	DAILY_GOLD_BUY_5	DAILY_QUEST	8	quests_alchemy	alchemy	GOLD	1000*(1+0.112L)	TEAM_XP	75			11	OncePerDay,FollowUp,TL89	DailyUses>=5		buy_gold				
33	DAILY_ENCHANTING_5	DAILY_QUEST	14	quests_enchanting	enchanting	VOID_DUST	1	TEAM_XP	175			18	OncePerDay,FollowUp,TL96	DailyUses>=5		enchanting				
34	DAILY_COLISEUM_8	DAILY_QUEST	15	quests_coliseum	coliseum	GOLD	2000*(1+0.112L)	TEAM_XP	300			20	OncePerDay,FollowUp,TL105	DailyUses>=8		coliseumUse				
50	TEAM_LEVEL_5	ACHIEVEMENT	2	achievement_team_level		STONE_DRAGON_LADY	1						Once, TL5							CgkI5qmGxtIaEAIQAQ
51	TEAM_LEVEL_10	ACHIEVEMENT	2	achievement_team_level		STONE_UNSTABLE_UNDERSTUDY	2					50	Once,FollowUp	TL10						CgkI5qmGxtIaEAIQBA
52	TEAM_LEVEL_15	ACHIEVEMENT	2	achievement_team_level		STONE_CENTAUR_OF_ATTENTION	3					51	Once,FollowUp	TL15						CgkI5qmGxtIaEAIQBQ
53	TEAM_LEVEL_20	ACHIEVEMENT	2	achievement_team_level		STONE_FAITH_HEALER	4					52	Once,FollowUp	TL20						CgkI5qmGxtIaEAIQBg
54	TEAM_LEVEL_25	ACHIEVEMENT	2	achievement_team_level		STONE_COSMIC_ELF	5	GOLD	50000			53	Once,FollowUp	TL25						CgkI5qmGxtIaEAIQBw
55	TEAM_LEVEL_30	ACHIEVEMENT	2	achievement_team_level		VOID_DUST	20	GOLD	100000			54	Once,FollowUp	TL30						CgkI5qmGxtIaEAIQCA
56	TEAM_LEVEL_35	ACHIEVEMENT	2	achievement_team_level		STAMINA_CONSUMABLE	1	GOLD	200000			55	Once,FollowUp	TL35						CgkI5qmGxtIaEAIQCQ
57	TEAM_LEVEL_40	ACHIEVEMENT	2	achievement_team_level		STAMINA_CONSUMABLE	2	GOLD	300000			56	Once,FollowUp	TL40						CgkI5qmGxtIaEAIQCg
58	TEAM_LEVEL_45	ACHIEVEMENT	2	achievement_team_level		STAMINA_CONSUMABLE	3	GOLD	400000			57	Once,FollowUp	TL45						CgkI5qmGxtIaEAIQCw
59	TEAM_LEVEL_50	ACHIEVEMENT	2	achievement_team_level		STAMINA_CONSUMABLE	4	GOLD	500000			58	Once,FollowUp	TL50						CgkI5qmGxtIaEAIQDA
60	TEAM_LEVEL_55	ACHIEVEMENT	2	achievement_team_level		STAMINA_CONSUMABLE	5	GOLD	500000			59	Once,FollowUp	TL55						CgkI5qmGxtIaEAIQDQ
61	TEAM_LEVEL_60	ACHIEVEMENT	2	achievement_team_level		STAMINA_CONSUMABLE	6	GOLD	500000			60	Once,FollowUp	TL60						CgkI5qmGxtIaEAIQDg
62	TEAM_LEVEL_65	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	3	GOLD	500000			61	Once,FollowUp,HasTL	TL65	65					
63	TEAM_LEVEL_70	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	3	GOLD	500000			62	Once,FollowUp,HasTL	TL70	70					
64	TEAM_LEVEL_75	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	2	GOLD	600000			63	Once,FollowUp,HasTL	TL75	75					
65	TEAM_LEVEL_80	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	4	GOLD	600000			64	Once,FollowUp,HasTL	TL80	80					
66	TEAM_LEVEL_85	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	4	GOLD	600000			65	Once,FollowUp,HasTL	TL85	85					
67	TEAM_LEVEL_90	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	3	GOLD	600000			66	Once,FollowUp,HasTL	TL90	90					
68	TEAM_LEVEL_95	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	5	GOLD	700000			67	Once,FollowUp,HasTL	TL95	95					
69	TEAM_LEVEL_100	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	5	GOLD	700000			68	Once,FollowUp,HasTL	TL100	100					
70	TEAM_LEVEL_105	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	4	GOLD	700000			69	Once,FollowUp,HasTL	TL105	105					
71	TEAM_LEVEL_110	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	6	GOLD	700000			70	Once,FollowUp,HasTL	TL110	110					
72	TEAM_LEVEL_115	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	6	GOLD	800000			71	Once,FollowUp,HasTL	TL115	115					
73	TEAM_LEVEL_120	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	5	GOLD	800000			72	Once,FollowUp,HasTL	TL120	120					
74	TEAM_LEVEL_125	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	12	GOLD	800000			73	Once,FollowUp,HasTL	TL125	125					
75	TEAM_LEVEL_130	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	12	GOLD	800000			74	Once,FollowUp,HasTL	TL130	130					
76	TEAM_LEVEL_135	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	10	GOLD	900000			75	Once,FollowUp,HasTL	TL135	135					
77	TEAM_LEVEL_140	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	20	GOLD	900000			76	Once,FollowUp,HasTL	TL140	140					
78	TEAM_LEVEL_145	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	20	GOLD	900000			77	Once,FollowUp,HasTL	TL145	145					
79	TEAM_LEVEL_150	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	15	GOLD	900000			78	Once,FollowUp,HasTL	TL150	150					
80	TEAM_LEVEL_155	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_1	25	GOLD	1000000			79	Once,FollowUp,HasTL	TL155	155					
81	TEAM_LEVEL_160	ACHIEVEMENT	2	achievement_team_level		OFFERING_MAJOR_2	25	GOLD	1000000			80	Once,FollowUp,HasTL	TL160	160					
82	TEAM_LEVEL_165	ACHIEVEMENT	2	achievement_team_level		OFFERING_KEYSTONE	20	GOLD	1000000			81	Once,FollowUp,HasTL	TL165	165					
100	SUMMON_HERO_LIGHTNING	ACHIEVEMENT	5	hero_button_electroyeti		EXP_FLASK	5					10006	Once,FollowUp	HeroUnlocked		ELECTROYETI				
101	SUMMON_HERO_FAITH_HEALER	ACHIEVEMENT	5	hero_button_faith_healer		EXP_FLASK	5					10106	Once,FollowUp	HeroUnlocked		FAITH_HEALER				
102	SUMMON_6_HEROES	ACHIEVEMENT	5	hero_collection		EXP_FLASK	10						Once, TL22, 6+Heroes							CgkI5qmGxtIaEAIQDw
103	SUMMON_7_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	3					102	Once,FollowUp	7+Heroes						CgkI5qmGxtIaEAIQEA
104	SUMMON_8_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	4					103	Once,FollowUp	8+Heroes						CgkI5qmGxtIaEAIQEQ
105	SUMMON_9_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	5					104	Once,FollowUp	9+Heroes						CgkI5qmGxtIaEAIQEg
106	SUMMON_10_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	6					105	Once,FollowUp	10+Heroes						CgkI5qmGxtIaEAIQEw
107	SUMMON_11_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	7					106	Once,FollowUp	11+Heroes						CgkI5qmGxtIaEAIQFA
108	SUMMON_12_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	8					107	Once,FollowUp	12+Heroes						CgkI5qmGxtIaEAIQFQ
109	SUMMON_13_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	9					108	Once,FollowUp	13+Heroes						CgkI5qmGxtIaEAIQFg
110	SUMMON_14_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	10					109	Once,FollowUp	14+Heroes						CgkI5qmGxtIaEAIQFw
111	SUMMON_15_HEROES	ACHIEVEMENT	5	hero_collection		EXP_PHILTER	10					110	Once,FollowUp	15+Heroes						CgkI5qmGxtIaEAIQGA
112	SUMMON_16_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	3					111	Once,FollowUp	16+Heroes						CgkI5qmGxtIaEAIQGQ
113	SUMMON_17_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	4					112	Once,FollowUp	17+Heroes						CgkI5qmGxtIaEAIQGg
114	SUMMON_18_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	5					113	Once,FollowUp	18+Heroes						CgkI5qmGxtIaEAIQGw
115	SUMMON_19_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	6					114	Once,FollowUp	19+Heroes						CgkI5qmGxtIaEAIQHA
116	SUMMON_20_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	7					115	Once,FollowUp	20+Heroes						CgkI5qmGxtIaEAIQHQ
117	SUMMON_21_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	8					116	Once,FollowUp	21+Heroes						CgkI5qmGxtIaEAIQHg
118	SUMMON_22_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	9					117	Once,FollowUp	22+Heroes						CgkI5qmGxtIaEAIQHw
119	SUMMON_23_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	10					118	Once,FollowUp	23+Heroes						CgkI5qmGxtIaEAIQIA
120	SUMMON_24_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	11					119	Once,FollowUp	24+Heroes						CgkI5qmGxtIaEAIQIQ
121	SUMMON_25_HEROES	ACHIEVEMENT	5	hero_collection		EXP_VIAL	12					120	Once,FollowUp	25+Heroes						CgkI5qmGxtIaEAIQIg
122	SUMMON_70_HEROES	ACHIEVEMENT	5	hero_collection		EXP_DECANTER	500					121	Once,FollowUp	70+Heroes						
200	PROMOTE_1_GREEN	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	500						Once, Campaign0-3Win	1HeroAtRarity		GREEN				CgkI5qmGxtIaEAIQIw
201	PROMOTE_2_GREEN	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	1000					10010	Once,FollowUp	2HeroesAtRarity		GREEN				CgkI5qmGxtIaEAIQJA
202	PROMOTE_5_GREEN	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	5000						Once,CampaignWin	5HeroesAtRarity		GREEN	NORMAL	1	4	CgkI5qmGxtIaEAIQJQ
203	PROMOTE_1_GREEN_1	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	10000					202	Once,FollowUp	1HeroAtRarity		GREEN_1				CgkI5qmGxtIaEAIQJg
204	PROMOTE_2_GREEN_1	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	20000					203	Once,FollowUp	2HeroesAtRarity		GREEN_1				CgkI5qmGxtIaEAIQJw
205	PROMOTE_5_GREEN_1	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	30000					204	Once,FollowUp	5HeroesAtRarity		GREEN_1				CgkI5qmGxtIaEAIQKA
206	PROMOTE_1_BLUE	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	40000					205	Once,FollowUp	1HeroAtRarity		BLUE				CgkI5qmGxtIaEAIQKQ
207	PROMOTE_2_BLUE	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	50000					206	Once,FollowUp	2HeroesAtRarity		BLUE				CgkI5qmGxtIaEAIQKg
208	PROMOTE_5_BLUE	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	60000					207	Once,FollowUp	5HeroesAtRarity		BLUE				CgkI5qmGxtIaEAIQKw
209	PROMOTE_1_BLUE_1	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	70000					208	Once,FollowUp	1HeroAtRarity		BLUE_1				CgkI5qmGxtIaEAIQLA
210	PROMOTE_2_BLUE_1	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	80000					209	Once,FollowUp	2HeroesAtRarity		BLUE_1				CgkI5qmGxtIaEAIQLQ
211	PROMOTE_5_BLUE_1	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	90000					210	Once,FollowUp	5HeroesAtRarity		BLUE_1				CgkI5qmGxtIaEAIQLg
212	PROMOTE_1_BLUE_2	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	100000					211	Once,FollowUp	1HeroAtRarity		BLUE_2				CgkI5qmGxtIaEAIQLw
213	PROMOTE_2_BLUE_2	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	110000					212	Once,FollowUp	2HeroesAtRarity		BLUE_2				CgkI5qmGxtIaEAIQMA
214	PROMOTE_5_BLUE_2	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	120000					213	Once,FollowUp	5HeroesAtRarity		BLUE_2				CgkI5qmGxtIaEAIQMQ
215	PROMOTE_1_PURPLE	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	130000					214	Once,FollowUp	1HeroAtRarity		PURPLE				CgkI5qmGxtIaEAIQMg
216	PROMOTE_2_PURPLE	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	140000					215	Once,FollowUp	2HeroesAtRarity		PURPLE				CgkI5qmGxtIaEAIQMw
217	PROMOTE_5_PURPLE	ACHIEVEMENT	6	achievement_promoting_heros		GOLD	150000					216	Once,FollowUp	5HeroesAtRarity		PURPLE				CgkI5qmGxtIaEAIQNA
300	NORMAL_0_18_2X	ACHIEVEMENT	7	claim	campaign/NORMAL/0/18	PAPER_CROWN	2						Once, QuestCompleted	CampaignWinTwice		10018	NORMAL	0	18	
301	NORMAL_1_3_2X	ACHIEVEMENT	7	claim	campaign/NORMAL/1/3	LOADED_DIE	1					300	Once,FollowUp, QuestCompleted	CampaignWinTwice		10103	NORMAL	1	3	
302	NORMAL_1_6_2X	ACHIEVEMENT	7	claim	campaign/NORMAL/1/6	BLOODY_BAT	1					301	Once,FollowUp, QuestCompleted	CampaignWinTwice		10106	NORMAL	1	6	
303	NORMAL_1_9_2X	ACHIEVEMENT	7	claim	campaign/NORMAL/1/9	GOBLIN_WHACKER	1					302	Once,FollowUp, QuestCompleted	CampaignWinTwice		10109	NORMAL	1	9	
304	NORMAL_1_12_2X	ACHIEVEMENT	7	claim	campaign/NORMAL/1/12	GOBLIN_WHACKER	1					303	Once,FollowUp, QuestCompleted	CampaignWinTwice		10112	NORMAL	1	12	
400	ELITE_0_0_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/0	STONE_CENTAUR_OF_ATTENTION	1						Once, CampaignWin	CampaignWin3x3Star2x			ELITE	0	0	
401	ELITE_0_3_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/3	STONE_CENTAUR_OF_ATTENTION	1					400	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	0	3	
402	ELITE_0_6_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/6	STONE_CENTAUR_OF_ATTENTION	1					401	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	0	6	
403	ELITE_0_9_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/9	STONE_CENTAUR_OF_ATTENTION	1					402	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	0	9	
404	ELITE_0_12_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/12	STONE_CENTAUR_OF_ATTENTION	1					403	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	0	12	
405	ELITE_0_15_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/15	STONE_CENTAUR_OF_ATTENTION	1					404	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	0	15	
406	ELITE_0_18_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/0/18	STONE_CENTAUR_OF_ATTENTION	1					405	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	0	18	
407	ELITE_1_0_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/0	STONE_CENTAUR_OF_ATTENTION	1					406	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	0	
408	ELITE_1_3_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/3	STONE_CENTAUR_OF_ATTENTION	1					407	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	3	
409	ELITE_1_6_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/6	STONE_CENTAUR_OF_ATTENTION	1					408	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	6	
410	ELITE_1_9_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/9	STONE_CENTAUR_OF_ATTENTION	1					409	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	9	
411	ELITE_1_12_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/12	STONE_CENTAUR_OF_ATTENTION	1					410	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	12	
412	ELITE_1_15_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/15	STONE_CENTAUR_OF_ATTENTION	1					411	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	15	
413	ELITE_1_18_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/1/18	STONE_CENTAUR_OF_ATTENTION	1					412	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	1	18	
414	ELITE_2_0_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/2/0	STONE_CENTAUR_OF_ATTENTION	1					413	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	2	0	
415	ELITE_2_3_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/2/3	STONE_CENTAUR_OF_ATTENTION	1					414	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	2	3	
416	ELITE_2_6_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/2/6	STONE_CENTAUR_OF_ATTENTION	1					415	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	2	6	
417	ELITE_2_9_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/2/9	STONE_CENTAUR_OF_ATTENTION	1					416	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	2	9	
418	ELITE_2_12_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/2/12	STONE_CENTAUR_OF_ATTENTION	1					417	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	2	12	
419	ELITE_2_15_3X_3STAR_2X	ACHIEVEMENT	8	claim	campaign/ELITE/2/15	STONE_CENTAUR_OF_ATTENTION	1					418	Once, CampaignWin,FollowUp	CampaignWin3x3Star2x			ELITE	2	15	
500	JOIN_GUILD	ACHIEVEMENT	1	quests_guild	joinGuild	DIAMONDS	100						TL15,Once	InGuild						
501	FACEBOOK_LIKE	ACHIEVEMENT	0	like	facebook_like	FREE_DIAMONDS	50						Once	FacebookLiked						
502	RUNE_LEVEL15	ACHIEVEMENT	10	quests_runes	runes	GOLD	1000000	RUNICITE_STONE	10				Never,Once,TL61	UserCount	1	L15_RUNES_CREATED				
600	5_HERO_AT_LEVEL_21	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	300	GOLD	100000				Once,HasTL,TLLess41,TL19	HeroCountAtLevel	5	21				
601	5_HERO_AT_LEVEL_26	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	500	GOLD	100000				Once,HasTL,TLLess46,TL26	HeroCountAtLevel	5	26				
602	5_HERO_AT_LEVEL_31	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	1000	GOLD	200000				Once,HasTL,TLLess51,TL31	HeroCountAtLevel	5	31				
603	5_HERO_AT_LEVEL_36	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	1500	GOLD	200000				Once,HasTL,TLLess56,TL36	HeroCountAtLevel	5	36				
604	5_HERO_AT_LEVEL_41	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	2000	GOLD	300000				Once,HasTL,TLLess61,TL41	HeroCountAtLevel	5	41				
605	5_HERO_AT_LEVEL_46	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	2500	GOLD	300000				Once,HasTL,TLLess66,TL46	HeroCountAtLevel	5	46				
606	5_HERO_AT_LEVEL_51	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	3000	GOLD	400000				Once,HasTL,TLLess71,TL51	HeroCountAtLevel	5	51				
607	5_HERO_AT_LEVEL_56	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	3000	GOLD	400000				Once,HasTL,TLLess76,TL56	HeroCountAtLevel	5	56				
608	5_HERO_AT_LEVEL_61	ACHIEVEMENT	4	hero_collection	skills	TEAM_XP	3000	GOLD	500000				Once,HasTL,TLLess81,TL61	HeroCountAtLevel	5	61				
