	PROPERTY	OPERATION	VALUE	EXTRA	PROGRESS_NUM	PROGRESS_DENOM	CAMPAIGN_TYPE	CAMPAIGN_CHAPTER	CAMPAIGN_LEVEL
TL10	TEAM_LEVEL	GREATER_OR_EQUAL	10						
TL11	TEAM_LEVEL	GREATER_OR_EQUAL	11						
TL12	TEAM_LEVEL	GREATER_OR_EQUAL	12						
TL13	TEAM_LEVEL	GREATER_OR_EQUAL	13						
TL14	TEAM_LEVEL	GREATER_OR_EQUAL	14						
TL15	TEAM_LEVEL	GREATER_OR_EQUAL	15						
TL16	TEAM_LEVEL	GREATER_OR_EQUAL	16						
TL18	TEAM_LEVEL	GREATER_OR_EQUAL	18						
TL20	TEAM_LEVEL	GREATER_OR_EQUAL	20						
TL22	TEAM_LEVEL	GREATER_OR_EQUAL	22						
TL25	TEAM_LEVEL	GREATER_OR_EQUAL	25						
TL26	TEAM_LEVEL	GREATER_OR_EQUAL	26						
TL30	TEAM_LEVEL	GREATER_OR_EQUAL	30						
TL35	TEAM_LEVEL	GREATER_OR_EQUAL	35						
TL36	TEAM_LEVEL	GREATER_OR_EQUAL	36						
TL40	TEAM_LEVEL	GREATER_OR_EQUAL	40						
TL44	TEAM_LEVEL	GREATER_OR_EQUAL	44						
TL45	TEAM_LEVEL	GREATER_OR_EQUAL	45						
TL46	TEAM_LEVEL	GREATER_OR_EQUAL	46						
TL50	TEAM_LEVEL	GREATER_OR_EQUAL	50						
TL55	TEAM_LEVEL	GREATER_OR_EQUAL	55						
TL56	TEAM_LEVEL	GREATER_OR_EQUAL	56						
TL57	TEAM_LEVEL	GREATER_OR_EQUAL	57						
TL58	TEAM_LEVEL	GREATER_OR_EQUAL	58						
TL59	TEAM_LEVEL	GREATER_OR_EQUAL	59						
TL60	TEAM_LEVEL	GREATER_OR_EQUAL	60						
TL61	TEAM_LEVEL	GREATER_OR_EQUAL	61						
TL62	TEAM_LEVEL	GREATER_OR_EQUAL	62						
TL64	TEAM_LEVEL	GREATER_OR_EQUAL	64						
TL65	TEAM_LEVEL	GREATER_OR_EQUAL	65						
TL66	TEAM_LEVEL	GREATER_OR_EQUAL	66						
TL67	TEAM_LEVEL	GREATER_OR_EQUAL	67						
TL69	TEAM_LEVEL	GREATER_OR_EQUAL	69						
TL70	TEAM_LEVEL	GREATER_OR_EQUAL	70						
TL71	TEAM_LEVEL	GREATER_OR_EQUAL	71						
TL72	TEAM_LEVEL	GREATER_OR_EQUAL	72						
TL74	TEAM_LEVEL	GREATER_OR_EQUAL	74						
TL75	TEAM_LEVEL	GREATER_OR_EQUAL	75						
TL76	TEAM_LEVEL	GREATER_OR_EQUAL	76						
TL79	TEAM_LEVEL	GREATER_OR_EQUAL	79						
TL80	TEAM_LEVEL	GREATER_OR_EQUAL	80						
TL81	TEAM_LEVEL	GREATER_OR_EQUAL	81						
TL82	TEAM_LEVEL	GREATER_OR_EQUAL	82						
TL84	TEAM_LEVEL	GREATER_OR_EQUAL	84						
TL85	TEAM_LEVEL	GREATER_OR_EQUAL	85						
TL86	TEAM_LEVEL	GREATER_OR_EQUAL	86						
TL89	TEAM_LEVEL	GREATER_OR_EQUAL	89						
TL90	TEAM_LEVEL	GREATER_OR_EQUAL	90						
TL91	TEAM_LEVEL	GREATER_OR_EQUAL	91						
TL92	TEAM_LEVEL	GREATER_OR_EQUAL	92						
TL94	TEAM_LEVEL	GREATER_OR_EQUAL	94						
TL95	TEAM_LEVEL	GREATER_OR_EQUAL	95						
TL96	TEAM_LEVEL	GREATER_OR_EQUAL	96						
TL99	TEAM_LEVEL	GREATER_OR_EQUAL	99						
TL100	TEAM_LEVEL	GREATER_OR_EQUAL	100						
TL101	TEAM_LEVEL	GREATER_OR_EQUAL	101						
TL102	TEAM_LEVEL	GREATER_OR_EQUAL	102						
TL104	TEAM_LEVEL	GREATER_OR_EQUAL	104						
TL105	TEAM_LEVEL	GREATER_OR_EQUAL	105						
TL106	TEAM_LEVEL	GREATER_OR_EQUAL	106						
TL109	TEAM_LEVEL	GREATER_OR_EQUAL	109						
TL110	TEAM_LEVEL	GREATER_OR_EQUAL	110						
TL111	TEAM_LEVEL	GREATER_OR_EQUAL	111						
TL114	TEAM_LEVEL	GREATER_OR_EQUAL	114						
TL115	TEAM_LEVEL	GREATER_OR_EQUAL	115						
TL116	TEAM_LEVEL	GREATER_OR_EQUAL	116						
TL119	TEAM_LEVEL	GREATER_OR_EQUAL	119						
TL120	TEAM_LEVEL	GREATER_OR_EQUAL	120						
TL121	TEAM_LEVEL	GREATER_OR_EQUAL	121						
TL123	TEAM_LEVEL	GREATER_OR_EQUAL	123						
TL124	TEAM_LEVEL	GREATER_OR_EQUAL	124						
TL125	TEAM_LEVEL	GREATER_OR_EQUAL	125						
TL126	TEAM_LEVEL	GREATER_OR_EQUAL	126						
TL128	TEAM_LEVEL	GREATER_OR_EQUAL	128						
TL129	TEAM_LEVEL	GREATER_OR_EQUAL	129						
TL130	TEAM_LEVEL	GREATER_OR_EQUAL	130						
TL131	TEAM_LEVEL	GREATER_OR_EQUAL	131						
TL133	TEAM_LEVEL	GREATER_OR_EQUAL	133						
TL135	TEAM_LEVEL	GREATER_OR_EQUAL	135						
TL140	TEAM_LEVEL	GREATER_OR_EQUAL	140						
TL145	TEAM_LEVEL	GREATER_OR_EQUAL	145						
TL150	TEAM_LEVEL	GREATER_OR_EQUAL	150						
TL19	TEAM_LEVEL	GREATER_OR_EQUAL	19						
TL21	TEAM_LEVEL	GREATER_OR_EQUAL	21						
TL31	TEAM_LEVEL	GREATER_OR_EQUAL	31						
TL41	TEAM_LEVEL	GREATER_OR_EQUAL	41						
TL51	TEAM_LEVEL	GREATER_OR_EQUAL	51						
TL136	TEAM_LEVEL	GREATER_OR_EQUAL	136						
TL141	TEAM_LEVEL	GREATER_OR_EQUAL	141						
TL146	TEAM_LEVEL	GREATER_OR_EQUAL	146						
TL48	TEAM_LEVEL	GREATER_OR_EQUAL	48						
TL53	TEAM_LEVEL	GREATER_OR_EQUAL	53						
TL63	TEAM_LEVEL	GREATER_OR_EQUAL	63						
TL68	TEAM_LEVEL	GREATER_OR_EQUAL	68						
TL73	TEAM_LEVEL	GREATER_OR_EQUAL	73						
TL78	TEAM_LEVEL	GREATER_OR_EQUAL	78						
TL83	TEAM_LEVEL	GREATER_OR_EQUAL	83						
TL88	TEAM_LEVEL	GREATER_OR_EQUAL	88						
TL93	TEAM_LEVEL	GREATER_OR_EQUAL	93						
TL98	TEAM_LEVEL	GREATER_OR_EQUAL	98						
TL103	TEAM_LEVEL	GREATER_OR_EQUAL	103						
TL108	TEAM_LEVEL	GREATER_OR_EQUAL	108						
TL113	TEAM_LEVEL	GREATER_OR_EQUAL	113						
TL118	TEAM_LEVEL	GREATER_OR_EQUAL	118						
TL138	TEAM_LEVEL	GREATER_OR_EQUAL	138						
TL143	TEAM_LEVEL	GREATER_OR_EQUAL	143						
TL148	TEAM_LEVEL	GREATER_OR_EQUAL	148						
TL151	TEAM_LEVEL	GREATER_OR_EQUAL	151						
TL152	TEAM_LEVEL	GREATER_OR_EQUAL	152						
TL153	TEAM_LEVEL	GREATER_OR_EQUAL	153						
TL154	TEAM_LEVEL	GREATER_OR_EQUAL	154						
TL155	TEAM_LEVEL	GREATER_OR_EQUAL	155						
TL156	TEAM_LEVEL	GREATER_OR_EQUAL	156						
TL157	TEAM_LEVEL	GREATER_OR_EQUAL	157						
TL158	TEAM_LEVEL	GREATER_OR_EQUAL	158						
TL159	TEAM_LEVEL	GREATER_OR_EQUAL	159						
TL160	TEAM_LEVEL	GREATER_OR_EQUAL	160						
TL161	TEAM_LEVEL	GREATER_OR_EQUAL	161						
TL162	TEAM_LEVEL	GREATER_OR_EQUAL	162						
TL163	TEAM_LEVEL	GREATER_OR_EQUAL	163						
TL164	TEAM_LEVEL	GREATER_OR_EQUAL	164						
TL165	TEAM_LEVEL	GREATER_OR_EQUAL	165						
TL166	TEAM_LEVEL	GREATER_OR_EQUAL	166						
TL167	TEAM_LEVEL	GREATER_OR_EQUAL	167						
TL168	TEAM_LEVEL	GREATER_OR_EQUAL	168						
TL169	TEAM_LEVEL	GREATER_OR_EQUAL	169						
TL170	TEAM_LEVEL	GREATER_OR_EQUAL	170						
1+Heroes	HERO_COUNT	GREATER_OR_EQUAL	1						
2+Heroes	HERO_COUNT	GREATER_OR_EQUAL	2						
3+Heroes	HERO_COUNT	GREATER_OR_EQUAL	3						
4+Heroes	HERO_COUNT	GREATER_OR_EQUAL	4						
5+Heroes	HERO_COUNT	GREATER_OR_EQUAL	5						
6+Heroes	HERO_COUNT	GREATER_OR_EQUAL	6						
7+Heroes	HERO_COUNT	GREATER_OR_EQUAL	7						
8+Heroes	HERO_COUNT	GREATER_OR_EQUAL	8						
9+Heroes	HERO_COUNT	GREATER_OR_EQUAL	9						
10+Heroes	HERO_COUNT	GREATER_OR_EQUAL	10						
11+Heroes	HERO_COUNT	GREATER_OR_EQUAL	11						
12+Heroes	HERO_COUNT	GREATER_OR_EQUAL	12						
13+Heroes	HERO_COUNT	GREATER_OR_EQUAL	13						
14+Heroes	HERO_COUNT	GREATER_OR_EQUAL	14						
15+Heroes	HERO_COUNT	GREATER_OR_EQUAL	15						
16+Heroes	HERO_COUNT	GREATER_OR_EQUAL	16						
17+Heroes	HERO_COUNT	GREATER_OR_EQUAL	17						
18+Heroes	HERO_COUNT	GREATER_OR_EQUAL	18						
19+Heroes	HERO_COUNT	GREATER_OR_EQUAL	19						
20+Heroes	HERO_COUNT	GREATER_OR_EQUAL	20						
21+Heroes	HERO_COUNT	GREATER_OR_EQUAL	21						
22+Heroes	HERO_COUNT	GREATER_OR_EQUAL	22						
23+Heroes	HERO_COUNT	GREATER_OR_EQUAL	23						
24+Heroes	HERO_COUNT	GREATER_OR_EQUAL	24						
25+Heroes	HERO_COUNT	GREATER_OR_EQUAL	25						
30+Heroes	HERO_COUNT	GREATER_OR_EQUAL	30						
70+Heroes	HERO_COUNT	GREATER_OR_EQUAL	70						
1HeroAtRarity	HERO_COUNT_AT_RARITY	GREATER_OR_EQUAL	1	QUEST_EXTRA					
2HeroesAtRarity	HERO_COUNT_AT_RARITY	GREATER_OR_EQUAL	2	QUEST_EXTRA					
5HeroesAtRarity	HERO_COUNT_AT_RARITY	GREATER_OR_EQUAL	5	QUEST_EXTRA					
HeroUnlocked	HERO_COUNT	NOT_ZERO		QUEST_EXTRA					
CampaignWin	CAMPAIGN_STAGE_WINS	NOT_ZERO							
CampaignWinTwice	CAMPAIGN_STAGE_WINS	GREATER_OR_EQUAL	2						
CampaignWin3x3Star2x		AND		CampaignWin3x, Campaign3Star, CampaignWin2xAtBestStars	(B>2)*C	3			
CampaignWin3x	CAMPAIGN_STAGE_WINS	GREATER_OR_EQUAL	3						
Campaign3Star	CAMPAIGN_STAGE_BEST_STARS	GREATER_OR_EQUAL	3						
CampaignWin2xAtBestStars	CAMPAIGN_STAGE_WINS_AT_BEST_STARS	GREATER_OR_EQUAL	2						
Campaign0-3Win	CAMPAIGN_STAGE_WINS	NOT_ZERO					NORMAL	0	3
MonthlyCardClaimed	QUEST_LAST_COMPLETED	SAME_EVENT_DAY	U	1					
DoesntHaveMonthlyCard	USER_COUNT	ZERO		MONTHLY_DIAMOND_DAYS					
Campaign3-0Win	CAMPAIGN_STAGE_WINS	NOT_ZERO					NORMAL	3	0
Campaign0-18Win	CAMPAIGN_STAGE_WINS	NOT_ZERO					NORMAL	0	18
Has0_2	USER_FLAG	NOT_ZERO		BETA_0_2					
Has0_3	USER_FLAG	NOT_ZERO		BETA_0_3					
Has1_0	USER_FLAG	NOT_ZERO		WW_1_0					
InGuild	GUILD_ID	NOT_ZERO							
FacebookLiked	USER_FLAG	NOT_ZERO		FACEBOOK_LIKED					
BossPitWin	BOSS_PIT_WINS	NOT_ZERO							
HasOrangeHero	HERO_AT_RARITY	NOT_ZERO		ORANGE					
HasPurpleHero	HERO_AT_RARITY	NOT_ZERO		PURPLE					
QCount	QUEST_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
DQCount	DAILY_QUEST_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
CQCount	CONSEC_QUEST_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
SQCount	SAC_QUEST_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
SCQCount	SAC_CONSEC_QUEST_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
!CQCount	NOT_CONSEC_QUEST_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
FullMoon	MOON_PHASE	EQUAL	4						
NewMoon	MOON_PHASE	EQUAL	0						
FullOrNewMoon		OR		FullMoon, NewMoon	0	0			
MaxEnchantHeroes	HERO_COUNT_MAX_ENCHANT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
HasChapter	CHAPTER_COUNT	GREATER_OR_EQUAL							
HasTL	MAX_TEAM_LEVEL	GREATER_OR_EQUAL	QUEST_VALUE						
UserCount	USER_COUNT	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
1stQuarterMoon	MOON_PHASE	EQUAL	2						
3rdQuarterMoon	MOON_PHASE	EQUAL	6						
QuarterMoon		OR		1stQuarterMoon, 3rdQuarterMoon	0	0			
RunesUnlocked	RUNES_UNLOCKED	NOT_ZERO							
TLLess21	TEAM_LEVEL	LESS_OR_EQUAL	21						
TLLess26	TEAM_LEVEL	LESS_OR_EQUAL	26						
TLLess31	TEAM_LEVEL	LESS_OR_EQUAL	31						
TLLess36	TEAM_LEVEL	LESS_OR_EQUAL	36						
TLLess41	TEAM_LEVEL	LESS_OR_EQUAL	41						
TLLess46	TEAM_LEVEL	LESS_OR_EQUAL	46						
TLLess51	TEAM_LEVEL	LESS_OR_EQUAL	51						
TLLess56	TEAM_LEVEL	LESS_OR_EQUAL	56						
TLLess61	TEAM_LEVEL	LESS_OR_EQUAL	61						
TLLess66	TEAM_LEVEL	LESS_OR_EQUAL	66						
TLLess71	TEAM_LEVEL	LESS_OR_EQUAL	71						
TLLess76	TEAM_LEVEL	LESS_OR_EQUAL	76						
TLLess81	TEAM_LEVEL	LESS_OR_EQUAL	81						
TLLess86	TEAM_LEVEL	LESS_OR_EQUAL	86						
TLLess91	TEAM_LEVEL	LESS_OR_EQUAL	91						
TLLess96	TEAM_LEVEL	LESS_OR_EQUAL	96						
TLLess101	TEAM_LEVEL	LESS_OR_EQUAL	101						
TLLess106	TEAM_LEVEL	LESS_OR_EQUAL	106						
TLLess111	TEAM_LEVEL	LESS_OR_EQUAL	111						
TLLess116	TEAM_LEVEL	LESS_OR_EQUAL	116						
TLLess121	TEAM_LEVEL	LESS_OR_EQUAL	121						
TLLess126	TEAM_LEVEL	LESS_OR_EQUAL	126						
TLLess131	TEAM_LEVEL	LESS_OR_EQUAL	131						
TLLess136	TEAM_LEVEL	LESS_OR_EQUAL	136						
TLLess141	TEAM_LEVEL	LESS_OR_EQUAL	141						
TLLess146	TEAM_LEVEL	LESS_OR_EQUAL	146						
TLLess151	TEAM_LEVEL	LESS_OR_EQUAL	151						
TLLess156	TEAM_LEVEL	LESS_OR_EQUAL	156						
TLLess161	TEAM_LEVEL	LESS_OR_EQUAL	161						
TLLess166	TEAM_LEVEL	LESS_OR_EQUAL	166						
TLLess171	TEAM_LEVEL	LESS_OR_EQUAL	171						
TLLess176	TEAM_LEVEL	LESS_OR_EQUAL	176						
TLLess181	TEAM_LEVEL	LESS_OR_EQUAL	181						
TLLess186	TEAM_LEVEL	LESS_OR_EQUAL	186						
TLLess191	TEAM_LEVEL	LESS_OR_EQUAL	191						
TLLess48	TEAM_LEVEL	LESS_OR_EQUAL	48						
TLLess53	TEAM_LEVEL	LESS_OR_EQUAL	53						
TLLess58	TEAM_LEVEL	LESS_OR_EQUAL	58						
TLLess63	TEAM_LEVEL	LESS_OR_EQUAL	63						
TLLess68	TEAM_LEVEL	LESS_OR_EQUAL	68						
TLLess73	TEAM_LEVEL	LESS_OR_EQUAL	73						
TLLess78	TEAM_LEVEL	LESS_OR_EQUAL	78						
TLLess83	TEAM_LEVEL	LESS_OR_EQUAL	83						
TLLess88	TEAM_LEVEL	LESS_OR_EQUAL	88						
TLLess93	TEAM_LEVEL	LESS_OR_EQUAL	93						
TLLess98	TEAM_LEVEL	LESS_OR_EQUAL	98						
TLLess103	TEAM_LEVEL	LESS_OR_EQUAL	103						
TLLess108	TEAM_LEVEL	LESS_OR_EQUAL	108						
TLLess113	TEAM_LEVEL	LESS_OR_EQUAL	113						
TLLess118	TEAM_LEVEL	LESS_OR_EQUAL	118						
TLLess123	TEAM_LEVEL	LESS_OR_EQUAL	123						
TLLess128	TEAM_LEVEL	LESS_OR_EQUAL	128						
TLLess133	TEAM_LEVEL	LESS_OR_EQUAL	133						
TLLess138	TEAM_LEVEL	LESS_OR_EQUAL	138						
TLLess143	TEAM_LEVEL	LESS_OR_EQUAL	143						
TLLess148	TEAM_LEVEL	LESS_OR_EQUAL	148						
TLLess153	TEAM_LEVEL	LESS_OR_EQUAL	153						
TLLess158	TEAM_LEVEL	LESS_OR_EQUAL	158						
TLLess163	TEAM_LEVEL	LESS_OR_EQUAL	163						
TLLess168	TEAM_LEVEL	LESS_OR_EQUAL	168						
TLLess173	TEAM_LEVEL	LESS_OR_EQUAL	173						
TLLess178	TEAM_LEVEL	LESS_OR_EQUAL	178						
TLLess183	TEAM_LEVEL	LESS_OR_EQUAL	183						
TLLess188	TEAM_LEVEL	LESS_OR_EQUAL	188						
TLLess193	TEAM_LEVEL	LESS_OR_EQUAL	193						
HeroCountAtLevel	HERO_COUNT_AT_LEVEL	GREATER_OR_EQUAL	QUEST_VALUE	QUEST_EXTRA					
HasExpertChapter	EXPERT_CHAPTER_COUNT	GREATER_OR_EQUAL							
