	VIP_TICKETS	RAID_TICKETS	STAMINA_PURCHASE	ALCHEMY	RUNICITE_ALCHEMY	BONUS_DIAMOND_PERCENT	ELITE_RESET	FIGHT_PIT_RESET	COLISEUM_RESET	POWER_POINTS	BOOTY_CAVES	GUILD_COIN_BONUS	GUILD_RAID_GOLD_MULT	GUILD_ADMIRATION	EXPEDITION_RUN	MERCENARY_HALL_HEROES	EXPEDITION_GOLD_BONUS	EXPEDITION_TOKEN_BONUS	USE_RAID_TICKETS	REFILL_POWER_POINTS	CLEAR_FIGHT_PIT_COOLDOWN	CLEAR_COLISEUM_COOLDOWN	RAID_10	ENCHANT_MAX	PEDDLER_PERM	DIAMONDS_ADMIRATION	BLACK_MARKET_PERM	SOUL_CHEST	FAST_FORWARD	VIP_CHAT	WAR_TOKEN_BONUS	TEMPLE_TOKEN_MULT	BOSS_PIT_BETTER_REWARDS	RAID_CHALLENGES	RAID_MOUNTAIN	CHALLENGES_COOLDOWN	MOUNTAIN_COOLDOWN	SILVER_CHEST_GENERATION	SOULMART_RESETS	RAID_BOSS_PIT	BOSS_PIT_RUNS	ARENA_BATTLES_PER_RESET	FREE_MERCHANT_RESETS	EXTRA_STAMINA_CAP	STAMINA_HOURS	EXTRA_FREE_STAMINA	DOUBLE_RUNE_OFFERING_CHANCE	FREE_RUNE_REMOVALS	SIGN_IN_MULTIPLIER	CHALLENGE_RESETS	MOUNTAIN_RESETS	EXTRA_WAR_PICK_REWARDS	WEEKLY_FREE_ITEMS	RAID_TICKET_PURCHASE_LIMIT	MAX_LEVEL_FROM_XP	EXPERT_RESET
ELEVEN	15000	195	12	120	24	80	10	9	9	20	4	50	2	2	1	2	100	100	1	1	1	1	1	1	1	1	1	1	1	1	50	2	0	1	1	150000	150000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	12	1	6
TWELVE	20000	210	13	150	26	90	11	10	10	20	4	50	2	3	1	3	100	100	1	1	1	1	1	1	1	1	1	1	1	1	50	3	1	1	1	150000	150000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	13	1	6
THIRTEEN	35000	225	14	200	28	100	12	11	11	30	4	50	2	3	1	3	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	3	1	1	1	150000	150000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	14	1	7
FOURTEEN	55000	240	15	225	28	105	12	11	11	30	4	100	2	3	1	3	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	3	1	1	1	150000	150000	300000	2	0	1	5	0	0	2	0	0	0	1	0	0	0	0	15	1	7
FIFTEEN	80000	255	16	250	30	110	13	12	12	30	4	100	2	3	1	4	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	3	1	1	1	105000	105000	300000	2	1	2	5	0	0	2	0	0	0	1	0	0	0	0	16	1	8
SIXTEEN	110000	270	17	275	30	115	13	12	12	30	4	100	2	3	1	4	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	3	1	1	1	105000	105000	300000	2	1	2	10	1	0	2	0	0	0	1	0	0	0	0	17	1	8
SEVENTEEN	150000	285	18	300	32	120	14	13	13	30	4	100	2	3	1	4	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	4	1	1	1	105000	105000	300000	4	1	2	10	1	25	3	60	0	0	1	0	0	0	0	18	1	9
EIGHTEEN	200000	300	19	300	32	125	14	13	13	40	4	100	2	3	1	4	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	4	1	1	1	105000	105000	300000	4	1	2	10	1	25	3	60	25	6	1	0	0	0	0	19	1	9
NINETEEN	250000	315	20	300	32	130	14	13	13	40	4	100	2	3	1	4	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	4	1	1	1	105000	105000	300000	4	1	2	10	2	50	4	60	25	6	2	1	1	0	0	20	1	9
TWENTY	300000	315	20	300	32	135	14	13	13	40	4	100	2	3	1	4	200	100	1	1	1	1	1	1	1	1	1	1	1	1	50	4	1	1	1	105000	105000	300000	4	1	2	10	2	50	4	60	25	6	2	1	1	1	1	20	1	9
