	UNIT	RARITY	CATEGORY	VISUAL_DURATION	DURATION	COOLDOWN	INIT_COOLDOWN	PRIORITY	TRIGGER_RANGE	CAST_RANGE	SPLASH_RANGE	MISC_RANGE	DAMAGE_TYPE	DAMAGE_SUB_TYPE	TAGS	PROJECTILE_TYPE	ENERGY_GAIN	TARGET_TAG
CENTAUR_OF_ATTENTION_4	CENTAUR_OF_ATTENTION	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
CENTAUR_OF_ATTENTION_5	CENTAUR_OF_ATTENTION	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
CENTAUR_OF_ATTENTION_6	CENTAUR_OF_ATTENTION	RED	OTHER	0	3	11	0.3	2	3200	4000					RANGED	CENTAUR_OF_ATTENTION_6	200	GOOD_LOOKING
MOON_DRAKE_0	MOON_DRAKE	DEFAULT	AUTO_ATTACK	0	2	2	0.5	4	1625	1725			PHYSICAL		PHYSICAL,RANGED	MOON_DRAKE_ENERGY_BLUE	90	
MOON_DRAKE_1	MOON_DRAKE	WHITE	ACTIVE	1	6	-1	-1	1	1625				MAGIC		MAGIC,RANGED	MOON_DRAKE_LIGHT_BEAM	0	
MOON_DRAKE_2	MOON_DRAKE	GREEN	OTHER	0	1	10	2.5	2	1625	1725			MAGIC			NONE	90	
MOON_DRAKE_3	MOON_DRAKE	BLUE	OTHER	0	2	15	3.75	3	1625				MAGIC		MAGIC,RANGED	MOON_DRAKE_ENERGY_RED	90	
MOON_DRAKE_4	MOON_DRAKE	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
MOON_DRAKE_5	MOON_DRAKE	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SHADOW_ASSASSIN_0	SHADOW_ASSASSIN	DEFAULT	AUTO_ATTACK	0	2.71	2.71	0.6775	4	1625	1725			PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	SHADOW_ASSASSIN_0	120	
SHADOW_ASSASSIN_1	SHADOW_ASSASSIN	WHITE	ACTIVE	1.9	4.5	-1	-1	1	1625				PHYSICAL	PIERCING	PHYSICAL,PIERCING	NONE	0	
SHADOW_ASSASSIN_2	SHADOW_ASSASSIN	GREEN	OTHER	0	2.71	15	3.75	2	1625				PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	SHADOW_ASSASSIN_2	150	
SHADOW_ASSASSIN_3	SHADOW_ASSASSIN	BLUE	OTHER	0	2.71	15	3.75	3	1625				MAGIC	PIERCING	MAGIC,PIERCING,RANGED	SHADOW_ASSASSIN_3	150	
SHADOW_ASSASSIN_4	SHADOW_ASSASSIN	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SHADOW_ASSASSIN_5	SHADOW_ASSASSIN	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SHADOW_ASSASSIN_6	SHADOW_ASSASSIN	RED	OTHER	0	-1	-1	-1	-1								NONE	0	WILD_INTUITION
MAGIC_DRAGON_0	MAGIC_DRAGON	DEFAULT	AUTO_ATTACK	0	2.3	2.3	0.575	4	1625	1725			PHYSICAL		PHYSICAL,RANGED	MAGIC_DRAGON_0	90	
MAGIC_DRAGON_1	MAGIC_DRAGON	WHITE	ACTIVE	2.25	6	-1	-1	1	1625			300	MAGIC		MAGIC,KNOCKBACK,RANGED	MAGIC_DRAGON_1	0	
MAGIC_DRAGON_2	MAGIC_DRAGON	GREEN	OTHER	0	2.3	5	1.25	2	1625				MAGIC		MAGIC,RANGED	MAGIC_DRAGON_2	90	
MAGIC_DRAGON_3	MAGIC_DRAGON	BLUE	OTHER	0	2.3	12	3	3	1625				MAGIC		MAGIC,RANGED	MAGIC_DRAGON_3	90	
MAGIC_DRAGON_4	MAGIC_DRAGON	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
MAGIC_DRAGON_5	MAGIC_DRAGON	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
CRIMSON_WITCH_0	CRIMSON_WITCH	DEFAULT	AUTO_ATTACK	0	3	3	0.75	3	1625	1725			PHYSICAL	NECROTIC	PHYSICAL,NECROTIC,RANGED	CRIMSON_WITCH_WRAITH_0	90	
CRIMSON_WITCH_1	CRIMSON_WITCH	WHITE	ACTIVE	1	6	-1	-1	1	1625				MAGIC	NECROTIC	MAGIC,NECROTIC,RANGED	CRIMSON_WITCH_WRAITH_1	0	
CRIMSON_WITCH_2	CRIMSON_WITCH	GREEN	OTHER	0	3	15	3.75	-1	1625				MAGIC			NONE	90	
CRIMSON_WITCH_3	CRIMSON_WITCH	BLUE	OTHER	0	3	17	4.25	2	1625	1725			MAGIC	NECROTIC	MAGIC,NECROTIC,RANGED	CRIMSON_WITCH_WRAITH_0	90	
CRIMSON_WITCH_4	CRIMSON_WITCH	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
CRIMSON_WITCH_5	CRIMSON_WITCH	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SPIKEY_DRAGON_0	SPIKEY_DRAGON	DEFAULT	AUTO_ATTACK	0	2.5	3	0.75	4	1625	1725			PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	SPIKEY_DRAGON_0_0	90	
SPIKEY_DRAGON_1	SPIKEY_DRAGON	WHITE	ACTIVE	1.5	5	-1	-1	1	1625	1725	175		PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	SPIKEY_DRAGON_1	0	
SPIKEY_DRAGON_2	SPIKEY_DRAGON	GREEN	OTHER	0	2.5	7	1.75	2	1625	1725			PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	SPIKEY_DRAGON_2	90	
SPIKEY_DRAGON_3	SPIKEY_DRAGON	BLUE	OTHER	0	2.5	20	5	3	1625	1725			PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	SPIKEY_DRAGON_3	90	
SPIKEY_DRAGON_4	SPIKEY_DRAGON	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SPIKEY_DRAGON_5	SPIKEY_DRAGON	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
FROST_GIANT_0	FROST_GIANT	DEFAULT	AUTO_ATTACK	0	3	3	0.75	4	925	1025			MAGIC	WATER	MAGIC,WATER,RANGED	FROST_GIANT_0	90	
FROST_GIANT_1	FROST_GIANT	WHITE	ACTIVE	2.25	5	-1	-1	1	925				MAGIC	WATER	MAGIC,WATER,RANGED	NONE	0	
FROST_GIANT_2	FROST_GIANT	GREEN	OTHER	0	3	15	3.75	2	925	1025			PHYSICAL	PIERCING	PHYSICAL,RANGED,PIERCING,DAMAGE_OVER_TIME	FROST_GIANT_2	90	
FROST_GIANT_3	FROST_GIANT	BLUE	OTHER	0	3	15	3.75	3	925		950		MAGIC	WATER	MAGIC,WATER	NONE	90	
FROST_GIANT_4	FROST_GIANT	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
FROST_GIANT_5	FROST_GIANT	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ELECTROYETI_0	ELECTROYETI	DEFAULT	AUTO_ATTACK	0	2.77	2.77	0.6925	4	925	1025			PHYSICAL	ELECTRICAL	PHYSICAL,ELECTRIC,RANGED	LIGHTNING	90	
ELECTROYETI_1	ELECTROYETI	WHITE	ACTIVE	2	3	-1	-1	1	3600				MAGIC	ELECTRICAL	MAGIC,ELECTRIC	NONE	0	
ELECTROYETI_2	ELECTROYETI	GREEN	OTHER	0	3	12	3	2	925	1025		4000	MAGIC	ELECTRICAL	MAGIC,ELECTRIC,RANGED	BOUNCING_LIGHTNING	90	
ELECTROYETI_3	ELECTROYETI	BLUE	OTHER	0	4	15	3.75	3	925				MAGIC	ELECTRICAL	MAGIC,ELECTRIC	NONE	90	
ELECTROYETI_4	ELECTROYETI	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ELECTROYETI_5	ELECTROYETI	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
MEDUSA_0	MEDUSA	DEFAULT	AUTO_ATTACK	0	3.16	3.16	0.79	4	925	1025			PHYSICAL		PHYSICAL,RANGED	MEDUSA_0	45	
MEDUSA_1	MEDUSA	WHITE	ACTIVE	1	3	-1	-1	1	925				MAGIC		MAGIC,RANGED	MEDUSA_1	0	
MEDUSA_2	MEDUSA	GREEN	AUTO_ATTACK	0	3.16	3.16	0.79	3	925	1025			PHYSICAL		PHYSICAL,RANGED	MEDUSA_2	45	
MEDUSA_3	MEDUSA	BLUE	OTHER	0	2.2	15	3.75	2	925	1025	125		MAGIC			MEDUSA_3	0	
MEDUSA_4	MEDUSA	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
MEDUSA_5	MEDUSA	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
MEDUSA_6	MEDUSA	RED	OTHER	0	-1	-1	-1	-1								NONE	0	MIRROR_HATER
DARK_DRACUL_0	DARK_DRACUL	DEFAULT	AUTO_ATTACK	0	2.65	2.65	0.6625	4	925	1025			PHYSICAL	NECROTIC	PHYSICAL,NECROTIC,RANGED	DARK_DRACUL_0	90	
DARK_DRACUL_1	DARK_DRACUL	WHITE	ACTIVE	1.5	2.65	-1	-1	1	3600	2100			MAGIC	NECROTIC	MAGIC,NECROTIC,DAMAGE_OVER_TIME	DARK_DRACUL_1	0	
DARK_DRACUL_2	DARK_DRACUL	GREEN	OTHER	0	2.65	12	3	2	925				MAGIC	PIERCING	MAGIC,PIERCING	NONE	90	
DARK_DRACUL_3	DARK_DRACUL	BLUE	OTHER	0	4	14	3.5	3	925	1025	750		MAGIC			NONE	90	
DARK_DRACUL_4	DARK_DRACUL	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DARK_DRACUL_5	DARK_DRACUL	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
COSMIC_ELF_0	COSMIC_ELF	DEFAULT	AUTO_ATTACK	0	3	3	0.75	5	925	1025			PHYSICAL		PHYSICAL,RANGED	COSMIC_ELF_0	90	
COSMIC_ELF_1	COSMIC_ELF	WHITE	ACTIVE	1	3	-1	-1	2	3600				MAGIC			NONE	0	
COSMIC_ELF_2	COSMIC_ELF	GREEN	OTHER	0	2	10	2.5	3	925				MAGIC			NONE	90	
COSMIC_ELF_3	COSMIC_ELF	BLUE	OTHER	0	2	12	3	4	925	1025	300		MAGIC		MAGIC,RANGED	COSMIC_ELF_3	90	
COSMIC_ELF_4	COSMIC_ELF	PURPLE	OTHER	0	-1	-1	-1	-1	925	1025			TRUE			COSMIC_ELF_0	90	
COSMIC_ELF_5	COSMIC_ELF	ORANGE	OTHER	0	-1	-1	-1	-1	925	1025			TRUE			COSMIC_ELF_0	90	
COSMIC_ELF_6	COSMIC_ELF	RED	OTHER	0	-1	-1	-1	1	6000	6000						NONE	0	EYES_OF_ENLIGHTENMENT
UNSTABLE_UNDERSTUDY_0	UNSTABLE_UNDERSTUDY	DEFAULT	AUTO_ATTACK	0	2.55	2.55	0.6375	5	925	1025			PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	UNDERSTUDY_0	90	
UNSTABLE_UNDERSTUDY_1	UNSTABLE_UNDERSTUDY	WHITE	ACTIVE	2	3	-1	-1	1	925				MAGIC		MAGIC,RANGED	UNDERSTUDY_1	0	
UNSTABLE_UNDERSTUDY_2	UNSTABLE_UNDERSTUDY	GREEN	OTHER	0	3	15	3.75	2	925	1725			MAGIC		MAGIC,RANGED	UNDERSTUDY_2	90	
UNSTABLE_UNDERSTUDY_3	UNSTABLE_UNDERSTUDY	BLUE	OTHER	0	3	12	3	3	925				MAGIC	FIRE	MAGIC,FIRE	NONE	90	
UNSTABLE_UNDERSTUDY_4	UNSTABLE_UNDERSTUDY	PURPLE	OTHER	0	2.55	2.55	0.6375	-1	925	1025			PHYSICAL			UNDERSTUDY_0	0	
UNSTABLE_UNDERSTUDY_5	UNSTABLE_UNDERSTUDY	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
UNSTABLE_UNDERSTUDY_6	UNSTABLE_UNDERSTUDY	RED	OTHER	0	-1	-1	-1	-1								NONE	0	TEA_PARTY_WITH_WIZARDS
CATAPULT_KNIGHT_0	CATAPULT_KNIGHT	DEFAULT	AUTO_ATTACK	0	4	4	1	4	925	1025			PHYSICAL		PHYSICAL,RANGED	CATAPULT_KNIGHT_0	90	
CATAPULT_KNIGHT_1	CATAPULT_KNIGHT	WHITE	ACTIVE	1	3	-1	-1	1	925	1725	125		MAGIC		MAGIC,RANGED	CATAPULT_KNIGHT_1	0	
CATAPULT_KNIGHT_2	CATAPULT_KNIGHT	GREEN	OTHER	0	3	15	3.75	2	925	1025			MAGIC	FIRE	MAGIC,FIRE,RANGED	CATAPULT_KNIGHT_2	90	
CATAPULT_KNIGHT_3	CATAPULT_KNIGHT	BLUE	OTHER	0	3	20	5	3	925	1025	450		MAGIC		MAGIC,RANGED	CATAPULT_KNIGHT_3	90	
CATAPULT_KNIGHT_4	CATAPULT_KNIGHT	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
CATAPULT_KNIGHT_5	CATAPULT_KNIGHT	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
BARDBARIAN_0	BARDBARIAN	DEFAULT	AUTO_ATTACK	0	3.3	3.3	0.825	3	925	1025			PHYSICAL		PHYSICAL,RANGED	BARDBARIAN_0	90	
BARDBARIAN_1	BARDBARIAN	WHITE	ACTIVE	2	3.3	-1	-1	1	925				PHYSICAL			NONE	0	
BARDBARIAN_2	BARDBARIAN	GREEN	OTHER	0	3.3	15	3.75	2	925				PHYSICAL		PHYSICAL,RANGED	NONE	90	
BARDBARIAN_3	BARDBARIAN	BLUE	AUTO_ATTACK	0	3.3	3.3	0.825	4	75	125	125		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	90	
BARDBARIAN_4	BARDBARIAN	PURPLE	OTHER	0	-1	-1	-1	-1					PHYSICAL			NONE	0	
BARDBARIAN_5	BARDBARIAN	ORANGE	OTHER	0	-1	-1	-1	-1					PHYSICAL			NONE	0	
DUST_DEVIL_0	DUST_DEVIL	DEFAULT	AUTO_ATTACK	0	2.25	2.25	0.5625	5	925	1025			PHYSICAL		PHYSICAL,RANGED	DUST_DEVIL_0	120	
DUST_DEVIL_1	DUST_DEVIL	WHITE	ACTIVE	0.5	4.5	-1	-1	1	3600				MAGIC			DUST_DEVIL_1	0	
DUST_DEVIL_2	DUST_DEVIL	GREEN	OTHER	0	3	15	3.75	2	925			2100	MAGIC	FIRE	MAGIC,FIRE,RANGED	DUST_DEVIL_2	120	
DUST_DEVIL_3	DUST_DEVIL	BLUE	OTHER	0	3	15	3.75	3	925		400		MAGIC	FIRE	MAGIC,FIRE,RANGED,DAMAGE_OVER_TIME	DUST_DEVIL_3	120	
DUST_DEVIL_4	DUST_DEVIL	PURPLE	OTHER	0	6	20	5	4	925				MAGIC	FIRE	MAGIC,FIRE,RANGED	DUST_DEVIL_4	120	
DUST_DEVIL_5	DUST_DEVIL	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
HYDRA_0	HYDRA	DEFAULT	AUTO_ATTACK	0	3	3	0.75	4	925	1025			MAGIC		MAGIC,RANGED	SNAKE_DRAGON_SONIC_WAVE	90	
HYDRA_1	HYDRA	WHITE	ACTIVE	1	6	-1	-1	1	925				PHYSICAL	PIERCING	PHYSICAL,PIERCING	NONE	0	
HYDRA_2	HYDRA	GREEN	OTHER	0	2	10	2.5	2	925				PHYSICAL	TOXIC	PHYSICAL,TOXIC,DAMAGE_OVER_TIME	NONE	0	
HYDRA_3	HYDRA	BLUE	AUTO_ATTACK	0	3	3	0.75	3	925	1025			MAGIC		MAGIC,RANGED	SNAKE_DRAGON_SONIC_WAVE	90	
HYDRA_4	HYDRA	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
HYDRA_5	HYDRA	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
GROOVY_DRUID_0	GROOVY_DRUID	DEFAULT	AUTO_ATTACK	0	3.21	3.21	0.8025	4	925	1025			PHYSICAL	PIERCING	PHYSICAL,PIERCING,RANGED	GROOVY_DRUID_0	90	
GROOVY_DRUID_1	GROOVY_DRUID	WHITE	ACTIVE	1	3	-1	-1	1	925			450	MAGIC	PIERCING	MAGIC,PIERCING,RANGED	GROOVY_DRUID_1	0	
GROOVY_DRUID_2	GROOVY_DRUID	GREEN	OTHER	0	3	15	3.75	2	925		250		MAGIC		MAGIC,RANGED	GROOVY_DRUID_2	90	
GROOVY_DRUID_3	GROOVY_DRUID	BLUE	OTHER	0	2	15	3.75	3	925				MAGIC			NONE	90	
GROOVY_DRUID_4	GROOVY_DRUID	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
GROOVY_DRUID_5	GROOVY_DRUID	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC	PIERCING	MAGIC,PIERCING	NONE	0	
BONE_DRAGON_0	BONE_DRAGON	DEFAULT	AUTO_ATTACK	0	2.75	2.75	0.6875	4	925	1025			PHYSICAL	TOXIC	PHYSICAL,TOXIC,RANGED	BONE_DRAGON_0	90	
BONE_DRAGON_1	BONE_DRAGON	WHITE	ACTIVE	2	6	-1	-1	1	925				PHYSICAL	FIRE	PHYSICAL,FIRE,RANGED	BONE_DRAGON_1	0	
BONE_DRAGON_2	BONE_DRAGON	GREEN	OTHER	0	2.75	12	3	2	925				PHYSICAL	TOXIC	PHYSICAL,TOXIC,RANGED,DAMAGE_OVER_TIME	BONE_DRAGON_2	90	
BONE_DRAGON_3	BONE_DRAGON	BLUE	OTHER	0	2.75	12	3	3	925				MAGIC			NONE	90	
BONE_DRAGON_4	BONE_DRAGON	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
BONE_DRAGON_5	BONE_DRAGON	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC	NECROTIC	MAGIC,NECROTIC	NONE	0	
ROLLER_WARRIOR_0	ROLLER_WARRIOR	DEFAULT	AUTO_ATTACK	0	2	3	0.75	4	75	125	125		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
ROLLER_WARRIOR_1	ROLLER_WARRIOR	WHITE	ACTIVE	1.5	3	-1	-1	1	150	125	125	75	PHYSICAL	BASHING	PHYSICAL,BASHING,KNOCKBACK	NONE	0	
ROLLER_WARRIOR_2	ROLLER_WARRIOR	GREEN	OTHER	0	2	9	2.25	3	75	125			PHYSICAL		PHYSICAL	NONE	90	
ROLLER_WARRIOR_3	ROLLER_WARRIOR	BLUE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	90	
ROLLER_WARRIOR_4	ROLLER_WARRIOR	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ROLLER_WARRIOR_5	ROLLER_WARRIOR	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
ROLLER_WARRIOR_6	ROLLER_WARRIOR	RED	OTHER	0	1.5	8	0.5	2	3000	6000						NONE	200	FLAMES_OF_PASSION
DRAGON_LADY_0	DRAGON_LADY	DEFAULT	AUTO_ATTACK	0	3.77	3.77	0.9425	4	75	125	125		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	90	
DRAGON_LADY_1	DRAGON_LADY	WHITE	ACTIVE	2	4	-1	-1	1	1025		550		MAGIC	FIRE	MAGIC,FIRE	DRAGON_LADY_DRAGON	0	
DRAGON_LADY_2	DRAGON_LADY	GREEN	OTHER	0	4	15	3.75	2	75	125			MAGIC		MAGIC	NONE	90	
DRAGON_LADY_3	DRAGON_LADY	BLUE	OTHER	0	4	15	3.75	3	75	125	200		MAGIC		MAGIC	NONE	90	
DRAGON_LADY_4	DRAGON_LADY	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DRAGON_LADY_5	DRAGON_LADY	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
DRAGON_LADY_6	DRAGON_LADY	RED	OTHER	0	-1	-1	-1	-1								NONE	0	LONELY_HERO
POLEMASTER_0	POLEMASTER	DEFAULT	AUTO_ATTACK	0	3	3	0.75	4	75	125	125		PHYSICAL	PIERCING	PHYSICAL,PIERCING	NONE	90	
POLEMASTER_1	POLEMASTER	WHITE	ACTIVE	3	6	-1	-1	1	150	150		100	PHYSICAL	BASHING	PHYSICAL,BASHING,KNOCKBACK	NONE	0	
POLEMASTER_2	POLEMASTER	GREEN	OTHER	0	3	20	5	2	75				MAGIC		MAGIC	NONE	90	
POLEMASTER_3	POLEMASTER	BLUE	OTHER	0	3	20	5	3	75	325			PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
POLEMASTER_4	POLEMASTER	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
POLEMASTER_5	POLEMASTER	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SNAP_DRAGON_0	SNAP_DRAGON	DEFAULT	AUTO_ATTACK	0	2	2	0.5	4	75	125	125		PHYSICAL	PIERCING	PHYSICAL,PIERCING	NONE	120	
SNAP_DRAGON_1	SNAP_DRAGON	WHITE	ACTIVE	0.5	2	-1	-1	1	925				TRUE		TRUE	BRUTE_DRAGON_1	0	
SNAP_DRAGON_2	SNAP_DRAGON	GREEN	OTHER	0	2	12	3	2	75				PHYSICAL	TOXIC	PHYSICAL,TOXIC,DAMAGE_OVER_TIME	BRUTE_DRAGON_2	120	
SNAP_DRAGON_3	SNAP_DRAGON	BLUE	OTHER	0	2	12	3	3	75		500	350	PHYSICAL	BASHING	PHYSICAL,BASHING,KNOCKBACK	NONE	120	
SNAP_DRAGON_4	SNAP_DRAGON	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SNAP_DRAGON_5	SNAP_DRAGON	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SNAP_DRAGON_6	SNAP_DRAGON	RED	OTHER	0	-1	-1	-1	-1								NONE	0	BOAST_OF_HEAD
SAVAGE_CUTIE_0	SAVAGE_CUTIE	DEFAULT	AUTO_ATTACK	0	1.9	1.9	0.475	4	75	125	125		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	120	
SAVAGE_CUTIE_1	SAVAGE_CUTIE	WHITE	ACTIVE	1.5	1.9	-1	-1	1	75	125	750		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	0	
SAVAGE_CUTIE_2	SAVAGE_CUTIE	GREEN	OTHER	0	1.9	7	1.75	2	75	125	250		PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	180	
SAVAGE_CUTIE_3	SAVAGE_CUTIE	BLUE	OTHER	0	1.9	12	3	3	75				PHYSICAL	SLASHING		NONE	90	
SAVAGE_CUTIE_4	SAVAGE_CUTIE	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
SAVAGE_CUTIE_5	SAVAGE_CUTIE	ORANGE	OTHER	0	-1	-1	-1	-1					PHYSICAL	SLASHING	PHYSICAL,SLASHING	NONE	0	
ZOMBIE_SQUIRE_0	ZOMBIE_SQUIRE	DEFAULT	AUTO_ATTACK	0	4.2	4.2	1.05	4	75	125	125		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
ZOMBIE_SQUIRE_1	ZOMBIE_SQUIRE	WHITE	ACTIVE	2	6	-1	-1	1	75				MAGIC	BASHING	MAGIC,BASHING	NONE	0	
ZOMBIE_SQUIRE_2	ZOMBIE_SQUIRE	GREEN	OTHER	0	3	15	3.75	2	75	125	125		PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
ZOMBIE_SQUIRE_3	ZOMBIE_SQUIRE	BLUE	OTHER	0	3	15	3.75	3	75				MAGIC			NONE	90	
ZOMBIE_SQUIRE_4	ZOMBIE_SQUIRE	PURPLE	OTHER	0	-1	-1	-1	-1	-1				MAGIC			NONE	0	
ZOMBIE_SQUIRE_5	ZOMBIE_SQUIRE	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
AQUATIC_MAN_0	AQUATIC_MAN	DEFAULT	AUTO_ATTACK	0	2.8	2.8	0.7	4	75	125			PHYSICAL	WATER	PHYSICAL,WATER	NONE	90	
AQUATIC_MAN_1	AQUATIC_MAN	WHITE	ACTIVE	1	6	-1	-1	1	1025			250	MAGIC	WATER	MAGIC,WATER,KNOCKBACK,RANGED	AQUATIC_1	0	
AQUATIC_MAN_2	AQUATIC_MAN	GREEN	OTHER	0	2.8	7	1.75	2	75	125			MAGIC	WATER	MAGIC,WATER	NONE	90	
AQUATIC_MAN_3	AQUATIC_MAN	BLUE	OTHER	0	2.8	15	3.75	3	75	125			MAGIC			NONE	90	
AQUATIC_MAN_4	AQUATIC_MAN	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
AQUATIC_MAN_5	AQUATIC_MAN	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
NINJA_DWARF_0	NINJA_DWARF	DEFAULT	AUTO_ATTACK	0	2.25	2.25	0.5625	4	75	125			PHYSICAL	BASHING	PHYSICAL,BASHING	NONE	90	
NINJA_DWARF_1	NINJA_DWARF	WHITE	ACTIVE	2	3	-1	-1	2	1625	125			MAGIC	BASHING	MAGIC,BASHING	NONE	0	
