	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	FIGHT_PIT_TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	STRENGTH	INTELLECT	AGILITY	MAX_HP	ATTACK_DAMAGE	MAGIC_POWER	ARMOR	MAGIC_RESISTANCE	PHYSICAL_CRIT	MAGIC_CRIT	HP_REGEN	ENERGY_REGEN	LIFE_STEAL_RATING	DODGE	IGNORE_MAGIC_RESISTANCE	IMPROVE_HEALING	ARMOR_PENETRATION	ENERGY_CONSUMPTION_REDUCTION	TENACITY	ACCURACY	SKILL_LEVEL
BOOK_OF_IRMAC	GEAR	CYAN	137	R2_16	168,000	5,154,000	900	5,500	500			300																	80	200	
BOOM_BOX	GEAR	ORANGE	110	R2_8	375,000	2,673,500	830	3,500	500		130			500			60							50							
BOOTS_MADE_FOR_WALKIN	GEAR	PURPLE	65	R0_2	33,000	556,000	630	1,400	400				25																		
BOSS_BATTLE_STAGE_RESET	MISC	PURPLE		R1																											
BOWIE_KNIFE	GEAR	ORANGE	88	R2_2	68,560	1,371,000	275	2,400	100						100																
BRACELET_OF_LIGHTNING	GEAR	CYAN	140	R2_16	336,000	10,200,000	2,000	9,000	500		800							290												230	
BRAIN_GUARD_9000	GEAR	ORANGE	115	R2_9	450,000	3,052,000	830	4,000	500			200					94	94													
BRAIN_PILLS	GEAR	ORANGE	107	R2_8	468,750	2,473,500	3,275	3,750	500			115				375															
BUNNY_BLADE	GEAR	CYAN	133	R2_15	156,000	4,716,000	960	6,250	500				220						300					500						500	
BUNNY_SLIPPERS	GEAR	PURPLE	47	R1_0	18,000	209,000	250	780	80															20							
BUTTER_KNIFE	GEAR	GREEN	18	R1	700	11,750	40	150	8		6	14	6						75												
CANNON_CANOE	GEAR	ORANGE	111	R2_9	562,500	2,754,500	2,570	3,500	500						444																
CAPTAINS_TIGHTPANTS	GEAR	GREEN	10	R1	475	2,100	9	40	4								5				90										
CAT_O_NINE_TAILS	GEAR	CYAN	126	R2_14	132,000	4,011,000	900	5,000	500					4000											200						
CHAIN_WALLET	MISC	ORANGE		R2_17	10,000	10,000	100	1,000																							
CHAMPIONSHIP_BELT	GEAR	ORANGE	90	R2_3	89,150	1,478,500	2,760	2,550	500		45	45	45	650															50		
CHAPS_OF_ENDURANCE	GEAR	GREEN	16	R1	487	8,550	50	135	7		7	7	7				1				90										
CHUGG_BOOTS	GEAR	PURPLE	74	R1_3	60,000	819,500	1,060	1,700	500				38			60								10							
CHUNKY_FEMUR	GEAR	WHITE	9	R1	235	1,750	50	30	4		3	6	3		3																
CLOAK_OF_THE_OWL	GEAR	ORANGE	119	R2_10	100,000	3,380,000	830	4,250	500			50		1600				160						30						72	
CLOUDY_MONOCULAR_TELESCOPE	GEAR	RED	153	R2_21	1,524,000	15,275,000	2,350	10,070	500										1000										200	240	
COG_NITIVE_MASK	GEAR	CYAN	134	R2_15	156,000	4,823,000	960	5,000	500			220		10000											250						10
COPPER_ORE	TRASH	GREEN		R1	5,000	10,000	1	10																							
COSPLAY_SWORD	GEAR	ORANGE	99	R2_5	107,125	1,949,500	275	3,000	100				70		150																
CREATINE_CACTUS	GEAR	ORANGE	119	R2_10	100,000	3,377,500	275	4,250	100		260								150			100							50		
CROWNING_ACHIEVEMENT	GEAR	ORANGE	121	R2_13	100,000	3,551,000	830	4,000	500								100	100											400		
CRUDE_SHIELD	MISC	ORANGE	79	R2_1	50,000	195,000	3,000	1,000																							
CRUDE_SNIPPERS	GEAR	CYAN	127	R2_14	132,000	4,107,000	900	4,750	500						700				255												
CRYSTAL_MUSHROOM	GEAR	RED	152	R2_22	1,524,000	15,275,000	2,350	10,575	500			5	4	1																	
DAISY_CHAINSAW	GEAR	GREEN	15	R0_3	137	6,900	9	105	7						5																
DANCERS_BRA	GEAR	CYAN	148	R2_18	1,620,000	16,250,000	2,500	12,500	500				400	14000											400					250	
DEAD_EYE	GEAR	PURPLE	72	R1_3	25,000	753,500	630	1,600	100				16																	8	
DEATH_METAL_BLADE	GEAR	BLUE	44	R1	8,975	171,500	170	600	64		3				40				50												
DECODER_RING	GEAR	BLUE	35	R1	5,475	87,250	250	565	32			4	22		20																
DECODER_RING_2_ORDER	GEAR	PURPLE	56	R1_0	10,950	353,500	380	855	280			12	28		40																
DECODER_RING_3_ORDER	GEAR	PURPLE	67	R1_2	21,900	610,500	755	1,300	500			20	34		60																
DEDICATED_BROZERKER	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999					20000		2800	450														5
DEDICATED_CENTAUR_OF_ATTENTION	GEAR	RED	150	R2_20	3,900,000	39,000,000	6,000	27,000	999						4000				1000				150				400.0				
DEDICATED_COSMIC_ELF	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999			1800		15000				400						200							
DEDICATED_DEEP_DRAGON	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999			1400		20000			300													200	5
DEDICATED_DEMON_TOTEM	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999		900		900										200				400			150	
DEDICATED_DRAGON_LADY	GEAR	RED	150	R2_20	3,900,000	39,000,000	6,000	27,000	999					15000	2000	2000									350					200	
DEDICATED_GENIE	GEAR	RED	150	R2_20	3,900,000	39,000,000	6,000	27,000	999		500				1500	2000			1000								300				
DEDICATED_MEDUSA	GEAR	RED	150	R2_20	3,900,000	39,000,000	6,000	27,000	999						2500			400									350			250	10
DEDICATED_NINJA_DWARF	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999					17000	2000										300		300.0			200	
DEDICATED_ORC_MONK	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999			1000		30000			200	200													5
DEDICATED_ROLLER_WARRIOR	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999		1700				2000								200				200.0				
DEDICATED_SATYR	GEAR	RED	150	R2_20	3,900,000	39,000,000	6,000	27,000	999					20000		4000									400						10
DEDICATED_SHADOW_ASSASSIN	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999						4000									250			400.0			300	
DEDICATED_SNAP_DRAGON	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999		1250							200									500		350	200	
DEDICATED_UNSTABLE_UNDERSTUDY	GEAR	RED	150	R2_21	3,900,000	39,000,000	6,000	27,000	999					10000		4000									400				200		
DEERSTALKER_HAT	GEAR	ORANGE	86	R2_2	150,000	1,291,000	2,405	2,250	500			50		300		200			150												
DENSE_CAKE_OF_HATE	GEAR	CYAN	128	R2_14	138,000	4,205,000	960	4,525	500		200			12000																	
DEVILS_POT	GEAR	CYAN	142	R2_17	150,000	4,590,000	900	4,050	500					5500											370						
DIPLOMATIC_IMMUNITY	GEAR	PURPLE	52	R0_3	10,364	283,000	325	1,110	130									35			100										
DIRECTORS_CUT	GEAR	GREEN	18	R1	700	11,750	40	150	8		14	6	6						75												
DIRK_OF_DISEMBOWELING	GEAR	PURPLE	53	R0_3	18,025	301,000	535	800	140		10	10	26	250					80												
DIRTY_BASTARD_SWORD	GEAR	ORANGE	94	R2_3	150,000	1,672,500	1,185	2,850	500						150				175												
DODGY_JEWELRY	GEAR	ORANGE	116	R2_10	100,000	3,140,000	2,570	4,000	500															200						120	
DONT_TASE_ME_BOW	GEAR	BLUE	25	R1	7,500	31,750	80	440	15										75												
DOUBLE_AXE	GEAR	CYAN	142	R2_17	150,000	4,590,000	900	5,065	500					5000													390				
DOUBLE_BLADED_SWORD	GEAR	ORANGE	114	R2_9	187,500	2,970,500	275	3,750	100		200				100								50				50				
DOUBLE_ELITE_CAMPAIGN_DROPS	MISC	PURPLE		R1			200	1,000																							
DOUBLE_EXPERT_CAMPAIGN_DROPS	MISC	PURPLE		R1			400	2,000																							
DOUBLE_NORMAL_CAMPAIGN_DROPS	MISC	PURPLE		R1			400	2,000																							
DRACONIAN_DISH	GEAR	RED	152	R2_21	1,524,000	15,275,000	2,350	10,575	500					8000				300					150								
DRAGON_BLANKIE	GEAR	CYAN	132	R2_15	150,000	4,610,500	900	6,250	500								300												400		
DRAGON_LEATHER_TIGHTS	GEAR	CYAN	145	R2_17	408,000	12,240,000	2,400	10,800	500		525	525	525						710												
DRAGON_SAND_BOOTS	GEAR	CYAN	150	R2_18	3,054,000	30,550,000	4,700	20,145	500		2000			20000										200					100		
DRAGON_SCALE	GEAR	PURPLE	75	R1_3	60,000	852,000	925	1,800	500		10			480	16			35													
DRAGON_SCALE_GROVE	GEAR	RED	154	R2_21	3,180,000	31,850,000	4,900	24,500	700		1600		400	15000			260														
DRAGONS_BALLZ	GEAR	ORANGE	91	R2_3	187,500	1,526,500	2,760	2,550	500					500			20	20											80		
DRAGONS_BLADE	GEAR	CYAN	140	R2_16	336,000	10,200,000	2,000	8,570	500				800	10000				310													
DRAGONS_POCKET_WATCH	GEAR	CYAN	141	R2_17	150,000	4,590,000	900	4,050	500								120							350							
DROP_OF_MOONLIGHT	GEAR	RED	154	R2_21	3,180,000	31,850,000	4,900	22,050	700			1800	700					380												200	5
DUELING_KNIVES_OF_HACKENSLASH	GEAR	ORANGE	86	R2_2	150,000	1,287,500	1,745	2,250	500				50	300	120				125												
DWARVEN_LIFTING_BELT	MISC	ORANGE	79	R2_1	50,000	195,000	3,000	1,000																							
ELITE_CHANCES_COST_RESET	MISC	PURPLE		R1			200	500																							
EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	GEAR	ORANGE	97	R2_5	234,375	1,851,000	3,605	2,750	500				60																		1
ENCHANTED_ELBOW_PADS	GEAR	WHITE	2	R1	92	150	9	10	2		2	2	2																		
END_CENTURY_FLAME_RADIATOR	GEAR	RED	155	R2_21	3,180,000	31,850,000	4,900	21,000	700		800	800	1200			2000									200						
ENGAGEMENT_KNUCKLES	GEAR	ORANGE	117	R2_10	100,000	3,220,000	2,220	4,050	500						500				50												
ENIDS_EXPENSIVE_ELIXIR	GEAR	PURPLE	55	R1_0	20,462	334,500	315	900	250			6			40						200	100						0.15			
ENIDS_EXPENSIVE_ELIXIR_2_ORDER	GEAR	ORANGE	96	R2_5	234,375	1,793,000	3,195	3,000	500			70	70																		
ESCUTCHEON_OF_EYES	GEAR	CYAN	135	R2_15	306,000	9,180,000	1,800	7,715	500		1000			12000			50														
EVENT_CHEST_ROLL_X1	MISC	PURPLE		R1			300	1,500																							
EXCALIBURTREYNOLDS	GEAR	GREEN	18	R1	875	11,750	25	150	8						10						200	75									
EXOTIC_FAN	GEAR	RED	151	R2_20	1,494,000	14,950,000	2,300	12,940	500									500							300						
EXP_DECANTER	MISC	PURPLE		R1	21,550	43,100	30	250		7500																					
EXP_FLASK	MISC	WHITE		R1	400	800	1	5		60																					
EXP_PHILTER	MISC	GREEN		R1	1,200	2,400	1	10		300																					
EXP_VIAL	MISC	BLUE		R1	4,000	8,000	5	50		1500																					
EXPLOSIVE_CANNON	GEAR	RED	153	R2_21	1,524,000	15,275,000	2,350	13,220	500					9000	900		300														
EXTREME_FAD_DIET	GEAR	PURPLE	77	R1_4	31,250	922,000	630	2,110	100		10			900																	
EYE_OF_THE_BEHOLDER	GEAR	ORANGE	100	R2_5	187,500	2,012,000	830	3,000	500							300		40													
EYE_ON_THE_PRIZE	GEAR	ORANGE	115	R2_9	450,000	3,052,000	830	4,000	500				200	4000															100	100	
FAMILIAR_ENERGY_TANK	GEAR	CYAN	141	R2_17	150,000	4,590,000	900	4,500	500					2200		700			200												
FAMILY_TREE_OF_UMLAUT	GEAR	RED	151	R2_21	1,524,000	15,275,000	2,350	13,220	500								240	240							240		240				
FEATHER_OF_PHOENIX	GEAR	RED	155	R2_20	3,150,000	31,525,000	4,850	21,825	700			2100				2500		400												200	
FEATHER_WEIGHT_FOIL	GEAR	CYAN	135	R2_15	306,000	9,180,000	1,800	8,100	500				1000	12000										500							
FEATHER_WEIGHT_PAULDRONS	GEAR	CYAN	130	R2_14	288,000	8,670,000	1,700	7,650	500		450	450	450																		
FINE_BRIE	GEAR	WHITE	2	R1	175	150	9	10	2												80										
FINS_OF_SEA_DRAGON	GEAR	RED	154	R2_20	3,150,000	31,525,000	4,850	24,250	700				2100	10000			250							200							
FLAIL_OF_TOTAL_DEVASTATION	GEAR	BLUE	44	R1	14,000	171,500	240	750	64						60												7				
FLAMEY_POOFS	GEAR	ORANGE	107	R2_8	468,750	2,473,500	3,275	3,750	500						160			30													
FLATTERING_MIRROR	GEAR	ORANGE	125	R2_13	100,000	3,914,500	830	4,500	500			1200																		300	
FLOPPIN_FLIP_FLOPS	GEAR	ORANGE	120	R2_10	100,000	3,465,500	830	4,500	500		200	200	200								800										
FOAM_FINGER	GEAR	WHITE	2	R1	75	150	9	10	2		3																				
FOUR_D_GLASSES	GEAR	ORANGE	103	R2_6	100,000	2,194,000	275	3,250	100					1000				75													
FRAMED_DIPLOMA	GEAR	PURPLE	49	R0_2	13,500	236,500	215	760	120			25																			
FREE_MANS_CROWBAR	GEAR	WHITE	2	R1	112	150	9	10	2						6																
FRIENDZONITE	GEAR	ORANGE	116	R2_10	100,000	3,138,500	2,220	4,445	500		80				160	160					400	400						0.3			
GAUNTLET_OF_THRONE	GEAR	CYAN	137	R2_16	168,000	5,154,000	900	6,875	500		300														100		100.0				
GEAR_TICKET_CYAN	MISC	CYAN		R1																											
GEAR_TICKET_ORANGE	MISC	ORANGE		R1																											
GEAR_TICKET_PURPLE	MISC	PURPLE		R1																											
GENERIC_ORANGE	MISC	ORANGE		R3																											
GENTLEMENS_CLUB	GEAR	BLUE	24	R1	4,000	28,000	80	335	14						24																
GIANTS_GROG	GEAR	ORANGE	124	R2_13	100,000	3,821,500	830	4,250	500					10000																	2
GIRDLE_OF_VICTORY	GEAR	ORANGE	79	R1_4	75,000	995,500	745	2,000	500		20	80					15	18			200										
GLAIVE_OF_DISMEMBERMENT	GEAR	BLUE	34	R1	7,500	79,500	160	500	30						30				75												
GLASS_CANNON	GEAR	ORANGE	101	R2_6	300,000	2,086,500	3,750	3,000	500																35		35.0			15	
GLASS_CASE_OF_EMOTION	GEAR	ORANGE	90	R2_2	120,000	1,472,500	1,535	2,550	500				95																		
GLORY_SEEKER	GEAR	ORANGE	100	R2_5	187,500	2,012,000	830	3,000	500					2000				30						12					150		
GLOVES_OF_CRIT	GEAR	GREEN	10	R1	250	2,100	9	40	4										37.5												
GOBLIN_GROG	GEAR	WHITE	2	R1	100	150	9	10	2												15	15									
GOBLIN_WHACKER	GEAR	WHITE	9	R1	242	1,750	50	30	4		3	3	6		3																
GOLD_AX_SILVER_AX	GEAR	RED	154	R2_22	3,180,000	31,850,000	4,900	24,500	700		5	4	2																		
GOLD_CHEST_ROLL_X1	MISC	PURPLE		R1			288	1,000																							
GOLD_RUSH	GEAR	RED	155	R2_20	3,150,000	31,525,000	4,850	21,825	700		700	700	700	35000																	
GOLDEN_SLINGSHOT	GEAR	CYAN	126	R2_14	132,000	4,011,000	900	5,625	500																					560	
GOOD_GREEN_GOO	MISC	ORANGE		R2_17	10,000	10,000	100	1,000																							
GOOD_SLEEPING_BED	GEAR	CYAN	149	R2_18	1,620,000	16,250,000	2,500	14,065	500					40000							30000										
GOURD	GEAR	RED	152	R2_20	1,494,000	14,950,000	2,300	10,350	500					6000		3000								100							
GREAT_HORNED_HORN	GEAR	ORANGE	117	R2_10	100,000	3,220,000	2,220	5,315	500							500						200									5
GREAVES_OF_PLEIAS	GEAR	CYAN	140	R2_16	336,000	10,200,000	2,000	9,000	500		500	500	500	12000																	
GREENISH_LANTERN	MISC	ORANGE		R2_17	10,000	10,000	100	1,000																							
GRIEVOUS_BODILY_HARM	GEAR	PURPLE	68	R1_2	27,725	639,000	1,020	1,240	500						81				250												
GROUND_GEARS	GEAR	ORANGE	118	R2_10	100,000	3,293,000	275	4,250	100					900			170														1
HAIR_OF_THE_DOG	GEAR	ORANGE	101	R2_6	300,000	2,083,500	3,080	3,000	500												1500	75							50		
HAMMER_OF_WICKED_BEATS	GEAR	PURPLE	54	R1_0	24,625	317,500	490	800	250		15	15	15		10			15													
HAMMER_TIME	GEAR	ORANGE	104	R2_6	240,000	2,261,000	830	3,250	500						350												100.0				0
HANDY_RASP	GEAR	RED	153	R2_22	1,524,000	15,275,000	2,350	10,070	500			5	4	1															200	240	
HAROLDS_HOMEMADE_HALBERD	GEAR	PURPLE	62	R1_0	38,000	483,500	630	1,300	400						60																
HEAD_BANGER	GEAR	PURPLE	50	R0_2	12,000	251,000	215	900	120						46																
HEAL_AID	GEAR	ORANGE	108	R2_8	156,250	2,528,000	275	3,250	100												1300		60			0.8					
HEALTHY_DOSE_OF_SKEPTICISM	GEAR	ORANGE	87	R2_2	50,000	1,325,000	275	2,250	100			25						50													
HEART_HAT	GEAR	CYAN	133	R2_15	156,000	4,716,000	960	5,000	500					25000																	
HEART_HEALTH_CANDY	GEAR	ORANGE	120	R2_10	100,000	3,465,500	830	4,500	500					10400																	
HEARTY_CHEST	GEAR	ORANGE	113	R2_9	187,500	2,893,500	275	3,750	100					7000																	
HELM_OF_SCREAMING_MANFACE	GEAR	ORANGE	91	R2_3	187,500	1,526,500	2,760	2,550	500		15			1000	50		35														
HELM_OF_THE_RAGING_BEAR	GEAR	ORANGE	88	R2_2	50,000	1,371,000	275	2,400	100			10					100														
HELMET_OF_FORESIGHT	GEAR	CYAN	140	R2_16	336,000	10,200,000	2,000	10,000	500			800		10000			450														
HEMP_BRACELET	GEAR	GREEN	11	R1	437	2,800	9	45	5													60									
HERMITS_PILLS	GEAR	RED	153	R2_20	1,494,000	14,950,000	2,300	10,350	500		450			11000							20000										
HERO_ABYSS_DRAGON	HERO	WHITE		R1																											
HERO_ANCIENT_DWARF	HERO	WHITE		R1																											
HERO_ANGEL_DRAGON	HERO	WHITE		R1																											
HERO_ANGELIC_HERALD	HERO	WHITE		R1																											
HERO_AQUATIC_MAN	HERO	WHITE		R1																											
HERO_BANSHEE	HERO	WHITE		R1																											
HERO_BARDBARIAN	HERO	WHITE		R1																											
HERO_BLACK_WING	HERO	WHITE		R1																											
HERO_BONE_DRAGON	HERO	WHITE		R1																											
HERO_BROZERKER	HERO	WHITE		R1																											
HERO_BULWARK_ANGEL	HERO	WHITE		R1																											
HERO_BURNT_ONE	HERO	WHITE		R2_10																											
HERO_CATAPULT_KNIGHT	HERO	WHITE		R1																											
HERO_CENTAUR_OF_ATTENTION	HERO	WHITE		R1																											
HERO_CLAW_MAN	HERO	WHITE		R1																											
HERO_COSMIC_ELF	HERO	WHITE		R1																											
HERO_CRIMSON_WITCH	HERO	WHITE		R1																											
HERO_CURSED_STATUE	HERO	WHITE		R1																											
HERO_CYCLOPS_WIZARD	HERO	WHITE		R1																											
HERO_DARK_DRACUL	HERO	WHITE		R1																											
HERO_DARK_HERO	HERO	WHITE		R1																											
HERO_DARK_HORSE	HERO	WHITE		R1																											
HERO_DEEP_DRAGON	HERO	WHITE		R1																											
HERO_DEMON_TOTEM	HERO	WHITE		R1																											
HERO_DIGGER_MOLE	HERO	WHITE		R1																											
HERO_DOPPELGANGER	HERO	WHITE		R1																											
HERO_DRAGON_LADY	HERO	WHITE		R1																											
HERO_DRAGON_SLAYER	HERO	WHITE		R1																											
HERO_DRAGZILLA	HERO	WHITE		R1																											
HERO_DRUIDINATRIX	HERO	WHITE		R1																											
HERO_DUNGEON_MAN	HERO	WHITE		R1																											
HERO_DUST_DEVIL	HERO	WHITE		R1																											
HERO_DWARVEN_ARCHER	HERO	WHITE		R1																											
HERO_ELECTROYETI	HERO	WHITE		R1																											
HERO_ETERNAL_ENCHANTER	HERO	WHITE		R1																											
HERO_FAITH_HEALER	HERO	WHITE		R1																											
HERO_FORGOTTEN_DRAGON	HERO	WHITE		R1																											
HERO_FROST_GIANT	HERO	WHITE		R1																											
HERO_GENIE	HERO	WHITE		R1																											
HERO_GRAND_HUNTRESS	HERO	WHITE		R1																											
HERO_GREED_DRAGON	HERO	WHITE		R1																											
HERO_GROOVY_DRUID	HERO	WHITE		R1																											
HERO_HYDRA	HERO	WHITE		R1																											
HERO_KARAOKE_KING	HERO	WHITE		R1																											
HERO_KRAKEN_KING	HERO	WHITE		R1																											
HERO_LAST_DEFENDER	HERO	WHITE		R1																											
HERO_MAGIC_DRAGON	HERO	WHITE		R1																											
HERO_MEDUSA	HERO	WHITE		R1																											
HERO_MINOTAUR	HERO	WHITE		R1																											
HERO_MISTRESS_MANICURE	HERO	WHITE		R1																											
HERO_MOON_DRAKE	HERO	WHITE		R1																											
HERO_NINJA_DWARF	HERO	WHITE		R1																											
HERO_ORC_MONK	HERO	WHITE		R1																											
HERO_PCH_ANUBIS_DRAGON	HERO	WHITE		R1																											
HERO_PIRATE	HERO	WHITE		R1																											
HERO_PLAGUE_ENTREPRENEUR	HERO	WHITE		R1																											
HERO_PLANT_SOUL	HERO	WHITE		R1																											
HERO_POLEMASTER	HERO	WHITE		R1																											
HERO_RABID_DRAGON	HERO	WHITE		R1																											
HERO_RAGING_REVENANT	HERO	WHITE		R1																											
HERO_ROLLER_WARRIOR	HERO	WHITE		R1																											
HERO_SADISTIC_DANCER	HERO	WHITE		R1																											
HERO_SATYR	HERO	WHITE		R1																											
HERO_SAVAGE_CUTIE	HERO	WHITE		R1																											
HERO_SHADOW_ASSASSIN	HERO	WHITE		R1																											
HERO_SHADOW_OF_SVEN	HERO	WHITE		R1																											
HERO_SILENT_SPIRIT	HERO	WHITE		R1																											
HERO_SKELETON_KING	HERO	WHITE		R1																											
HERO_SNAP_DRAGON	HERO	WHITE		R1																											
HERO_SNAPPER_BONE	HERO	WHITE		R1																											
HERO_SNIPER_WOLF	HERO	WHITE		R1																											
HERO_SOJOURNER_SORCERESS	HERO	WHITE		R1																											
HERO_SPECTRAL_DRAGON	HERO	WHITE		R1																											
HERO_SPIDER_QUEEN	HERO	WHITE		R1																											
HERO_SPIKEY_DRAGON	HERO	WHITE		R1																											
HERO_STEPLADDER_BROTHERS	HERO	WHITE		R1																											
HERO_STORM_DRAGON	HERO	WHITE		R1																											
HERO_STOWAWAY	HERO	WHITE		R1																											
HERO_SUN_SEEKER	HERO	WHITE		R1																											
HERO_TOMB_ANGEL	HERO	WHITE		R1																											
HERO_TRIPLE_THREAT	HERO	WHITE		R1																											
HERO_UMLAUT_THE_FIRST	HERO	WHITE		R1																											
HERO_UNICORGI	HERO	WHITE		R1																											
HERO_UNRIPE_MYTHOLOGY	HERO	WHITE		R1																											
HERO_UNSTABLE_UNDERSTUDY	HERO	WHITE		R1																											
HERO_VERMILION_PRIESTESS	HERO	WHITE		R1																											
HERO_VILE_BILE	HERO	WHITE		R1																											
HERO_VOID_WYVERN	HERO	WHITE		R1																											
HERO_VULTURE_DRAGON	HERO	WHITE		R1																											
HERO_WEE_WITCH	HERO	WHITE		R1																											
HERO_WEREDRAGON	HERO	WHITE		R1																											
HERO_WHITE_TIGRESS	HERO	WHITE		R1																											
HERO_ZOMBIE_SQUIRE	HERO	WHITE		R1																											
HIGH_TEA	GEAR	PURPLE	78	R1_4	31,250	958,000	630	2,000	100		10					55					100					0.5					
HIPPY_GLO_STICKS	GEAR	GREEN	17	R1	725	10,000	30	100	8		6	6	6			40						60									
HOLY_LANCE_OF_PLOT_ADVANCEMENT	GEAR	ORANGE	100	R2_5	187,500	2,012,000	830	3,000	500						250			20													
