	CRAFTING_GOLD	PART1_QUANTITY	PART1_TYPE	PART2_QUANTITY	PART2_TYPE	PART3_QUANTITY	PART3_TYPE	PART4_QUANTITY	PART4_TYPE
SPUD_GUN	5,000	1	REEL_SPUD_GUN	1	LOAFERS_OF_ALACRITY	1	RACING_STRIPES		
SHOVEL	18,000	1	REEL_SHOVEL	2	THE_UGLY_STICK	1	HEAD_BANGER		
ARCANE_SLACKS	1,200	1	GOBLIN_WHACKER	1	SNAZZY_VEST				
VORPAL_BOOMERANG	6,000	20	SHARD_VORPAL_BOOMERANG						
NECRONOMICON	5,000	1	REEL_NECRONOMICON	1	SACRED_CODEX	1	FINE_BRIE		
SWASH_BUCKLER	300	1	MY_FIRST_SHIELD	2	STOLEN_SNEAKERS				
THONG_OF_VITALITY	1,200	1	MY_FIRST_SHIELD	1	RAW_EGG	1	MELTY_CHOCOLATE_BAR		
HEAD_BANGER	6,000	20	SHARD_HEAD_BANGER						
AXES_OF_DUAL_WIELDING	5,000	1	BAG_O_HAMMERS	1	SPUD_GUN				
RACING_STRIPES	1,500	5	SHARD_RACING_STRIPES						
ENIDS_EXPENSIVE_ELIXIR	18,000	1	REEL_ENIDS_EXPENSIVE_ELIXIR	1	EXCALIBURTREYNOLDS	1	KING_JEFFS_CROSSBOW		
CHAPS_OF_ENDURANCE	1,200	1	STICK_ON_MOUSTACHE	1	RUBBER_VEST	1	FINE_BRIE		
ROD_OF_WITTY_PARTY_BANTER	18,000	1	REEL_ROD_OF_WITTY_PARTY_BANTER	2	KING_JEFFS_CROSSBOW				
PLUCKY_HEROINES_SHORTBOW	1,200	1	STICK_ON_MOUSTACHE	1	GLOVES_OF_CRIT	1	LOAFERS_OF_ALACRITY		
ORB_OF_EVERLASTING_FLAVOR	5,000	1	REEL_ORB_OF_EVERLASTING_FLAVOR	1	SACRED_CODEX	1	HEMP_BRACELET	1	BIT_O_NIP
BOOTS_MADE_FOR_WALKIN	15,000	50	SHARD_BOOTS_MADE_FOR_WALKIN						
EXCALIBURTREYNOLDS	1,200	1	MELTY_CHOCOLATE_BAR	1	HEMP_BRACELET				
SHOT_IN_THE_ARM	5,000	1	EXCALIBURTREYNOLDS	1	SNAKE_OIL				
BIG_STABBY_SPEAR	36,000	1	REEL_BIG_STABBY_SPEAR	1	HAROLDS_HOMEMADE_HALBERD				
GENTLEMENS_CLUB	1,500	5	SHARD_GENTLEMENS_CLUB						
BLISSFUL_IGNORANCE	1,200	1	MELTY_CHOCOLATE_BAR	2	FINE_BRIE	1	NONSTICK_SHIELD		
INTIMIDATING_BEARD	5,000	1	REEL_INTIMIDATING_BEARD	1	STICK_ON_MOUSTACHE				
SWORDY_MCEPICPANTS	18,000	1	BAG_O_HAMMERS	1	BUNNY_SLIPPERS				
VAMPIRE_BUNNYEARS	1,200	1	REEL_VAMPIRE_BUNNYEARS	1	YA_VAMPIRE_SERIES	1	FINE_BRIE	1	SNAZZY_VEST
FRAMED_DIPLOMA	6,000	20	SHARD_FRAMED_DIPLOMA						
LASER_POINTER	5,000	1	REEL_LASER_POINTER	1	SACRED_CODEX	1	CHUNKY_FEMUR		
LASER_POINTER_2_ORDER	18,000	2	LASER_POINTER						
LASER_POINTER_3_ORDER	36,000	2	LASER_POINTER_2_ORDER						
ROD_OF_TASING	5,000	1	ARTIFACT_OF_UNIMAGINABLE_POWER	1	MUSCLE_WAX	1	RACING_STRIPES	1	SACRED_CODEX
LEAD_ZEPPELIN	5,000	1	REEL_LEAD_ZEPPELIN	1	GLOVES_OF_CRIT	1	BESSIES_BANE	1	CAPTAINS_TIGHTPANTS
MJOLNIRBY	18,000	1	REEL_MJOLNIRBY	1	KINDNESS	1	VORPAL_BOOMERANG		
THINKING_CAP	5,000	1	REEL_THINKING_CAP	1	CAPTAINS_TIGHTPANTS	2	SMARTY_PANTS		
LIFEDRINKER	36,000	1	REEL_LIFEDRINKER	1	LIFESIPPER	1	PHILTER_OF_PURE_TESTOSTERONE		
LAVISHLY_ADORNED_RAPIER	36,000	1	BOOTS_MADE_FOR_WALKIN	1	BUNNY_SLIPPERS	1	BANJO_OF_DUELING		
KINDNESS	5,000	1	REEL_KINDNESS	1	GLOVES_OF_CRIT	1	GENTLEMENS_CLUB		
AND_MY_AXE	1,500	5	SHARD_AND_MY_AXE						
DECODER_RING	5,000	1	REEL_DECODER_RING	2	RACING_STRIPES	1	SMARTY_PANTS		
DECODER_RING_2_ORDER	18,000	2	DECODER_RING						
DECODER_RING_3_ORDER	36,000	2	DECODER_RING_2_ORDER						
SPARKLE_PONY_KEYCHAIN	1,200	1	REEL_SPARKLE_PONY_KEYCHAIN	1	GOBLIN_GROG	2	PAPER_CROWN		
SACRED_CODEX	1,500	5	SHARD_SACRED_CODEX						
PLASTIC_VAMPIRE_TEETH	1,200	1	REEL_PLASTIC_VAMPIRE_TEETH	1	YA_VAMPIRE_SERIES				
MUSSEL_MILK	5,000	1	EXCALIBURTREYNOLDS	1	AND_MY_AXE	1	MACE_OF_FRIENDSHIP		
SANDWICH_OF_UNSURPASSED_MEATINESS	36,000	1	REEL_SANDWICH_OF_UNSURPASSED_MEATINESS	1	RAW_EGG	1	PHILTER_OF_PURE_TESTOSTERONE		
FLAIL_OF_TOTAL_DEVASTATION	5,000	1	REEL_FLAIL_OF_TOTAL_DEVASTATION	2	GENTLEMENS_CLUB				
SUPER_SPIKEY_SPEAR	18,000	1	REEL_SUPER_SPIKEY_SPEAR	1	VORPAL_BOOMERANG	1	IMPRACTICAL_CHESTPLATE	1	PENETRABLE_ARMOR
THE_MAD_GODS_TRIDENT	5,000	1	REEL_THE_MAD_GODS_TRIDENT	1	AND_MY_AXE	1	BESSIES_BANE		
DONT_TASE_ME_BOW	1,500	5	SHARD_DONT_TASE_ME_BOW						
THE_COMPENSATOR	5,000	1	REEL_THE_COMPENSATOR	1	MUSCLE_WAX	1	GENTLEMENS_CLUB		
CHUNKY_FEMUR	300	1	REEL_CHUNKY_FEMUR	1	LOADED_DIE	1	ENCHANTED_ELBOW_PADS		
THE_POWER_OF_MEDICINE	1,200	1	REEL_THE_POWER_OF_MEDICINE	1	LUCKY_ORCS_FOOT	1	PRETTY_SWEET_CAPE		
THE_POWER_OF_MEDICINE_2_ORDER	5,000	2	THE_POWER_OF_MEDICINE						
THE_POWER_OF_MEDICINE_3_ORDER	18,000	2	THE_POWER_OF_MEDICINE_2_ORDER						
THE_POWER_OF_MEDICINE_4_ORDER	36,000	2	THE_POWER_OF_MEDICINE_3_ORDER						
SOCK_FULL_O_PENNIES	1,200	1	STICK_ON_MOUSTACHE	2	BESSIES_BANE				
DIPLOMATIC_IMMUNITY	18,000	1	REEL_DIPLOMATIC_IMMUNITY	1	BLISSFUL_IGNORANCE	1	LUCKY_ORCS_FOOT		
SVENS_SWORD_OF_DOOOOOM	36,000	1	HAROLDS_HOMEMADE_HALBERD	1	DEATH_METAL_BLADE				
LUCKY_ORCS_FOOT	300	1	REEL_LUCKY_ORCS_FOOT	1	FINE_BRIE	1	PAPER_CROWN		
ROD_OF_BADASSERY	5,000	2	SACRED_CODEX	1	ARTIFACT_OF_UNIMAGINABLE_POWER				
PHILTER_OF_PURE_TESTOSTERONE	15,000	50	SHARD_PHILTER_OF_PURE_TESTOSTERONE						
LIFESIPPER	1,200	1	YA_VAMPIRE_SERIES	1	CAPTAINS_TIGHTPANTS				
TOME_OF_NASTY_BEHAVIOR	18,000	2	ADAMANTIUM_TIARA	1	ARTIFACT_OF_UNIMAGINABLE_POWER	1	DAISY_CHAINSAW		
SHINY_BOTTLECAP	1,200	1	REEL_SHINY_BOTTLECAP	1	FINE_BRIE	1	BIT_O_NIP		
THE_1_RING	18,000	1	REEL_THE_1_RING	1	FRAMED_DIPLOMA	1	ADAMANTIUM_TIARA	1	HEMP_BRACELET
MACE_OF_FRIENDSHIP	1,500	5	SHARD_MACE_OF_FRIENDSHIP						
THE_UGLY_STICK	1,500	5	SHARD_THE_UGLY_STICK						
HAROLDS_HOMEMADE_HALBERD	15,000	50	SHARD_HAROLDS_HOMEMADE_HALBERD						
DIRK_OF_DISEMBOWELING	18,000	1	REEL_DIRK_OF_DISEMBOWELING	1	SPUD_GUN	1	ADAMANTIUM_TIARA		
DEATH_METAL_BLADE	5,000	1	REEL_DEATH_METAL_BLADE	1	THE_UGLY_STICK	1	PROTEIN_POWDER		
BUNNY_SLIPPERS	6,000	20	SHARD_BUNNY_SLIPPERS						
HIPPY_GLO_STICKS	1,200	1	STICK_ON_MOUSTACHE	1	WAND_OF_GOLD_SPARKLES				
MITHRIL_OREEAL	36,000	1	BOOTS_MADE_FOR_WALKIN	1	STAFF_OF_BOSS_FIGHTING				
GOBLIN_WHACKER	300	1	REEL_GOBLIN_WHACKER	1	STOLEN_SNEAKERS	1	ENCHANTED_ELBOW_PADS		
DIRECTORS_CUT	1,200	1	STICK_ON_MOUSTACHE	1	GLOVES_OF_CRIT	1	PROTEIN_POWDER		
BAG_O_HAMMERS	5,000	1	REEL_BAG_O_HAMMERS	1	PROTEIN_POWDER	1	MUSCLE_WAX		
GLAIVE_OF_DISMEMBERMENT	5,000	1	AND_MY_AXE	1	DONT_TASE_ME_BOW				
MUSCLE_WAX	1,500	5	SHARD_MUSCLE_WAX						
BLOODY_BAT	300	1	REEL_BLOODY_BAT	1	FOAM_FINGER	1	ENCHANTED_ELBOW_PADS		
GRIEVOUS_BODILY_HARM	36,000	1	REEL_GRIEVOUS_BODILY_HARM	1	HEAD_BANGER	1	THE_MAD_GODS_TRIDENT		
REEL_THE_MAD_GODS_TRIDENT	1,500	5	SHARD_REEL_THE_MAD_GODS_TRIDENT						
REEL_INTIMIDATING_BEARD	1,500	5	SHARD_REEL_INTIMIDATING_BEARD						
REEL_FLAIL_OF_TOTAL_DEVASTATION	1,500	5	SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION						
REEL_KINDNESS	1,500	5	SHARD_REEL_KINDNESS						
REEL_LEAD_ZEPPELIN	1,500	5	SHARD_REEL_LEAD_ZEPPELIN						
REEL_DECODER_RING	1,500	5	SHARD_REEL_DECODER_RING						
REEL_NECRONOMICON	1,500	5	SHARD_REEL_NECRONOMICON						
REEL_TOME_OF_FORBIDDEN_TRIVIA	1,500	5	SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA						
REEL_THINKING_CAP	1,500	5	SHARD_REEL_THINKING_CAP						
REEL_THE_COMPENSATOR	1,500	5	SHARD_REEL_THE_COMPENSATOR						
REEL_LASER_POINTER	1,500	5	SHARD_REEL_LASER_POINTER						
REEL_ORB_OF_EVERLASTING_FLAVOR	1,500	5	SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR						
REEL_DEATH_METAL_BLADE	1,500	5	SHARD_REEL_DEATH_METAL_BLADE						
REEL_MJOLNIRBY	6,000	20	SHARD_REEL_MJOLNIRBY						
REEL_DIRK_OF_DISEMBOWELING	6,000	20	SHARD_REEL_DIRK_OF_DISEMBOWELING						
REEL_ROD_OF_WITTY_PARTY_BANTER	6,000	20	SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER						
REEL_DIPLOMATIC_IMMUNITY	6,000	20	SHARD_REEL_DIPLOMATIC_IMMUNITY						
REEL_ENIDS_EXPENSIVE_ELIXIR	6,000	20	SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR						
REEL_SUPER_SPIKEY_SPEAR	6,000	20	SHARD_REEL_SUPER_SPIKEY_SPEAR						
REEL_HAMMER_OF_WICKED_BEATS	6,000	20	SHARD_REEL_HAMMER_OF_WICKED_BEATS						
REEL_SHOVEL	6,000	20	SHARD_REEL_SHOVEL						
REEL_THE_1_RING	6,000	20	SHARD_REEL_THE_1_RING						
REEL_BIG_STABBY_SPEAR	15,000	50	SHARD_REEL_BIG_STABBY_SPEAR						
REEL_POCKET_PROTECTOR	15,000	50	SHARD_REEL_POCKET_PROTECTOR						
REEL_GRIEVOUS_BODILY_HARM	15,000	50	SHARD_REEL_GRIEVOUS_BODILY_HARM						
REEL_LIFEDRINKER	15,000	50	SHARD_REEL_LIFEDRINKER						
REEL_SANDWICH_OF_UNSURPASSED_MEATINESS	15,000	50	SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS						
DRAGON_SCALE	65,000	1	REEL_DRAGON_SCALE	1	HEAD_BANGER	1	MACE_OF_FRIENDSHIP		
BLACKSTEEL_BLADE	65,000	1	REEL_BLACKSTEEL_BLADE	1	FRAMED_DIPLOMA	1	IMPRACTICAL_CHESTPLATE		
CHUGG_BOOTS	65,000	1	REEL_CHUGG_BOOTS	1	ADAMANTIUM_TIARA	1	VORPAL_BOOMERANG		
DEAD_EYE	15,000	50	SHARD_DEAD_EYE						
WIZARDY_FOR_IDIOTS	15,000	50	SHARD_WIZARDY_FOR_IDIOTS						
LOST_DISK_OF_POWER	15,000	50	SHARD_LOST_DISK_OF_POWER						
LIGER_BALM	15,000	50	SHARD_LIGER_BALM						
MOTIVATIONAL_CASSETTE	40,000	1	POCKET_PROTECTOR	1	THE_1_RING	1	RACING_STRIPES	1	THE_UGLY_STICK
LICHE_FINGER	40,000	1	SANDWICH_OF_UNSURPASSED_MEATINESS	1	DIRK_OF_DISEMBOWELING	1	STAFF_OF_BOSS_FIGHTING	1	MUSCLE_WAX
SHOT_IN_THE_ARM_2_ORDER	40,000	2	SHOT_IN_THE_ARM						
LASER_POINTER_4_ORDER	40,000	2	LASER_POINTER_3_ORDER						
REEL_DRAGON_SCALE	15,000	50	SHARD_REEL_DRAGON_SCALE						
REEL_CHUGG_BOOTS	15,000	50	SHARD_REEL_CHUGG_BOOTS						
REEL_BLACKSTEEL_BLADE	15,000	50	SHARD_REEL_BLACKSTEEL_BLADE						
YODELING_SWORD	76,000	1	REEL_YODELING_SWORD	1	HEAD_BANGER	1	FLAIL_OF_TOTAL_DEVASTATION	1	MUSCLE_WAX
POWER_OF_SCIENCE	76,000	1	REEL_POWER_OF_SCIENCE	1	FRAMED_DIPLOMA	1	THINKING_CAP	1	SACRED_CODEX
GIRDLE_OF_VICTORY	76,000	1	REEL_GIRDLE_OF_VICTORY	1	ADAMANTIUM_TIARA	1	KINDNESS	1	RACING_STRIPES
HIGH_TEA	20,000	50	SHARD_HIGH_TEA						
PETER_PIPERS_PEPPER_SPRAY	20,000	50	SHARD_PETER_PIPERS_PEPPER_SPRAY						
RING_OF_THE_SQUIRREL	20,000	50	SHARD_RING_OF_THE_SQUIRREL						
EXTREME_FAD_DIET	20,000	50	SHARD_EXTREME_FAD_DIET						
OVERPOWERING_FRAGRANCE	48,000	1	ENIDS_EXPENSIVE_ELIXIR	1	IMPRACTICAL_CHESTPLATE	1	MUSCLE_WAX		
PURIFYING_TUNING_FORK	48,000	1	HAMMER_OF_WICKED_BEATS	1	MACE_OF_FRIENDSHIP	1	GENTLEMENS_CLUB		
SHOT_IN_THE_ARM_3_ORDER	48,000	2	SHOT_IN_THE_ARM_2_ORDER						
REEL_YODELING_SWORD	20,000	50	SHARD_REEL_YODELING_SWORD						
REEL_POWER_OF_SCIENCE	20,000	50	SHARD_REEL_POWER_OF_SCIENCE						
REEL_GIRDLE_OF_VICTORY	20,000	50	SHARD_REEL_GIRDLE_OF_VICTORY						
RATTLING_SABRE	87,000	1	REEL_RATTLING_SABRE	1	DEAD_EYE	1	MUSCLE_WAX		
MYSTICAL_ELVEN_JUNK	87,000	1	REEL_MYSTICAL_ELVEN_JUNK	1	LOST_DISK_OF_POWER	1	SACRED_CODEX		
JAR_OF_KITTEN_TEAR	87,000	1	REEL_JAR_OF_KITTEN_TEAR	1	LIGER_BALM	1	RACING_STRIPES		
WAR_SANDALS	25,000	50	SHARD_WAR_SANDALS						
PHOTO_BOMB	25,000	50	SHARD_PHOTO_BOMB						
SELF_PRESERVER	25,000	50	SHARD_SELF_PRESERVER						
ANTI_MAGIC_SHIELD	25,000	50	SHARD_ANTI_MAGIC_SHIELD						
PURPLE_PILLS_OF_POTENCY	56,000	1	DRAGON_SCALE	1	SANDWICH_OF_UNSURPASSED_MEATINESS	1	FRAMED_DIPLOMA	1	SACRED_CODEX
WICKED_MULLET	56,000	1	CHUGG_BOOTS	1	POCKET_PROTECTOR	1	ADAMANTIUM_TIARA	1	STAFF_OF_BOSS_FIGHTING
READIN_RAIN_BOW	56,000	1	BLACKSTEEL_BLADE	1	MJOLNIRBY	1	HEAD_BANGER	1	RACING_STRIPES
REEL_RATTLING_SABRE	25,000	50	SHARD_REEL_RATTLING_SABRE						
REEL_MYSTICAL_ELVEN_JUNK	25,000	50	SHARD_REEL_MYSTICAL_ELVEN_JUNK						
REEL_JAR_OF_KITTEN_TEAR	25,000	50	SHARD_REEL_JAR_OF_KITTEN_TEAR						
GLASS_CASE_OF_EMOTION	98,000	1	REEL_GLASS_CASE_OF_EMOTION	1	EXTREME_FAD_DIET	1	DEAD_EYE		
UNICORN_PUKE	98,000	1	REEL_UNICORN_PUKE	1	HIGH_TEA	1	LIGER_BALM		
IVY_LEAGUE_HAIRCUT	98,000	1	REEL_IVY_LEAGUE_HAIRCUT	1	RING_OF_THE_SQUIRREL	1	WIZARDY_FOR_IDIOTS		
BOWIE_KNIFE	30,000	50	SHARD_BOWIE_KNIFE						
HELM_OF_THE_RAGING_BEAR	30,000	50	SHARD_HELM_OF_THE_RAGING_BEAR						
HEALTHY_DOSE_OF_SKEPTICISM	30,000	50	SHARD_HEALTHY_DOSE_OF_SKEPTICISM						
AXE_OF_GRATUITOUS_GUITAR_SOLOS	30,000	50	SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS						
DEERSTALKER_HAT	64,000	1	POWER_OF_SCIENCE	1	LIFEDRINKER	1	FRAMED_DIPLOMA	1	VORPAL_BOOMERANG
DUELING_KNIVES_OF_HACKENSLASH	64,000	1	YODELING_SWORD	1	MJOLNIRBY	1	VORPAL_BOOMERANG	1	MACE_OF_FRIENDSHIP
MONSTER_HUNTER_ARMOR	64,000	1	GIRDLE_OF_VICTORY	1	GRIEVOUS_BODILY_HARM	1	BOOTS_MADE_FOR_WALKIN	1	IMPRACTICAL_CHESTPLATE
REEL_GLASS_CASE_OF_EMOTION	30,000	50	SHARD_REEL_GLASS_CASE_OF_EMOTION						
REEL_UNICORN_PUKE	30,000	50	SHARD_REEL_UNICORN_PUKE						
REEL_IVY_LEAGUE_HAIRCUT	30,000	50	SHARD_REEL_IVY_LEAGUE_HAIRCUT						
ORNATE_CROWN_OF_THE_GM	109,000	1	REEL_ORNATE_CROWN_OF_THE_GM	1	ANTI_MAGIC_SHIELD	1	RING_OF_THE_SQUIRREL		
TAROT_DECK_OF_HYPERBOLE	109,000	1	REEL_TAROT_DECK_OF_HYPERBOLE	1	WAR_SANDALS	1	EXTREME_FAD_DIET		
DIRTY_BASTARD_SWORD	109,000	1	REEL_DIRTY_BASTARD_SWORD	1	PHOTO_BOMB	1	PETER_PIPERS_PEPPER_SPRAY		
SWEATBAND_OF_TRAINING_MONTAGES	35,000	50	SHARD_SWEATBAND_OF_TRAINING_MONTAGES						
UNTESTED_JETPACK	35,000	50	SHARD_UNTESTED_JETPACK						
LENSLESS_GLASSES	35,000	50	SHARD_LENSLESS_GLASSES						
ROLL_OF_DUCT_TAPE	35,000	50	SHARD_ROLL_OF_DUCT_TAPE						
HELM_OF_SCREAMING_MANFACE	72,000	1	RATTLING_SABRE	1	BLACKSTEEL_BLADE	1	DEAD_EYE	1	HEAD_BANGER
DRAGONS_BALLZ	72,000	1	MYSTICAL_ELVEN_JUNK	1	DRAGON_SCALE	1	LIGER_BALM	1	FRAMED_DIPLOMA
CHAMPIONSHIP_BELT	72,000	1	MYSTICAL_ELVEN_JUNK	1	BLACKSTEEL_BLADE	1	WIZARDY_FOR_IDIOTS	1	ADAMANTIUM_TIARA
SLIGHTLY_EVIL_MAGIC_MIRROR	72,000	1	JAR_OF_KITTEN_TEAR	1	CHUGG_BOOTS	1	LOST_DISK_OF_POWER	1	FRAMED_DIPLOMA
REEL_ORNATE_CROWN_OF_THE_GM	35,000	50	SHARD_REEL_ORNATE_CROWN_OF_THE_GM						
REEL_TAROT_DECK_OF_HYPERBOLE	35,000	50	SHARD_REEL_TAROT_DECK_OF_HYPERBOLE						
REEL_DIRTY_BASTARD_SWORD	35,000	50	SHARD_REEL_DIRTY_BASTARD_SWORD						
HOLY_LANCE_OF_PLOT_ADVANCEMENT	120,000	1	REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT	1	HELM_OF_THE_RAGING_BEAR	1	PHOTO_BOMB		
EYE_OF_THE_BEHOLDER	120,000	1	REEL_EYE_OF_THE_BEHOLDER	1	HEALTHY_DOSE_OF_SKEPTICISM	1	ANTI_MAGIC_SHIELD		
GLORY_SEEKER	120,000	1	REEL_GLORY_SEEKER	1	AXE_OF_GRATUITOUS_GUITAR_SOLOS	1	SELF_PRESERVER		
COSPLAY_SWORD	40,000	50	SHARD_COSPLAY_SWORD						
MACGUFFIN_FRAGMENT_45	40,000	50	SHARD_MACGUFFIN_FRAGMENT_45						
THE_HOLY_PAIL	40,000	50	SHARD_THE_HOLY_PAIL						
ANCIENT_TOME_OF_OCCULT_NONSENSE	40,000	50	SHARD_ANCIENT_TOME_OF_OCCULT_NONSENSE						
EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	80,000	1	GLASS_CASE_OF_EMOTION	1	YODELING_SWORD	1	EXTREME_FAD_DIET	1	BOOTS_MADE_FOR_WALKIN
AMULET_OF_CONCENTRATED_AWESOME	80,000	1	UNICORN_PUKE	1	POWER_OF_SCIENCE	1	HIGH_TEA	1	PHILTER_OF_PURE_TESTOSTERONE
AXE_OF_GRINDING	80,000	1	IVY_LEAGUE_HAIRCUT	1	GIRDLE_OF_VICTORY	1	PETER_PIPERS_PEPPER_SPRAY	1	HAROLDS_HOMEMADE_HALBERD
ENIDS_EXPENSIVE_ELIXIR_2_ORDER	80,000	1	UNICORN_PUKE	1	YODELING_SWORD	1	RING_OF_THE_SQUIRREL	1	HEAD_BANGER
REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT	40,000	50	SHARD_REEL_HOLY_LANCE_OF_PLOT_ADVANCEMENT						
REEL_EYE_OF_THE_BEHOLDER	40,000	50	SHARD_REEL_EYE_OF_THE_BEHOLDER						
REEL_GLORY_SEEKER	40,000	50	SHARD_REEL_GLORY_SEEKER						
SICK_MULLET	131,000	1	REEL_SICK_MULLET	1	SWEATBAND_OF_TRAINING_MONTAGES	1	AXE_OF_GRATUITOUS_GUITAR_SOLOS		
ORBITAL_KITTY	131,000	1	REEL_ORBITAL_KITTY	1	UNTESTED_JETPACK	1	BOWIE_KNIFE		
HAMMER_TIME	131,000	1	REEL_HAMMER_TIME	1	LENSLESS_GLASSES	1	HEALTHY_DOSE_OF_SKEPTICISM		
VOLATILE_SMOOTHIE	45,000	50	SHARD_VOLATILE_SMOOTHIE						
RING_OF_ILL_WILL	45,000	50	SHARD_RING_OF_ILL_WILL						
LITTLE_PRICKS	45,000	50	SHARD_LITTLE_PRICKS						
FOUR_D_GLASSES	45,000	50	SHARD_FOUR_D_GLASSES						
POLITICAL_PLATFORM_SHOES	88,000	1	ORNATE_CROWN_OF_THE_GM	1	RATTLING_SABRE	1	SELF_PRESERVER	1	WIZARDY_FOR_IDIOTS
ORGANIC_BOOK_OF_NATURE	88,000	1	TAROT_DECK_OF_HYPERBOLE	1	MYSTICAL_ELVEN_JUNK	1	WAR_SANDALS	1	LIGER_BALM
HAIR_OF_THE_DOG	88,000	1	DIRTY_BASTARD_SWORD	1	JAR_OF_KITTEN_TEAR	1	PHOTO_BOMB	1	DEAD_EYE
GLASS_CANNON	88,000	1	UNICORN_PUKE	1	GLASS_CASE_OF_EMOTION	1	ANTI_MAGIC_SHIELD	1	LOST_DISK_OF_POWER
REEL_SICK_MULLET	45,000	50	SHARD_REEL_SICK_MULLET						
REEL_ORBITAL_KITTY	45,000	50	SHARD_REEL_ORBITAL_KITTY						
REEL_HAMMER_TIME	45,000	50	SHARD_REEL_HAMMER_TIME						
BOOM_BOX	142,000	1	REEL_BOOM_BOX	1	COSPLAY_SWORD	1	ROLL_OF_DUCT_TAPE		
UPHOLSTERED_THRONE	142,000	1	REEL_UPHOLSTERED_THRONE	1	THE_HOLY_PAIL	1	LENSLESS_GLASSES		
SHOES_OF_THE_MAD_GOD	142,000	1	REEL_SHOES_OF_THE_MAD_GOD	1	ANCIENT_TOME_OF_OCCULT_NONSENSE	1	UNTESTED_JETPACK		
LOST_CONCEPT_ART	50,000	50	SHARD_LOST_CONCEPT_ART						
LIGHTNING_GREASE	50,000	50	SHARD_LIGHTNING_GREASE						
PHAT_PANTS	50,000	50	SHARD_PHAT_PANTS						
HEAL_AID	50,000	50	SHARD_HEAL_AID						
BRAIN_PILLS	96,000	1	HOLY_LANCE_OF_PLOT_ADVANCEMENT	1	GLASS_CASE_OF_EMOTION	1	BOWIE_KNIFE	1	HIGH_TEA
FLAMEY_POOFS	96,000	1	EYE_OF_THE_BEHOLDER	1	UNICORN_PUKE	1	HELM_OF_THE_RAGING_BEAR	1	PETER_PIPERS_PEPPER_SPRAY
TUNNEL_VISION	96,000	1	GLORY_SEEKER	1	IVY_LEAGUE_HAIRCUT	1	HEALTHY_DOSE_OF_SKEPTICISM	1	RING_OF_THE_SQUIRREL
