	LEVEL	RARITY	STARS	GOLD	XP
NPC_EVIL_WIZARD_0-9	125	ORANGE	5	25000	5000
NPC_EVIL_WIZARD_1-9	125	ORANGE	5	25000	5000
NPC_EVIL_WIZARD_2-9	125	ORANGE	5	25000	5000
NPC_GIANT_PLANT_0-9	128	ORANGE	5	25600	5000
NPC_GIANT_PLANT_1-9	128	ORANGE	5	25600	5000
NPC_GIANT_PLANT_2-9	128	ORANGE	5	25600	5000
NPC_GOLD_COLOSSUS_0-9	130	ORANGE	5	26000	5000
NPC_GOLD_COLOSSUS_1-9	130	ORANGE	5	26000	5000
NPC_GOLD_COLOSSUS_2-9	130	ORANGE	5	26000	5000
NPC_EVIL_WIZARD_0-10	133	ORANGE	5	26600	5500
NPC_EVIL_WIZARD_1-10	133	ORANGE	5	26600	5500
NPC_EVIL_WIZARD_2-10	133	ORANGE	5	26600	5500
NPC_GIANT_PLANT_0-10	137	ORANGE	5	27400	5500
NPC_GIANT_PLANT_1-10	137	ORANGE	5	27400	5500
NPC_GIANT_PLANT_2-10	137	ORANGE	5	27400	5500
NPC_GOLD_COLOSSUS_0-10	139	ORANGE	5	27800	5500
NPC_GOLD_COLOSSUS_1-10	139	ORANGE	5	27800	5500
NPC_GOLD_COLOSSUS_2-10	139	ORANGE	5	27800	5500
NPC_EVIL_WIZARD_0-11	141	ORANGE	5	28200	6000
NPC_EVIL_WIZARD_1-11	141	ORANGE	5	28200	6000
NPC_EVIL_WIZARD_2-11	141	ORANGE	5	28200	6000
NPC_GIANT_PLANT_0-11	143	ORANGE	5	28600	6000
NPC_GIANT_PLANT_1-11	143	ORANGE	5	28600	6000
NPC_GIANT_PLANT_2-11	143	ORANGE	5	28600	6000
NPC_GOLD_COLOSSUS_0-11	145	ORANGE	5	29000	6000
NPC_GOLD_COLOSSUS_1-11	145	ORANGE	5	29000	6000
NPC_GOLD_COLOSSUS_2-11	145	ORANGE	5	29000	6000
NPC_EVIL_WIZARD_0-12	149	CYAN	5	29800	6500
NPC_EVIL_WIZARD_1-12	149	CYAN	5	29800	6500
NPC_EVIL_WIZARD_2-12	149	CYAN	5	29800	6500
NPC_GIANT_PLANT_0-12	151	CYAN	5	30200	6500
NPC_GIANT_PLANT_1-12	151	CYAN	5	30200	6500
NPC_GIANT_PLANT_2-12	151	CYAN	5	30200	6500
NPC_GOLD_COLOSSUS_0-12	153	CYAN	5	30600	6500
NPC_GOLD_COLOSSUS_1-12	153	CYAN	5	30600	6500
NPC_GOLD_COLOSSUS_2-12	153	CYAN	5	30600	6500
NPC_EVIL_WIZARD_0-13	154	CYAN	5	30800	7000
NPC_EVIL_WIZARD_1-13	154	CYAN	5	30800	7000
NPC_EVIL_WIZARD_2-13	154	CYAN	5	30800	7000
NPC_GIANT_PLANT_0-13	156	CYAN	5	31200	7000
NPC_GIANT_PLANT_1-13	156	CYAN	5	31200	7000
NPC_GIANT_PLANT_2-13	156	CYAN	5	31200	7000
NPC_GOLD_COLOSSUS_0-13	158	CYAN	5	31600	7000
NPC_GOLD_COLOSSUS_1-13	158	CYAN	5	31600	7000
NPC_GOLD_COLOSSUS_2-13	158	CYAN	5	31600	7000
NPC_EVIL_WIZARD_0-14	159	CYAN	5	31800	7500
NPC_EVIL_WIZARD_1-14	159	CYAN	5	31800	7500
NPC_EVIL_WIZARD_2-14	159	CYAN	5	31800	7500
NPC_GIANT_PLANT_0-14	161	CYAN	5	32200	7500
NPC_GIANT_PLANT_1-14	161	CYAN	5	32200	7500
NPC_GIANT_PLANT_2-14	161	CYAN	5	32200	7500
NPC_GOLD_COLOSSUS_0-14	163	CYAN	5	32600	7500
NPC_GOLD_COLOSSUS_1-14	163	CYAN	5	32600	7500
NPC_GOLD_COLOSSUS_2-14	163	CYAN	5	32600	7500
NPC_EVIL_WIZARD_0-15	350	CYAN	5	32800	8000
NPC_EVIL_WIZARD_1-15	365	CYAN	5	32800	8000
NPC_EVIL_WIZARD_2-15	700	CYAN	5	32800	8000
NPC_GIANT_PLANT_0-15	360	CYAN	5	33200	8000
NPC_GIANT_PLANT_1-15	500	CYAN	5	33200	8000
NPC_GIANT_PLANT_2-15	350	CYAN	5	33200	8000
NPC_GOLD_COLOSSUS_0-15	350	CYAN	5	33600	8000
NPC_GOLD_COLOSSUS_1-15	350	CYAN	5	33600	8000
NPC_GOLD_COLOSSUS_2-15	300	CYAN	5	33600	8000
NPC_EVIL_WIZARD_0-16	425	CYAN	5	34000	8500
NPC_EVIL_WIZARD_1-16	460	CYAN	5	34000	8500
NPC_EVIL_WIZARD_2-16	920	CYAN	5	34000	8500
NPC_GIANT_PLANT_0-16	480	CYAN	5	34600	8500
NPC_GIANT_PLANT_1-16	725	CYAN	5	34600	8500
NPC_GIANT_PLANT_2-16	520	CYAN	5	34600	8500
NPC_GOLD_COLOSSUS_0-16	460	CYAN	5	35000	8500
NPC_GOLD_COLOSSUS_1-16	460	CYAN	5	35000	8500
NPC_GOLD_COLOSSUS_2-16	350	CYAN	5	35000	8500
NPC_EVIL_WIZARD_0-17	435	CYAN	5	35000	9000
NPC_EVIL_WIZARD_1-17	470	CYAN	5	35000	9000
NPC_EVIL_WIZARD_2-17	930	CYAN	5	35000	9000
NPC_GIANT_PLANT_0-17	490	CYAN	5	35600	9000
NPC_GIANT_PLANT_1-17	735	CYAN	5	35600	9000
NPC_GIANT_PLANT_2-17	530	CYAN	5	35600	9000
NPC_GOLD_COLOSSUS_0-17	465	CYAN	5	36000	9000
NPC_GOLD_COLOSSUS_1-17	470	CYAN	5	36000	9000
NPC_GOLD_COLOSSUS_2-17	360	CYAN	5	36000	9000
NPC_EVIL_WIZARD_0-18	460	CYAN	5	36000	9500
NPC_EVIL_WIZARD_1-18	485	CYAN	5	36000	9500
NPC_EVIL_WIZARD_2-18	955	CYAN	5	36000	9500
NPC_GIANT_PLANT_0-18	505	CYAN	5	36600	9500
NPC_GIANT_PLANT_1-18	740	CYAN	5	36600	9500
NPC_GIANT_PLANT_2-18	555	CYAN	5	36600	9500
NPC_GOLD_COLOSSUS_0-18	490	CYAN	5	37000	9500
NPC_GOLD_COLOSSUS_1-18	490	CYAN	5	37000	9500
NPC_GOLD_COLOSSUS_2-18	385	CYAN	5	37000	9500
NPC_EVIL_WIZARD_0-19	485	CYAN	5	37000	10000
NPC_EVIL_WIZARD_1-19	500	CYAN	5	37000	10000
NPC_EVIL_WIZARD_2-19	980	CYAN	5	37000	10000
NPC_GIANT_PLANT_0-19	520	CYAN	5	37600	10000
NPC_GIANT_PLANT_1-19	745	CYAN	5	37600	10000
NPC_GIANT_PLANT_2-19	580	CYAN	5	37600	10000
NPC_GOLD_COLOSSUS_0-19	515	CYAN	5	38000	10000
NPC_GOLD_COLOSSUS_1-19	510	CYAN	5	38000	10000
NPC_GOLD_COLOSSUS_2-19	410	CYAN	5	38000	10000
